file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_bright-0.3_contrast-0.05_1,2stage,1,0,0,0,0,534.193,bright=0.3;contrast=0.05;sym-CODABAR;modpx-7.97;img-impossible
sw_bright-0.4_contrast-0.05_1,2stage,1,0,0,0,0,621.468,bright=0.4;contrast=0.05;sym-CODABAR;modpx-7.97;img-impossible
sw_bright-0.5_contrast-0.05_1,2stage,1,0,0,0,0,467.002,bright=0.5;contrast=0.05;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.6_contrast-0.05_1,2stage,1,0,0,0,0,510.653,bright=0.6;contrast=0.05;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.7_contrast-0.05_1,2stage,1,0,0,0,0,370.420,bright=0.7;contrast=0.05;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.8_contrast-0.05_1,2stage,1,0,0,0,0,510.773,bright=0.8;contrast=0.05;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.9_contrast-0.05_1,2stage,1,0,0,0,0,435.951,bright=0.9;contrast=0.05;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1_contrast-0.05_1,2stage,1,0,0,0,0,3860.658,bright=1;contrast=0.05;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.1_contrast-0.05_1,2stage,1,1,1,0,0,667.304,bright=1.1;contrast=0.05;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.2_contrast-0.05_1,2stage,1,1,1,0,0,598.205,bright=1.2;contrast=0.05;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.3_contrast-0.05_1,2stage,1,1,1,0,0,121.824,bright=1.3;contrast=0.05;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.4_contrast-0.05_1,2stage,1,1,1,0,0,107.635,bright=1.4;contrast=0.05;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.5_contrast-0.05_1,2stage,1,1,1,0,0,121.991,bright=1.5;contrast=0.05;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.6_contrast-0.05_1,2stage,1,1,1,0,0,125.680,bright=1.6;contrast=0.05;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.7_contrast-0.05_1,2stage,1,1,1,0,0,55.350,bright=1.7;contrast=0.05;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.8_contrast-0.05_1,2stage,1,1,1,0,0,51.941,bright=1.8;contrast=0.05;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.3_contrast-0.1_1,2stage,1,0,0,0,0,696.278,bright=0.3;contrast=0.1;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.4_contrast-0.1_1,2stage,1,0,0,0,0,572.966,bright=0.4;contrast=0.1;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.5_contrast-0.1_1,2stage,1,0,0,0,0,500.300,bright=0.5;contrast=0.1;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.6_contrast-0.1_1,2stage,1,1,1,0,0,430.389,bright=0.6;contrast=0.1;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.7_contrast-0.1_1,2stage,1,1,1,0,0,140.462,bright=0.7;contrast=0.1;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.8_contrast-0.1_1,2stage,1,1,1,0,0,133.915,bright=0.8;contrast=0.1;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.9_contrast-0.1_1,2stage,1,1,1,0,0,380.222,bright=0.9;contrast=0.1;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1_contrast-0.1_1,2stage,1,1,1,0,0,506.916,bright=1;contrast=0.1;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.1_contrast-0.1_1,2stage,1,1,1,0,0,521.985,bright=1.1;contrast=0.1;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.2_contrast-0.1_1,2stage,1,1,1,0,0,128.489,bright=1.2;contrast=0.1;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.3_contrast-0.1_1,2stage,1,1,1,0,0,130.248,bright=1.3;contrast=0.1;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.4_contrast-0.1_1,2stage,1,1,1,0,0,78.846,bright=1.4;contrast=0.1;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.5_contrast-0.1_1,2stage,1,1,1,0,0,41.067,bright=1.5;contrast=0.1;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.6_contrast-0.1_1,2stage,1,1,1,0,0,43.935,bright=1.6;contrast=0.1;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.7_contrast-0.1_1,2stage,1,1,1,0,0,34.896,bright=1.7;contrast=0.1;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.8_contrast-0.1_1,2stage,1,1,1,0,0,35.180,bright=1.8;contrast=0.1;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.3_contrast-0.15_1,2stage,1,0,0,0,0,890.323,bright=0.3;contrast=0.15;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.4_contrast-0.15_1,2stage,1,1,1,0,0,65.378,bright=0.4;contrast=0.15;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.5_contrast-0.15_1,2stage,1,1,1,0,0,49.269,bright=0.5;contrast=0.15;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.6_contrast-0.15_1,2stage,1,1,1,0,0,77.231,bright=0.6;contrast=0.15;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.7_contrast-0.15_1,2stage,1,1,1,0,0,54.284,bright=0.7;contrast=0.15;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.8_contrast-0.15_1,2stage,1,1,1,0,0,78.950,bright=0.8;contrast=0.15;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.9_contrast-0.15_1,2stage,1,1,1,0,0,76.103,bright=0.9;contrast=0.15;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1_contrast-0.15_1,2stage,1,1,1,0,0,43.527,bright=1;contrast=0.15;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.1_contrast-0.15_1,2stage,1,1,1,0,0,111.641,bright=1.1;contrast=0.15;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.2_contrast-0.15_1,2stage,1,1,1,0,0,67.126,bright=1.2;contrast=0.15;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.3_contrast-0.15_1,2stage,1,1,1,0,0,42.182,bright=1.3;contrast=0.15;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.4_contrast-0.15_1,2stage,1,1,1,0,0,72.184,bright=1.4;contrast=0.15;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.5_contrast-0.15_1,2stage,1,1,1,0,0,42.774,bright=1.5;contrast=0.15;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.6_contrast-0.15_1,2stage,1,1,1,0,0,37.981,bright=1.6;contrast=0.15;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.7_contrast-0.15_1,2stage,1,1,1,0,0,31.412,bright=1.7;contrast=0.15;sym-CODABAR;modpx-7.97;img-ok
sw_bright-1.8_contrast-0.15_1,2stage,1,1,1,0,0,38.239,bright=1.8;contrast=0.15;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.3_contrast-0.2_1,2stage,1,1,1,0,0,76.738,bright=0.3;contrast=0.2;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.4_contrast-0.2_1,2stage,1,1,1,0,0,87.033,bright=0.4;contrast=0.2;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.5_contrast-0.2_1,2stage,1,1,1,0,0,48.840,bright=0.5;contrast=0.2;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.6_contrast-0.2_1,2stage,1,1,1,0,0,46.684,bright=0.6;contrast=0.2;sym-CODABAR;modpx-7.97;img-ok
sw_bright-0.7_contrast-0.2_1,2stage,1,1,1,0,0,42.739,bright=0.7;contrast=0.2;sym-CODABAR;modpx-7.97;img-ok
