file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_bright-0.3_contrast-0.05_1,2stage,1,0,0,0,0,660.662,bright=0.3;contrast=0.05;sym-CODE_39;modpx-8.00;img-impossible
sw_bright-0.4_contrast-0.05_1,2stage,1,0,0,0,0,612.110,bright=0.4;contrast=0.05;sym-CODE_39;modpx-8.00;img-impossible
sw_bright-0.5_contrast-0.05_1,2stage,1,0,0,0,0,629.487,bright=0.5;contrast=0.05;sym-CODE_39;modpx-8.00;img-ok
sw_bright-0.6_contrast-0.05_1,2stage,1,0,0,0,0,477.678,bright=0.6;contrast=0.05;sym-CODE_39;modpx-8.00;img-ok
sw_bright-0.7_contrast-0.05_1,2stage,1,0,0,0,0,644.203,bright=0.7;contrast=0.05;sym-CODE_39;modpx-8.00;img-ok
sw_bright-0.8_contrast-0.05_1,2stage,1,0,0,0,0,698.711,bright=0.8;contrast=0.05;sym-CODE_39;modpx-8.00;img-ok
sw_bright-0.9_contrast-0.05_1,2stage,1,0,0,0,0,1695.276,bright=0.9;contrast=0.05;sym-CODE_39;modpx-8.00;img-ok
sw_bright-1_contrast-0.05_1,2stage,1,1,1,0,0,810.868,bright=1;contrast=0.05;sym-CODE_39;modpx-8.00;img-ok
sw_bright-1.1_contrast-0.05_1,2stage,1,1,1,0,0,643.469,bright=1.1;contrast=0.05;sym-CODE_39;modpx-8.00;img-ok
sw_bright-1.2_contrast-0.05_1,2stage,1,1,1,0,0,738.728,bright=1.2;contrast=0.05;sym-CODE_39;modpx-8.00;img-ok
sw_bright-1.3_contrast-0.05_1,2stage,1,1,1,0,0,165.631,bright=1.3;contrast=0.05;sym-CODE_39;modpx-8.00;img-ok
sw_bright-1.4_contrast-0.05_1,2stage,1,1,1,0,0,167.887,bright=1.4;contrast=0.05;sym-CODE_39;modpx-8.00;img-ok
sw_bright-1.5_contrast-0.05_1,2stage,1,1,1,0,0,172.435,bright=1.5;contrast=0.05;sym-CODE_39;modpx-8.00;img-ok
sw_bright-1.6_contrast-0.05_1,2stage,1,1,1,0,0,176.205,bright=1.6;contrast=0.05;sym-CODE_39;modpx-8.00;img-ok
sw_bright-1.7_contrast-0.05_1,2stage,1,1,1,0,0,69.461,bright=1.7;contrast=0.05;sym-CODE_39;modpx-8.00;img-ok
sw_bright-1.8_contrast-0.05_1,2stage,1,1,1,0,0,68.078,bright=1.8;contrast=0.05;sym-CODE_39;modpx-8.00;img-ok
sw_bright-0.3_contrast-0.1_1,2stage,1,0,0,0,0,793.414,bright=0.3;contrast=0.1;sym-CODE_39;modpx-8.00;img-ok
sw_bright-0.4_contrast-0.1_1,2stage,1,0,0,0,0,737.624,bright=0.4;contrast=0.1;sym-CODE_39;modpx-8.00;img-ok
sw_bright-0.5_contrast-0.1_1,2stage,1,1,1,0,0,191.116,bright=0.5;contrast=0.1;sym-CODE_39;modpx-8.00;img-ok
sw_bright-0.6_contrast-0.1_1,2stage,1,1,1,0,0,263.653,bright=0.6;contrast=0.1;sym-CODE_39;modpx-8.00;img-ok
sw_bright-0.7_contrast-0.1_1,2stage,1,1,1,0,0,197.007,bright=0.7;contrast=0.1;sym-CODE_39;modpx-8.00;img-ok
sw_bright-0.8_contrast-0.1_1,2stage,1,1,1,0,0,178.734,bright=0.8;contrast=0.1;sym-CODE_39;modpx-8.00;img-ok
sw_bright-0.9_contrast-0.1_1,2stage,1,1,1,0,0,322.454,bright=0.9;contrast=0.1;sym-CODE_39;modpx-8.00;img-ok
