file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_bright-0.3_contrast-0.05_1,2stage,1,0,0,0,0,944.926,bright=0.3;contrast=0.05;sym-DATA_BAR_EXPANDED;modpx-6.85;img-impossible
sw_bright-0.4_contrast-0.05_1,2stage,1,0,0,0,0,932.748,bright=0.4;contrast=0.05;sym-DATA_BAR_EXPANDED;modpx-6.85;img-impossible
sw_bright-0.5_contrast-0.05_1,2stage,1,0,0,0,0,1266.716,bright=0.5;contrast=0.05;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-0.6_contrast-0.05_1,2stage,1,0,0,0,0,626.182,bright=0.6;contrast=0.05;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-0.7_contrast-0.05_1,2stage,1,0,0,0,0,469.997,bright=0.7;contrast=0.05;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-0.8_contrast-0.05_1,2stage,1,0,0,0,0,522.554,bright=0.8;contrast=0.05;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-0.9_contrast-0.05_1,2stage,1,0,0,0,0,428.951,bright=0.9;contrast=0.05;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1_contrast-0.05_1,2stage,1,0,0,0,0,546.103,bright=1;contrast=0.05;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.1_contrast-0.05_1,2stage,1,0,0,0,0,1121.405,bright=1.1;contrast=0.05;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.2_contrast-0.05_1,2stage,1,1,1,0,0,1926.115,bright=1.2;contrast=0.05;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.3_contrast-0.05_1,2stage,1,1,1,0,0,141.968,bright=1.3;contrast=0.05;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.4_contrast-0.05_1,2stage,1,1,1,0,0,150.433,bright=1.4;contrast=0.05;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.5_contrast-0.05_1,2stage,1,1,1,0,0,144.256,bright=1.5;contrast=0.05;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.6_contrast-0.05_1,2stage,1,1,1,0,0,142.424,bright=1.6;contrast=0.05;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.7_contrast-0.05_1,2stage,1,1,1,0,0,65.907,bright=1.7;contrast=0.05;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.8_contrast-0.05_1,2stage,1,1,1,0,0,63.992,bright=1.8;contrast=0.05;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-0.3_contrast-0.1_1,2stage,1,0,0,0,0,854.521,bright=0.3;contrast=0.1;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-0.4_contrast-0.1_1,2stage,1,0,0,0,0,562.039,bright=0.4;contrast=0.1;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-0.5_contrast-0.1_1,2stage,1,0,0,0,0,1024.100,bright=0.5;contrast=0.1;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-0.6_contrast-0.1_1,2stage,1,0,0,0,0,691.338,bright=0.6;contrast=0.1;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-0.7_contrast-0.1_1,2stage,1,0,0,0,0,630.652,bright=0.7;contrast=0.1;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-0.8_contrast-0.1_1,2stage,1,1,1,0,0,419.726,bright=0.8;contrast=0.1;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-0.9_contrast-0.1_1,2stage,1,1,1,0,0,621.168,bright=0.9;contrast=0.1;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1_contrast-0.1_1,2stage,1,1,1,0,0,653.011,bright=1;contrast=0.1;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.1_contrast-0.1_1,2stage,1,1,1,0,0,673.636,bright=1.1;contrast=0.1;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.2_contrast-0.1_1,2stage,1,1,1,0,0,631.372,bright=1.2;contrast=0.1;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.3_contrast-0.1_1,2stage,1,1,1,0,0,157.211,bright=1.3;contrast=0.1;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.4_contrast-0.1_1,2stage,1,1,1,0,0,41.417,bright=1.4;contrast=0.1;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.5_contrast-0.1_1,2stage,1,1,1,0,0,46.975,bright=1.5;contrast=0.1;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.6_contrast-0.1_1,2stage,1,1,1,0,0,50.082,bright=1.6;contrast=0.1;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.7_contrast-0.1_1,2stage,1,1,1,0,0,40.023,bright=1.7;contrast=0.1;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.8_contrast-0.1_1,2stage,1,1,1,0,0,39.489,bright=1.8;contrast=0.1;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-0.3_contrast-0.15_1,2stage,1,0,0,0,0,1034.613,bright=0.3;contrast=0.15;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-0.4_contrast-0.15_1,2stage,1,0,0,0,0,975.208,bright=0.4;contrast=0.15;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-0.5_contrast-0.15_1,2stage,1,1,1,0,0,51.070,bright=0.5;contrast=0.15;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-0.6_contrast-0.15_1,2stage,1,1,1,0,0,76.991,bright=0.6;contrast=0.15;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-0.7_contrast-0.15_1,2stage,1,1,1,0,0,77.315,bright=0.7;contrast=0.15;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-0.8_contrast-0.15_1,2stage,1,1,1,0,0,60.218,bright=0.8;contrast=0.15;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-0.9_contrast-0.15_1,2stage,1,1,1,0,0,50.428,bright=0.9;contrast=0.15;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1_contrast-0.15_1,2stage,1,1,1,0,0,48.382,bright=1;contrast=0.15;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.1_contrast-0.15_1,2stage,1,1,1,0,0,103.790,bright=1.1;contrast=0.15;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.2_contrast-0.15_1,2stage,1,1,1,0,0,252.646,bright=1.2;contrast=0.15;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.3_contrast-0.15_1,2stage,1,1,1,0,0,83.386,bright=1.3;contrast=0.15;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.4_contrast-0.15_1,2stage,1,1,1,0,0,48.864,bright=1.4;contrast=0.15;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.5_contrast-0.15_1,2stage,1,1,1,0,0,59.250,bright=1.5;contrast=0.15;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.6_contrast-0.15_1,2stage,1,1,1,0,0,111.415,bright=1.6;contrast=0.15;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.7_contrast-0.15_1,2stage,1,1,1,0,0,45.071,bright=1.7;contrast=0.15;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_bright-1.8_contrast-0.15_1,2stage,1,1,1,0,0,50.434,bright=1.8;contrast=0.15;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
