file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_bright-0.3_contrast-0.05_1,2stage,1,0,0,0,0,339.735,bright=0.3;contrast=0.05;sym-DATA_BAR;modpx-4.00;img-impossible
sw_bright-0.4_contrast-0.05_1,2stage,1,0,0,0,0,305.470,bright=0.4;contrast=0.05;sym-DATA_BAR;modpx-4.00;img-impossible
sw_bright-0.5_contrast-0.05_1,2stage,1,0,0,0,0,351.648,bright=0.5;contrast=0.05;sym-DATA_BAR;modpx-4.00;img-ok
sw_bright-0.6_contrast-0.05_1,2stage,1,0,0,0,0,161.075,bright=0.6;contrast=0.05;sym-DATA_BAR;modpx-4.00;img-ok
sw_bright-0.7_contrast-0.05_1,2stage,1,0,0,0,0,174.829,bright=0.7;contrast=0.05;sym-DATA_BAR;modpx-4.00;img-ok
sw_bright-0.8_contrast-0.05_1,2stage,1,0,0,0,0,124.748,bright=0.8;contrast=0.05;sym-DATA_BAR;modpx-4.00;img-ok
sw_bright-0.9_contrast-0.05_1,2stage,1,0,0,0,0,138.213,bright=0.9;contrast=0.05;sym-DATA_BAR;modpx-4.00;img-ok
sw_bright-1_contrast-0.05_1,2stage,1,0,0,0,0,202.081,bright=1;contrast=0.05;sym-DATA_BAR;modpx-4.00;img-ok
sw_bright-1.1_contrast-0.05_1,2stage,1,0,0,0,0,239.256,bright=1.1;contrast=0.05;sym-DATA_BAR;modpx-4.00;img-ok
sw_bright-1.2_contrast-0.05_1,2stage,1,1,1,0,0,939.431,bright=1.2;contrast=0.05;sym-DATA_BAR;modpx-4.00;img-ok
sw_bright-1.3_contrast-0.05_1,2stage,1,1,1,0,0,103.685,bright=1.3;contrast=0.05;sym-DATA_BAR;modpx-4.00;img-ok
sw_bright-1.4_contrast-0.05_1,2stage,1,1,1,0,0,38.396,bright=1.4;contrast=0.05;sym-DATA_BAR;modpx-4.00;img-ok
sw_bright-1.5_contrast-0.05_1,2stage,1,1,1,0,0,36.442,bright=1.5;contrast=0.05;sym-DATA_BAR;modpx-4.00;img-ok
sw_bright-1.6_contrast-0.05_1,2stage,1,1,1,0,0,38.314,bright=1.6;contrast=0.05;sym-DATA_BAR;modpx-4.00;img-ok
sw_bright-1.7_contrast-0.05_1,2stage,1,1,1,0,0,15.068,bright=1.7;contrast=0.05;sym-DATA_BAR;modpx-4.00;img-ok
