file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_bright-0.3_contrast-0.05_1,2stage,1,0,0,0,0,161.339,bright=0.3;contrast=0.05;sym-DATA_MATRIX;modpx-8.00;img-impossible
sw_bright-0.4_contrast-0.05_1,2stage,1,0,0,0,0,126.002,bright=0.4;contrast=0.05;sym-DATA_MATRIX;modpx-8.00;img-impossible
sw_bright-0.5_contrast-0.05_1,2stage,1,0,0,0,0,117.098,bright=0.5;contrast=0.05;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.6_contrast-0.05_1,2stage,1,0,0,0,0,107.163,bright=0.6;contrast=0.05;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.7_contrast-0.05_1,2stage,1,0,0,0,0,102.960,bright=0.7;contrast=0.05;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.8_contrast-0.05_1,2stage,1,0,0,0,0,1540.519,bright=0.8;contrast=0.05;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.9_contrast-0.05_1,2stage,1,1,1,0,0,47.291,bright=0.9;contrast=0.05;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1_contrast-0.05_1,2stage,1,1,1,0,0,60.288,bright=1;contrast=0.05;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.1_contrast-0.05_1,2stage,1,1,1,0,0,68.032,bright=1.1;contrast=0.05;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.2_contrast-0.05_1,2stage,1,1,1,0,0,22.241,bright=1.2;contrast=0.05;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.3_contrast-0.05_1,2stage,1,1,1,0,0,25.195,bright=1.3;contrast=0.05;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.4_contrast-0.05_1,2stage,1,1,1,0,0,25.851,bright=1.4;contrast=0.05;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.5_contrast-0.05_1,2stage,1,1,1,0,0,30.275,bright=1.5;contrast=0.05;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.6_contrast-0.05_1,2stage,1,1,1,0,0,25.991,bright=1.6;contrast=0.05;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.7_contrast-0.05_1,2stage,1,1,1,0,0,20.411,bright=1.7;contrast=0.05;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.8_contrast-0.05_1,2stage,1,1,1,0,0,12.325,bright=1.8;contrast=0.05;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.3_contrast-0.1_1,2stage,1,0,0,0,0,192.209,bright=0.3;contrast=0.1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.4_contrast-0.1_1,2stage,1,0,0,0,0,113.462,bright=0.4;contrast=0.1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.5_contrast-0.1_1,2stage,1,0,0,0,0,97.511,bright=0.5;contrast=0.1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.6_contrast-0.1_1,2stage,1,1,1,0,0,994.225,bright=0.6;contrast=0.1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.7_contrast-0.1_1,2stage,1,1,1,0,0,30.989,bright=0.7;contrast=0.1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.8_contrast-0.1_1,2stage,1,1,1,0,0,26.839,bright=0.8;contrast=0.1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.9_contrast-0.1_1,2stage,1,1,1,0,0,29.720,bright=0.9;contrast=0.1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1_contrast-0.1_1,2stage,1,1,1,0,0,28.823,bright=1;contrast=0.1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.1_contrast-0.1_1,2stage,1,1,1,0,0,57.210,bright=1.1;contrast=0.1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.2_contrast-0.1_1,2stage,1,1,1,0,0,43.502,bright=1.2;contrast=0.1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.3_contrast-0.1_1,2stage,1,1,1,0,0,48.732,bright=1.3;contrast=0.1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.4_contrast-0.1_1,2stage,1,1,1,0,0,25.232,bright=1.4;contrast=0.1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.5_contrast-0.1_1,2stage,1,1,1,0,0,7.327,bright=1.5;contrast=0.1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.6_contrast-0.1_1,2stage,1,1,1,0,0,7.512,bright=1.6;contrast=0.1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.7_contrast-0.1_1,2stage,1,1,1,0,0,12.286,bright=1.7;contrast=0.1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.8_contrast-0.1_1,2stage,1,1,1,0,0,11.738,bright=1.8;contrast=0.1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.3_contrast-0.15_1,2stage,1,0,0,0,0,198.166,bright=0.3;contrast=0.15;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.4_contrast-0.15_1,2stage,1,0,0,0,0,113.337,bright=0.4;contrast=0.15;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.5_contrast-0.15_1,2stage,1,1,1,0,0,30.777,bright=0.5;contrast=0.15;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.6_contrast-0.15_1,2stage,1,1,1,0,0,28.997,bright=0.6;contrast=0.15;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.7_contrast-0.15_1,2stage,1,1,1,0,0,26.603,bright=0.7;contrast=0.15;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.8_contrast-0.15_1,2stage,1,1,1,0,0,25.230,bright=0.8;contrast=0.15;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.9_contrast-0.15_1,2stage,1,1,1,0,0,27.024,bright=0.9;contrast=0.15;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1_contrast-0.15_1,2stage,1,1,1,0,0,26.870,bright=1;contrast=0.15;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.1_contrast-0.15_1,2stage,1,1,1,0,0,48.330,bright=1.1;contrast=0.15;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.2_contrast-0.15_1,2stage,1,1,1,0,0,19.368,bright=1.2;contrast=0.15;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.3_contrast-0.15_1,2stage,1,1,1,0,0,8.147,bright=1.3;contrast=0.15;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.4_contrast-0.15_1,2stage,1,1,1,0,0,7.322,bright=1.4;contrast=0.15;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.5_contrast-0.15_1,2stage,1,1,1,0,0,8.987,bright=1.5;contrast=0.15;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.6_contrast-0.15_1,2stage,1,1,1,0,0,7.336,bright=1.6;contrast=0.15;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.7_contrast-0.15_1,2stage,1,1,1,0,0,11.660,bright=1.7;contrast=0.15;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-1.8_contrast-0.15_1,2stage,1,1,1,0,0,11.787,bright=1.8;contrast=0.15;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.3_contrast-0.2_1,2stage,1,0,0,0,0,145.365,bright=0.3;contrast=0.2;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.4_contrast-0.2_1,2stage,1,1,1,0,0,165.243,bright=0.4;contrast=0.2;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_bright-0.5_contrast-0.2_1,2stage,1,1,1,0,0,6.627,bright=0.5;contrast=0.2;sym-DATA_MATRIX;modpx-8.00;img-ok
