file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_bright-0.3_contrast-0.05_1,2stage,1,0,0,0,0,304.893,bright=0.3;contrast=0.05;sym-EAN_13;modpx-8.00;img-impossible
sw_bright-0.4_contrast-0.05_1,2stage,1,0,0,0,0,126.382,bright=0.4;contrast=0.05;sym-EAN_13;modpx-8.00;img-impossible
sw_bright-0.5_contrast-0.05_1,2stage,1,0,0,0,0,153.954,bright=0.5;contrast=0.05;sym-EAN_13;modpx-8.00;img-ok
sw_bright-0.6_contrast-0.05_1,2stage,1,0,0,0,0,154.998,bright=0.6;contrast=0.05;sym-EAN_13;modpx-8.00;img-ok
sw_bright-0.7_contrast-0.05_1,2stage,1,0,0,0,0,146.002,bright=0.7;contrast=0.05;sym-EAN_13;modpx-8.00;img-ok
sw_bright-0.8_contrast-0.05_1,2stage,1,0,0,0,0,133.118,bright=0.8;contrast=0.05;sym-EAN_13;modpx-8.00;img-ok
sw_bright-0.9_contrast-0.05_1,2stage,1,0,0,0,0,166.574,bright=0.9;contrast=0.05;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1_contrast-0.05_1,2stage,1,0,0,0,0,1106.450,bright=1;contrast=0.05;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1.1_contrast-0.05_1,2stage,1,1,1,0,0,159.429,bright=1.1;contrast=0.05;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1.2_contrast-0.05_1,2stage,1,0,0,0,0,348.438,bright=1.2;contrast=0.05;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1.3_contrast-0.05_1,2stage,1,1,1,0,0,159.074,bright=1.3;contrast=0.05;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1.4_contrast-0.05_1,2stage,1,1,1,0,0,122.029,bright=1.4;contrast=0.05;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1.5_contrast-0.05_1,2stage,1,1,1,0,0,42.163,bright=1.5;contrast=0.05;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1.6_contrast-0.05_1,2stage,1,1,1,0,0,45.866,bright=1.6;contrast=0.05;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1.7_contrast-0.05_1,2stage,1,1,1,0,0,17.839,bright=1.7;contrast=0.05;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1.8_contrast-0.05_1,2stage,1,1,1,0,0,32.040,bright=1.8;contrast=0.05;sym-EAN_13;modpx-8.00;img-ok
sw_bright-0.3_contrast-0.1_1,2stage,1,0,0,0,0,207.489,bright=0.3;contrast=0.1;sym-EAN_13;modpx-8.00;img-ok
sw_bright-0.4_contrast-0.1_1,2stage,1,0,0,0,0,155.841,bright=0.4;contrast=0.1;sym-EAN_13;modpx-8.00;img-ok
sw_bright-0.5_contrast-0.1_1,2stage,1,1,1,0,0,48.988,bright=0.5;contrast=0.1;sym-EAN_13;modpx-8.00;img-ok
sw_bright-0.6_contrast-0.1_1,2stage,1,1,1,0,0,49.907,bright=0.6;contrast=0.1;sym-EAN_13;modpx-8.00;img-ok
sw_bright-0.7_contrast-0.1_1,2stage,1,1,1,0,0,51.895,bright=0.7;contrast=0.1;sym-EAN_13;modpx-8.00;img-ok
sw_bright-0.8_contrast-0.1_1,2stage,1,1,1,0,0,51.717,bright=0.8;contrast=0.1;sym-EAN_13;modpx-8.00;img-ok
sw_bright-0.9_contrast-0.1_1,2stage,1,1,1,0,0,97.243,bright=0.9;contrast=0.1;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1_contrast-0.1_1,2stage,1,1,1,0,0,86.838,bright=1;contrast=0.1;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1.1_contrast-0.1_1,2stage,1,1,1,0,0,132.487,bright=1.1;contrast=0.1;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1.2_contrast-0.1_1,2stage,1,1,1,0,0,119.258,bright=1.2;contrast=0.1;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1.3_contrast-0.1_1,2stage,1,1,1,0,0,47.614,bright=1.3;contrast=0.1;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1.4_contrast-0.1_1,2stage,1,1,1,0,0,15.725,bright=1.4;contrast=0.1;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1.5_contrast-0.1_1,2stage,1,1,1,0,0,14.096,bright=1.5;contrast=0.1;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1.6_contrast-0.1_1,2stage,1,1,1,0,0,14.670,bright=1.6;contrast=0.1;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1.7_contrast-0.1_1,2stage,1,1,1,0,0,12.227,bright=1.7;contrast=0.1;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1.8_contrast-0.1_1,2stage,1,1,1,0,0,24.424,bright=1.8;contrast=0.1;sym-EAN_13;modpx-8.00;img-ok
sw_bright-0.3_contrast-0.15_1,2stage,1,1,1,0,0,71.699,bright=0.3;contrast=0.15;sym-EAN_13;modpx-8.00;img-ok
sw_bright-0.4_contrast-0.15_1,2stage,1,1,1,0,0,118.081,bright=0.4;contrast=0.15;sym-EAN_13;modpx-8.00;img-ok
sw_bright-0.5_contrast-0.15_1,2stage,1,1,1,0,0,22.679,bright=0.5;contrast=0.15;sym-EAN_13;modpx-8.00;img-ok
sw_bright-0.6_contrast-0.15_1,2stage,1,1,1,0,0,21.063,bright=0.6;contrast=0.15;sym-EAN_13;modpx-8.00;img-ok
sw_bright-0.7_contrast-0.15_1,2stage,1,1,1,0,0,21.607,bright=0.7;contrast=0.15;sym-EAN_13;modpx-8.00;img-ok
sw_bright-0.8_contrast-0.15_1,2stage,1,1,1,0,0,12.135,bright=0.8;contrast=0.15;sym-EAN_13;modpx-8.00;img-ok
sw_bright-0.9_contrast-0.15_1,2stage,1,1,1,0,0,21.573,bright=0.9;contrast=0.15;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1_contrast-0.15_1,2stage,1,1,1,0,0,12.290,bright=1;contrast=0.15;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1.1_contrast-0.15_1,2stage,1,1,1,0,0,29.650,bright=1.1;contrast=0.15;sym-EAN_13;modpx-8.00;img-ok
sw_bright-1.2_contrast-0.15_1,2stage,1,1,1,0,0,30.521,bright=1.2;contrast=0.15;sym-EAN_13;modpx-8.00;img-ok
