file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_bright-0.3_contrast-0.05_1,2stage,1,0,0,0,0,242.223,bright=0.3;contrast=0.05;sym-ITF;modpx-4.00;img-impossible
sw_bright-0.4_contrast-0.05_1,2stage,1,0,0,0,0,113.550,bright=0.4;contrast=0.05;sym-ITF;modpx-4.00;img-impossible
sw_bright-0.5_contrast-0.05_1,2stage,1,0,0,0,0,129.446,bright=0.5;contrast=0.05;sym-ITF;modpx-4.00;img-ok
sw_bright-0.6_contrast-0.05_1,2stage,1,0,0,0,0,154.673,bright=0.6;contrast=0.05;sym-ITF;modpx-4.00;img-ok
sw_bright-0.7_contrast-0.05_1,2stage,1,0,0,0,0,124.375,bright=0.7;contrast=0.05;sym-ITF;modpx-4.00;img-ok
sw_bright-0.8_contrast-0.05_1,2stage,1,1,1,0,0,46.240,bright=0.8;contrast=0.05;sym-ITF;modpx-4.00;img-ok
sw_bright-0.9_contrast-0.05_1,2stage,1,1,1,0,0,45.546,bright=0.9;contrast=0.05;sym-ITF;modpx-4.00;img-ok
sw_bright-1_contrast-0.05_1,2stage,1,1,1,0,0,33.412,bright=1;contrast=0.05;sym-ITF;modpx-4.00;img-ok
sw_bright-1.1_contrast-0.05_1,2stage,1,1,1,0,0,55.551,bright=1.1;contrast=0.05;sym-ITF;modpx-4.00;img-ok
sw_bright-1.2_contrast-0.05_1,2stage,1,1,1,0,0,79.595,bright=1.2;contrast=0.05;sym-ITF;modpx-4.00;img-ok
sw_bright-1.3_contrast-0.05_1,2stage,1,1,1,0,0,62.751,bright=1.3;contrast=0.05;sym-ITF;modpx-4.00;img-ok
sw_bright-1.4_contrast-0.05_1,2stage,1,1,1,0,0,39.018,bright=1.4;contrast=0.05;sym-ITF;modpx-4.00;img-ok
sw_bright-1.5_contrast-0.05_1,2stage,1,1,1,0,0,29.349,bright=1.5;contrast=0.05;sym-ITF;modpx-4.00;img-ok
sw_bright-1.6_contrast-0.05_1,2stage,1,1,1,0,0,29.491,bright=1.6;contrast=0.05;sym-ITF;modpx-4.00;img-ok
sw_bright-1.7_contrast-0.05_1,2stage,1,1,1,0,0,11.411,bright=1.7;contrast=0.05;sym-ITF;modpx-4.00;img-ok
sw_bright-1.8_contrast-0.05_1,2stage,1,1,1,0,0,12.086,bright=1.8;contrast=0.05;sym-ITF;modpx-4.00;img-ok
sw_bright-0.3_contrast-0.1_1,2stage,1,0,0,0,0,215.169,bright=0.3;contrast=0.1;sym-ITF;modpx-4.00;img-ok
sw_bright-0.4_contrast-0.1_1,2stage,1,0,0,0,0,144.280,bright=0.4;contrast=0.1;sym-ITF;modpx-4.00;img-ok
sw_bright-0.5_contrast-0.1_1,2stage,1,1,1,0,0,56.615,bright=0.5;contrast=0.1;sym-ITF;modpx-4.00;img-ok
