file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_bright-0.3_contrast-0.05_1,2stage,1,0,0,0,0,414.572,bright=0.3;contrast=0.05;sym-PDF417;modpx-8.00;img-impossible
sw_bright-0.4_contrast-0.05_1,2stage,1,0,0,0,0,203.494,bright=0.4;contrast=0.05;sym-PDF417;modpx-8.00;img-impossible
sw_bright-0.5_contrast-0.05_1,2stage,1,0,0,0,0,176.749,bright=0.5;contrast=0.05;sym-PDF417;modpx-8.00;img-ok
sw_bright-0.6_contrast-0.05_1,2stage,1,0,0,0,0,192.760,bright=0.6;contrast=0.05;sym-PDF417;modpx-8.00;img-ok
sw_bright-0.7_contrast-0.05_1,2stage,1,0,0,0,0,139.490,bright=0.7;contrast=0.05;sym-PDF417;modpx-8.00;img-ok
sw_bright-0.8_contrast-0.05_1,2stage,1,1,1,0,0,504.330,bright=0.8;contrast=0.05;sym-PDF417;modpx-8.00;img-ok
sw_bright-0.9_contrast-0.05_1,2stage,1,1,1,0,0,106.747,bright=0.9;contrast=0.05;sym-PDF417;modpx-8.00;img-ok
sw_bright-1_contrast-0.05_1,2stage,1,1,1,0,0,98.930,bright=1;contrast=0.05;sym-PDF417;modpx-8.00;img-ok
sw_bright-1.1_contrast-0.05_1,2stage,1,1,1,0,0,168.016,bright=1.1;contrast=0.05;sym-PDF417;modpx-8.00;img-ok
sw_bright-1.2_contrast-0.05_1,2stage,1,1,1,0,0,107.828,bright=1.2;contrast=0.05;sym-PDF417;modpx-8.00;img-ok
sw_bright-1.3_contrast-0.05_1,2stage,1,1,1,0,0,105.883,bright=1.3;contrast=0.05;sym-PDF417;modpx-8.00;img-ok
sw_bright-1.4_contrast-0.05_1,2stage,1,1,1,0,0,98.874,bright=1.4;contrast=0.05;sym-PDF417;modpx-8.00;img-ok
sw_bright-1.5_contrast-0.05_1,2stage,1,1,1,0,0,103.378,bright=1.5;contrast=0.05;sym-PDF417;modpx-8.00;img-ok
sw_bright-1.6_contrast-0.05_1,2stage,1,1,1,0,0,99.366,bright=1.6;contrast=0.05;sym-PDF417;modpx-8.00;img-ok
sw_bright-1.7_contrast-0.05_1,2stage,1,1,1,0,0,93.905,bright=1.7;contrast=0.05;sym-PDF417;modpx-8.00;img-ok
sw_bright-1.8_contrast-0.05_1,2stage,1,1,1,0,0,22.131,bright=1.8;contrast=0.05;sym-PDF417;modpx-8.00;img-ok
sw_bright-0.3_contrast-0.1_1,2stage,1,0,0,0,0,213.246,bright=0.3;contrast=0.1;sym-PDF417;modpx-8.00;img-ok
sw_bright-0.4_contrast-0.1_1,2stage,1,0,0,0,0,189.490,bright=0.4;contrast=0.1;sym-PDF417;modpx-8.00;img-ok
sw_bright-0.5_contrast-0.1_1,2stage,1,1,1,0,0,306.996,bright=0.5;contrast=0.1;sym-PDF417;modpx-8.00;img-ok
sw_bright-0.6_contrast-0.1_1,2stage,1,1,1,0,0,117.844,bright=0.6;contrast=0.1;sym-PDF417;modpx-8.00;img-ok
sw_bright-0.7_contrast-0.1_1,2stage,1,1,1,0,0,120.743,bright=0.7;contrast=0.1;sym-PDF417;modpx-8.00;img-ok
sw_bright-0.8_contrast-0.1_1,2stage,1,1,1,0,0,117.102,bright=0.8;contrast=0.1;sym-PDF417;modpx-8.00;img-ok
sw_bright-0.9_contrast-0.1_1,2stage,1,1,1,0,0,113.205,bright=0.9;contrast=0.1;sym-PDF417;modpx-8.00;img-ok
