file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_bright-0.3_contrast-0.05_1,2stage,1,0,0,0,0,150.539,bright=0.3;contrast=0.05;sym-QR_CODE;modpx-4.00;img-impossible
sw_bright-0.4_contrast-0.05_1,2stage,1,0,0,0,0,143.255,bright=0.4;contrast=0.05;sym-QR_CODE;modpx-4.00;img-impossible
sw_bright-0.5_contrast-0.05_1,2stage,1,0,0,0,0,96.099,bright=0.5;contrast=0.05;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-0.6_contrast-0.05_1,2stage,1,0,0,0,0,91.411,bright=0.6;contrast=0.05;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-0.7_contrast-0.05_1,2stage,1,0,0,0,0,92.975,bright=0.7;contrast=0.05;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-0.8_contrast-0.05_1,2stage,1,0,0,0,0,91.349,bright=0.8;contrast=0.05;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-0.9_contrast-0.05_1,2stage,1,0,0,0,0,91.887,bright=0.9;contrast=0.05;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-1_contrast-0.05_1,2stage,1,0,0,0,0,142.717,bright=1;contrast=0.05;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-1.1_contrast-0.05_1,2stage,1,0,0,0,0,147.891,bright=1.1;contrast=0.05;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-1.2_contrast-0.05_1,2stage,1,0,0,0,0,100.726,bright=1.2;contrast=0.05;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-1.3_contrast-0.05_1,2stage,1,0,0,0,0,165.194,bright=1.3;contrast=0.05;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-1.4_contrast-0.05_1,2stage,1,0,0,0,0,155.809,bright=1.4;contrast=0.05;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-1.5_contrast-0.05_1,2stage,1,1,1,0,0,37.834,bright=1.5;contrast=0.05;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-1.6_contrast-0.05_1,2stage,1,1,1,0,0,37.991,bright=1.6;contrast=0.05;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-1.7_contrast-0.05_1,2stage,1,1,1,0,0,21.919,bright=1.7;contrast=0.05;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-1.8_contrast-0.05_1,2stage,1,1,1,0,0,22.699,bright=1.8;contrast=0.05;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-0.3_contrast-0.1_1,2stage,1,0,0,0,0,132.940,bright=0.3;contrast=0.1;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-0.4_contrast-0.1_1,2stage,1,0,0,0,0,102.284,bright=0.4;contrast=0.1;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-0.5_contrast-0.1_1,2stage,1,0,0,0,0,110.612,bright=0.5;contrast=0.1;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-0.6_contrast-0.1_1,2stage,1,0,0,0,0,109.684,bright=0.6;contrast=0.1;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-0.7_contrast-0.1_1,2stage,1,0,0,0,0,87.748,bright=0.7;contrast=0.1;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-0.8_contrast-0.1_1,2stage,1,0,0,0,0,93.864,bright=0.8;contrast=0.1;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-0.9_contrast-0.1_1,2stage,1,0,0,0,0,93.111,bright=0.9;contrast=0.1;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-1_contrast-0.1_1,2stage,1,0,0,0,0,148.173,bright=1;contrast=0.1;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-1.1_contrast-0.1_1,2stage,1,0,0,0,0,170.446,bright=1.1;contrast=0.1;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-1.2_contrast-0.1_1,2stage,1,0,0,0,0,143.258,bright=1.2;contrast=0.1;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-1.3_contrast-0.1_1,2stage,1,1,1,0,0,40.295,bright=1.3;contrast=0.1;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-1.4_contrast-0.1_1,2stage,1,1,1,0,0,38.053,bright=1.4;contrast=0.1;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-1.5_contrast-0.1_1,2stage,1,1,1,0,0,22.868,bright=1.5;contrast=0.1;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-1.6_contrast-0.1_1,2stage,1,1,1,0,0,22.246,bright=1.6;contrast=0.1;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-1.7_contrast-0.1_1,2stage,1,1,1,0,0,11.533,bright=1.7;contrast=0.1;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-1.8_contrast-0.1_1,2stage,1,1,1,0,0,12.287,bright=1.8;contrast=0.1;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-0.3_contrast-0.15_1,2stage,1,0,0,0,0,178.556,bright=0.3;contrast=0.15;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-0.4_contrast-0.15_1,2stage,1,0,0,0,0,131.215,bright=0.4;contrast=0.15;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-0.5_contrast-0.15_1,2stage,1,0,0,0,0,98.272,bright=0.5;contrast=0.15;sym-QR_CODE;modpx-4.00;img-ok
sw_bright-0.6_contrast-0.15_1,2stage,1,0,0,0,0,95.528,bright=0.6;contrast=0.15;sym-QR_CODE;modpx-4.00;img-ok
