file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_bright-0.3_contrast-0.05_1,2stage,1,0,0,0,0,286.298,bright=0.3;contrast=0.05;sym-UPC_A;modpx-8.00;img-impossible
sw_bright-0.4_contrast-0.05_1,2stage,1,0,0,0,0,164.425,bright=0.4;contrast=0.05;sym-UPC_A;modpx-8.00;img-impossible
sw_bright-0.5_contrast-0.05_1,2stage,1,0,0,0,0,198.932,bright=0.5;contrast=0.05;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.6_contrast-0.05_1,2stage,1,0,0,0,0,194.862,bright=0.6;contrast=0.05;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.7_contrast-0.05_1,2stage,1,0,0,0,0,184.293,bright=0.7;contrast=0.05;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.8_contrast-0.05_1,2stage,1,0,0,0,0,143.199,bright=0.8;contrast=0.05;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.9_contrast-0.05_1,2stage,1,0,0,0,0,144.728,bright=0.9;contrast=0.05;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1_contrast-0.05_1,2stage,1,0,0,0,0,1092.292,bright=1;contrast=0.05;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.1_contrast-0.05_1,2stage,1,1,1,0,0,231.120,bright=1.1;contrast=0.05;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.2_contrast-0.05_1,2stage,1,0,0,0,0,371.239,bright=1.2;contrast=0.05;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.3_contrast-0.05_1,2stage,1,1,1,0,0,169.936,bright=1.3;contrast=0.05;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.4_contrast-0.05_1,2stage,1,1,1,0,0,108.063,bright=1.4;contrast=0.05;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.5_contrast-0.05_1,2stage,1,1,1,0,0,43.144,bright=1.5;contrast=0.05;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.6_contrast-0.05_1,2stage,1,1,1,0,0,50.234,bright=1.6;contrast=0.05;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.7_contrast-0.05_1,2stage,1,1,1,0,0,18.489,bright=1.7;contrast=0.05;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.8_contrast-0.05_1,2stage,1,1,1,0,0,17.368,bright=1.8;contrast=0.05;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.3_contrast-0.1_1,2stage,1,0,0,0,0,263.628,bright=0.3;contrast=0.1;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.4_contrast-0.1_1,2stage,1,1,1,0,0,866.699,bright=0.4;contrast=0.1;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.5_contrast-0.1_1,2stage,1,1,1,0,0,57.660,bright=0.5;contrast=0.1;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.6_contrast-0.1_1,2stage,1,1,1,0,0,52.164,bright=0.6;contrast=0.1;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.7_contrast-0.1_1,2stage,1,1,1,0,0,59.993,bright=0.7;contrast=0.1;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.8_contrast-0.1_1,2stage,1,1,1,0,0,56.684,bright=0.8;contrast=0.1;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.9_contrast-0.1_1,2stage,1,1,1,0,0,96.863,bright=0.9;contrast=0.1;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1_contrast-0.1_1,2stage,1,1,1,0,0,97.653,bright=1;contrast=0.1;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.1_contrast-0.1_1,2stage,1,1,1,0,0,199.947,bright=1.1;contrast=0.1;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.2_contrast-0.1_1,2stage,1,1,1,0,0,77.318,bright=1.2;contrast=0.1;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.3_contrast-0.1_1,2stage,1,1,1,0,0,46.865,bright=1.3;contrast=0.1;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.4_contrast-0.1_1,2stage,1,1,1,0,0,15.315,bright=1.4;contrast=0.1;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.5_contrast-0.1_1,2stage,1,1,1,0,0,15.196,bright=1.5;contrast=0.1;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.6_contrast-0.1_1,2stage,1,1,1,0,0,14.879,bright=1.6;contrast=0.1;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.7_contrast-0.1_1,2stage,1,1,1,0,0,13.949,bright=1.7;contrast=0.1;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.8_contrast-0.1_1,2stage,1,1,1,0,0,25.458,bright=1.8;contrast=0.1;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.3_contrast-0.15_1,2stage,1,1,1,0,0,80.992,bright=0.3;contrast=0.15;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.4_contrast-0.15_1,2stage,1,1,1,0,0,52.125,bright=0.4;contrast=0.15;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.5_contrast-0.15_1,2stage,1,1,1,0,0,32.942,bright=0.5;contrast=0.15;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.6_contrast-0.15_1,2stage,1,1,1,0,0,18.790,bright=0.6;contrast=0.15;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.7_contrast-0.15_1,2stage,1,1,1,0,0,23.479,bright=0.7;contrast=0.15;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.8_contrast-0.15_1,2stage,1,1,1,0,0,13.351,bright=0.8;contrast=0.15;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.9_contrast-0.15_1,2stage,1,1,1,0,0,23.271,bright=0.9;contrast=0.15;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1_contrast-0.15_1,2stage,1,1,1,0,0,13.998,bright=1;contrast=0.15;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.1_contrast-0.15_1,2stage,1,1,1,0,0,30.937,bright=1.1;contrast=0.15;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.2_contrast-0.15_1,2stage,1,1,1,0,0,23.381,bright=1.2;contrast=0.15;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.3_contrast-0.15_1,2stage,1,1,1,0,0,15.629,bright=1.3;contrast=0.15;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.4_contrast-0.15_1,2stage,1,1,1,0,0,16.768,bright=1.4;contrast=0.15;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.5_contrast-0.15_1,2stage,1,1,1,0,0,19.649,bright=1.5;contrast=0.15;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.6_contrast-0.15_1,2stage,1,1,1,0,0,15.575,bright=1.6;contrast=0.15;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.7_contrast-0.15_1,2stage,1,1,1,0,0,13.924,bright=1.7;contrast=0.15;sym-UPC_A;modpx-8.00;img-ok
sw_bright-1.8_contrast-0.15_1,2stage,1,1,1,0,0,16.305,bright=1.8;contrast=0.15;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.3_contrast-0.2_1,2stage,1,1,1,0,0,44.863,bright=0.3;contrast=0.2;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.4_contrast-0.2_1,2stage,1,1,1,0,0,32.696,bright=0.4;contrast=0.2;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.5_contrast-0.2_1,2stage,1,1,1,0,0,19.607,bright=0.5;contrast=0.2;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.6_contrast-0.2_1,2stage,1,1,1,0,0,15.922,bright=0.6;contrast=0.2;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.7_contrast-0.2_1,2stage,1,1,1,0,0,16.930,bright=0.7;contrast=0.2;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.8_contrast-0.2_1,2stage,1,1,1,0,0,14.524,bright=0.8;contrast=0.2;sym-UPC_A;modpx-8.00;img-ok
sw_bright-0.9_contrast-0.2_1,2stage,1,1,1,0,0,16.775,bright=0.9;contrast=0.2;sym-UPC_A;modpx-8.00;img-ok
