file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_bright-0.3_contrast-0.05_1,2stage,1,0,0,0,0,258.817,bright=0.3;contrast=0.05;sym-UPC_E;modpx-8.00;img-impossible
sw_bright-0.4_contrast-0.05_1,2stage,1,0,0,0,0,249.433,bright=0.4;contrast=0.05;sym-UPC_E;modpx-8.00;img-impossible
sw_bright-0.5_contrast-0.05_1,2stage,1,0,0,0,0,346.439,bright=0.5;contrast=0.05;sym-UPC_E;modpx-8.00;img-ok
sw_bright-0.6_contrast-0.05_1,2stage,1,0,0,0,0,153.158,bright=0.6;contrast=0.05;sym-UPC_E;modpx-8.00;img-ok
sw_bright-0.7_contrast-0.05_1,2stage,1,0,0,0,0,152.731,bright=0.7;contrast=0.05;sym-UPC_E;modpx-8.00;img-ok
sw_bright-0.8_contrast-0.05_1,2stage,1,0,0,0,0,128.362,bright=0.8;contrast=0.05;sym-UPC_E;modpx-8.00;img-ok
sw_bright-0.9_contrast-0.05_1,2stage,1,0,0,0,0,142.788,bright=0.9;contrast=0.05;sym-UPC_E;modpx-8.00;img-ok
sw_bright-1_contrast-0.05_1,2stage,1,0,0,0,0,142.356,bright=1;contrast=0.05;sym-UPC_E;modpx-8.00;img-ok
sw_bright-1.1_contrast-0.05_1,2stage,1,0,0,0,0,302.112,bright=1.1;contrast=0.05;sym-UPC_E;modpx-8.00;img-ok
sw_bright-1.2_contrast-0.05_1,2stage,1,0,0,0,0,239.656,bright=1.2;contrast=0.05;sym-UPC_E;modpx-8.00;img-ok
sw_bright-1.3_contrast-0.05_1,2stage,1,1,1,0,0,205.699,bright=1.3;contrast=0.05;sym-UPC_E;modpx-8.00;img-ok
sw_bright-1.4_contrast-0.05_1,2stage,1,1,1,0,0,47.014,bright=1.4;contrast=0.05;sym-UPC_E;modpx-8.00;img-ok
sw_bright-1.5_contrast-0.05_1,2stage,1,1,1,0,0,45.181,bright=1.5;contrast=0.05;sym-UPC_E;modpx-8.00;img-ok
sw_bright-1.6_contrast-0.05_1,2stage,1,1,1,0,0,44.826,bright=1.6;contrast=0.05;sym-UPC_E;modpx-8.00;img-ok
sw_bright-1.7_contrast-0.05_1,2stage,1,1,1,0,0,18.938,bright=1.7;contrast=0.05;sym-UPC_E;modpx-8.00;img-ok
sw_bright-1.8_contrast-0.05_1,2stage,1,1,1,0,0,17.373,bright=1.8;contrast=0.05;sym-UPC_E;modpx-8.00;img-ok
sw_bright-0.3_contrast-0.1_1,2stage,1,0,0,0,0,221.578,bright=0.3;contrast=0.1;sym-UPC_E;modpx-8.00;img-ok
sw_bright-0.4_contrast-0.1_1,2stage,1,0,0,0,0,198.238,bright=0.4;contrast=0.1;sym-UPC_E;modpx-8.00;img-ok
sw_bright-0.5_contrast-0.1_1,2stage,1,0,0,0,0,259.995,bright=0.5;contrast=0.1;sym-UPC_E;modpx-8.00;img-ok
sw_bright-0.6_contrast-0.1_1,2stage,1,0,0,0,0,183.219,bright=0.6;contrast=0.1;sym-UPC_E;modpx-8.00;img-ok
sw_bright-0.7_contrast-0.1_1,2stage,1,0,0,0,0,160.187,bright=0.7;contrast=0.1;sym-UPC_E;modpx-8.00;img-ok
sw_bright-0.8_contrast-0.1_1,2stage,1,0,0,0,0,202.975,bright=0.8;contrast=0.1;sym-UPC_E;modpx-8.00;img-ok
sw_bright-0.9_contrast-0.1_1,2stage,1,1,1,0,0,69.630,bright=0.9;contrast=0.1;sym-UPC_E;modpx-8.00;img-ok
sw_bright-1_contrast-0.1_1,2stage,1,1,1,0,0,137.962,bright=1;contrast=0.1;sym-UPC_E;modpx-8.00;img-ok
sw_bright-1.1_contrast-0.1_1,2stage,1,1,1,0,0,163.317,bright=1.1;contrast=0.1;sym-UPC_E;modpx-8.00;img-ok
sw_bright-1.2_contrast-0.1_1,2stage,1,1,1,0,0,51.137,bright=1.2;contrast=0.1;sym-UPC_E;modpx-8.00;img-ok
sw_bright-1.3_contrast-0.1_1,2stage,1,1,1,0,0,44.657,bright=1.3;contrast=0.1;sym-UPC_E;modpx-8.00;img-ok
sw_bright-1.4_contrast-0.1_1,2stage,1,1,1,0,0,43.442,bright=1.4;contrast=0.1;sym-UPC_E;modpx-8.00;img-ok
sw_bright-1.5_contrast-0.1_1,2stage,1,1,1,0,0,32.888,bright=1.5;contrast=0.1;sym-UPC_E;modpx-8.00;img-ok
sw_bright-1.6_contrast-0.1_1,2stage,1,1,1,0,0,16.546,bright=1.6;contrast=0.1;sym-UPC_E;modpx-8.00;img-ok
sw_bright-1.7_contrast-0.1_1,2stage,1,1,1,0,0,14.748,bright=1.7;contrast=0.1;sym-UPC_E;modpx-8.00;img-ok
