file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_angle-0_module-2_1,2stage,1,1,1,0,0,1.253,angle=0;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-5_module-2_1,2stage,1,1,1,0,0,1.441,angle=5;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-10_module-2_1,2stage,1,1,1,0,0,0.904,angle=10;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-15_module-2_1,2stage,1,1,1,0,0,0.973,angle=15;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-20_module-2_1,2stage,1,1,1,0,0,10.966,angle=20;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-25_module-2_1,2stage,1,1,1,0,0,9.949,angle=25;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-30_module-2_1,2stage,1,1,1,0,0,8.884,angle=30;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-35_module-2_1,2stage,1,1,1,0,0,9.019,angle=35;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-40_module-2_1,2stage,1,1,1,0,0,10.555,angle=40;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-45_module-2_1,2stage,1,1,1,0,0,22.244,angle=45;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-50_module-2_1,2stage,1,1,1,0,0,17.327,angle=50;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-55_module-2_1,2stage,1,1,1,0,0,17.430,angle=55;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-60_module-2_1,2stage,1,1,1,0,0,11.090,angle=60;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-65_module-2_1,2stage,1,1,1,0,0,10.090,angle=65;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-70_module-2_1,2stage,1,1,1,0,0,8.649,angle=70;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-75_module-2_1,2stage,1,1,1,0,0,18.912,angle=75;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-80_module-2_1,2stage,1,1,1,0,0,20.209,angle=80;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-85_module-2_1,2stage,1,1,1,0,0,16.956,angle=85;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-90_module-2_1,2stage,1,1,1,0,0,22.150,angle=90;module=2;sym-CODABAR;modpx-2.00;img-ok
sw_angle-0_module-2.25_1,2stage,1,1,1,0,0,1.140,angle=0;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-5_module-2.25_1,2stage,1,1,1,0,0,1.427,angle=5;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-10_module-2.25_1,2stage,1,1,1,0,0,1.427,angle=10;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-15_module-2.25_1,2stage,1,1,1,0,0,2.522,angle=15;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-20_module-2.25_1,2stage,1,1,1,0,0,9.737,angle=20;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-25_module-2.25_1,2stage,1,1,1,0,0,19.198,angle=25;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-30_module-2.25_1,2stage,1,1,1,0,0,18.745,angle=30;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-35_module-2.25_1,2stage,1,1,1,0,0,23.729,angle=35;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-40_module-2.25_1,2stage,1,1,1,0,0,22.406,angle=40;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-45_module-2.25_1,2stage,1,1,1,0,0,10.230,angle=45;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-50_module-2.25_1,2stage,1,1,1,0,0,10.084,angle=50;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-55_module-2.25_1,2stage,1,1,1,0,0,9.833,angle=55;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-60_module-2.25_1,2stage,1,1,1,0,0,10.365,angle=60;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-65_module-2.25_1,2stage,1,1,1,0,0,22.706,angle=65;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-70_module-2.25_1,2stage,1,1,1,0,0,18.733,angle=70;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-75_module-2.25_1,2stage,1,1,1,0,0,23.754,angle=75;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-80_module-2.25_1,2stage,1,1,1,0,0,37.357,angle=80;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-85_module-2.25_1,2stage,1,1,1,0,0,10.263,angle=85;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-90_module-2.25_1,2stage,1,1,1,0,0,10.121,angle=90;module=2.25;sym-CODABAR;modpx-2.25;img-ok
sw_angle-0_module-2.5_1,2stage,1,1,1,0,0,1.097,angle=0;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-5_module-2.5_1,2stage,1,1,1,0,0,1.281,angle=5;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-10_module-2.5_1,2stage,1,1,1,0,0,2.492,angle=10;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-15_module-2.5_1,2stage,1,1,1,0,0,8.169,angle=15;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-20_module-2.5_1,2stage,1,1,1,0,0,14.182,angle=20;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-25_module-2.5_1,2stage,1,1,1,0,0,14.847,angle=25;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-30_module-2.5_1,2stage,1,1,1,0,0,16.436,angle=30;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-35_module-2.5_1,2stage,1,1,1,0,0,9.903,angle=35;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-40_module-2.5_1,2stage,1,1,1,0,0,9.983,angle=40;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-45_module-2.5_1,2stage,1,1,1,0,0,9.602,angle=45;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-50_module-2.5_1,2stage,1,1,1,0,0,23.050,angle=50;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-55_module-2.5_1,2stage,1,1,1,0,0,13.894,angle=55;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-60_module-2.5_1,2stage,1,1,1,0,0,22.406,angle=60;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-65_module-2.5_1,2stage,1,1,1,0,0,19.491,angle=65;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-70_module-2.5_1,2stage,1,1,1,0,0,12.792,angle=70;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-75_module-2.5_1,2stage,1,1,1,0,0,12.503,angle=75;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-80_module-2.5_1,2stage,1,1,1,0,0,10.911,angle=80;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-85_module-2.5_1,2stage,1,1,1,0,0,10.822,angle=85;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-90_module-2.5_1,2stage,1,1,1,0,0,10.093,angle=90;module=2.5;sym-CODABAR;modpx-2.50;img-ok
sw_angle-0_module-2.75_1,2stage,1,1,1,0,0,0.832,angle=0;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-5_module-2.75_1,2stage,1,1,1,0,0,1.013,angle=5;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-10_module-2.75_1,2stage,1,1,1,0,0,2.261,angle=10;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-15_module-2.75_1,2stage,1,1,1,0,0,3.261,angle=15;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-20_module-2.75_1,2stage,1,1,1,0,0,11.933,angle=20;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-25_module-2.75_1,2stage,1,1,1,0,0,13.268,angle=25;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-30_module-2.75_1,2stage,1,1,1,0,0,12.417,angle=30;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-35_module-2.75_1,2stage,1,1,1,0,0,24.138,angle=35;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-40_module-2.75_1,2stage,1,1,1,0,0,22.196,angle=40;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-45_module-2.75_1,2stage,1,1,1,0,0,18.618,angle=45;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-50_module-2.75_1,2stage,1,1,1,0,0,14.611,angle=50;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-55_module-2.75_1,2stage,1,1,1,0,0,12.558,angle=55;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-60_module-2.75_1,2stage,1,1,1,0,0,11.709,angle=60;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-65_module-2.75_1,2stage,1,1,1,0,0,11.995,angle=65;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-70_module-2.75_1,2stage,1,1,1,0,0,11.754,angle=70;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-75_module-2.75_1,2stage,1,1,1,0,0,24.628,angle=75;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-80_module-2.75_1,2stage,1,1,1,0,0,10.923,angle=80;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-85_module-2.75_1,2stage,1,1,1,0,0,11.288,angle=85;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-90_module-2.75_1,2stage,1,1,1,0,0,9.941,angle=90;module=2.75;sym-CODABAR;modpx-2.75;img-ok
sw_angle-0_module-3_1,2stage,1,1,1,0,0,1.313,angle=0;module=3;sym-CODABAR;modpx-3.00;img-ok
sw_angle-5_module-3_1,2stage,1,1,1,0,0,1.357,angle=5;module=3;sym-CODABAR;modpx-3.00;img-ok
sw_angle-10_module-3_1,2stage,1,1,1,0,0,1.644,angle=10;module=3;sym-CODABAR;modpx-3.00;img-ok
sw_angle-15_module-3_1,2stage,1,1,1,0,0,1.240,angle=15;module=3;sym-CODABAR;modpx-3.00;img-ok
sw_angle-20_module-3_1,2stage,1,1,1,0,0,27.157,angle=20;module=3;sym-CODABAR;modpx-3.00;img-ok
sw_angle-25_module-3_1,2stage,1,1,1,0,0,21.745,angle=25;module=3;sym-CODABAR;modpx-3.00;img-ok
sw_angle-30_module-3_1,2stage,1,1,1,0,0,25.030,angle=30;module=3;sym-CODABAR;modpx-3.00;img-ok
