file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_angle-0_module-2_1,2stage,1,1,1,0,0,1.201,angle=0;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-5_module-2_1,2stage,1,1,1,0,0,7.839,angle=5;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-10_module-2_1,2stage,1,1,1,0,0,0.935,angle=10;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-15_module-2_1,2stage,1,1,1,0,0,0.901,angle=15;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-20_module-2_1,2stage,1,1,1,0,0,8.720,angle=20;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-25_module-2_1,2stage,1,1,1,0,0,8.489,angle=25;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-30_module-2_1,2stage,1,1,1,0,0,10.776,angle=30;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-35_module-2_1,2stage,1,1,1,0,0,8.666,angle=35;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-40_module-2_1,2stage,1,1,1,0,0,14.058,angle=40;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-45_module-2_1,2stage,1,1,1,0,0,16.425,angle=45;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-50_module-2_1,2stage,1,1,1,0,0,12.221,angle=50;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-55_module-2_1,2stage,1,1,1,0,0,16.124,angle=55;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-60_module-2_1,2stage,1,1,1,0,0,10.599,angle=60;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-65_module-2_1,2stage,1,1,1,0,0,7.690,angle=65;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-70_module-2_1,2stage,1,1,1,0,0,7.921,angle=70;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-75_module-2_1,2stage,1,1,1,0,0,14.685,angle=75;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-80_module-2_1,2stage,1,1,1,0,0,13.425,angle=80;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-85_module-2_1,2stage,1,1,1,0,0,12.731,angle=85;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-90_module-2_1,2stage,1,1,1,0,0,16.217,angle=90;module=2;sym-CODE_128;modpx-2.00;img-ok
sw_angle-0_module-2.25_1,2stage,1,1,1,0,0,0.893,angle=0;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-5_module-2.25_1,2stage,1,1,1,0,0,1.431,angle=5;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-10_module-2.25_1,2stage,1,1,1,0,0,1.356,angle=10;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-15_module-2.25_1,2stage,1,1,1,0,0,1.180,angle=15;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-20_module-2.25_1,2stage,1,1,1,0,0,8.460,angle=20;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-25_module-2.25_1,2stage,1,1,1,0,0,11.731,angle=25;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-30_module-2.25_1,2stage,1,1,1,0,0,23.270,angle=30;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-35_module-2.25_1,2stage,1,1,1,0,0,23.332,angle=35;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-40_module-2.25_1,2stage,1,1,1,0,0,16.771,angle=40;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-45_module-2.25_1,2stage,1,1,1,0,0,21.055,angle=45;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-50_module-2.25_1,2stage,1,1,1,0,0,9.287,angle=50;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-55_module-2.25_1,2stage,1,1,1,0,0,9.269,angle=55;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-60_module-2.25_1,2stage,1,1,1,0,0,8.512,angle=60;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-65_module-2.25_1,2stage,1,1,1,0,0,9.489,angle=65;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-70_module-2.25_1,2stage,1,1,1,0,0,16.572,angle=70;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-75_module-2.25_1,2stage,1,1,1,0,0,18.057,angle=75;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-80_module-2.25_1,2stage,1,1,1,0,0,15.478,angle=80;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-85_module-2.25_1,2stage,1,1,1,0,0,19.543,angle=85;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-90_module-2.25_1,2stage,1,1,1,0,0,9.158,angle=90;module=2.25;sym-CODE_128;modpx-2.25;img-ok
sw_angle-0_module-2.5_1,2stage,1,1,1,0,0,0.971,angle=0;module=2.5;sym-CODE_128;modpx-2.50;img-ok
sw_angle-5_module-2.5_1,2stage,1,1,1,0,0,1.064,angle=5;module=2.5;sym-CODE_128;modpx-2.50;img-ok
sw_angle-10_module-2.5_1,2stage,1,1,1,0,0,1.428,angle=10;module=2.5;sym-CODE_128;modpx-2.50;img-ok
sw_angle-15_module-2.5_1,2stage,1,1,1,0,0,3.126,angle=15;module=2.5;sym-CODE_128;modpx-2.50;img-ok
sw_angle-20_module-2.5_1,2stage,1,1,1,0,0,16.028,angle=20;module=2.5;sym-CODE_128;modpx-2.50;img-ok
sw_angle-25_module-2.5_1,2stage,1,1,1,0,0,10.752,angle=25;module=2.5;sym-CODE_128;modpx-2.50;img-ok
sw_angle-30_module-2.5_1,2stage,1,1,1,0,0,9.782,angle=30;module=2.5;sym-CODE_128;modpx-2.50;img-ok
sw_angle-35_module-2.5_1,2stage,1,1,1,0,0,8.962,angle=35;module=2.5;sym-CODE_128;modpx-2.50;img-ok
sw_angle-40_module-2.5_1,2stage,1,1,1,0,0,9.652,angle=40;module=2.5;sym-CODE_128;modpx-2.50;img-ok
