file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_angle-0_module-2_1,2stage,1,1,1,0,0,1.957,angle=0;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-5_module-2_1,2stage,1,1,1,0,0,2.288,angle=5;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-10_module-2_1,2stage,1,1,1,0,0,1.123,angle=10;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-15_module-2_1,2stage,1,1,1,0,0,4.193,angle=15;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-20_module-2_1,2stage,1,1,1,0,0,13.605,angle=20;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-25_module-2_1,2stage,1,1,1,0,0,12.275,angle=25;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-30_module-2_1,2stage,1,1,1,0,0,11.579,angle=30;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-35_module-2_1,2stage,1,1,1,0,0,12.319,angle=35;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-40_module-2_1,2stage,1,1,1,0,0,12.743,angle=40;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-45_module-2_1,2stage,1,1,1,0,0,11.003,angle=45;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-50_module-2_1,2stage,1,1,1,0,0,11.181,angle=50;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-55_module-2_1,2stage,1,1,1,0,0,11.012,angle=55;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-60_module-2_1,2stage,1,1,1,0,0,16.101,angle=60;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-65_module-2_1,2stage,1,1,1,0,0,11.899,angle=65;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-70_module-2_1,2stage,1,1,1,0,0,11.936,angle=70;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-75_module-2_1,2stage,1,1,1,0,0,12.193,angle=75;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-80_module-2_1,2stage,1,1,1,0,0,25.225,angle=80;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-85_module-2_1,2stage,1,1,1,0,0,20.209,angle=85;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-90_module-2_1,2stage,1,1,1,0,0,22.623,angle=90;module=2;sym-DATA_BAR_EXPANDED;modpx-2.00;img-ok
sw_angle-0_module-2.25_1,2stage,1,1,1,0,0,1.171,angle=0;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-5_module-2.25_1,2stage,1,1,1,0,0,1.843,angle=5;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-10_module-2.25_1,2stage,1,1,1,0,0,4.344,angle=10;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-15_module-2.25_1,2stage,1,1,1,0,0,3.204,angle=15;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-20_module-2.25_1,2stage,1,1,1,0,0,13.718,angle=20;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-25_module-2.25_1,2stage,1,1,1,0,0,27.383,angle=25;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-30_module-2.25_1,2stage,1,1,1,0,0,25.078,angle=30;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-35_module-2.25_1,2stage,1,1,1,0,0,16.550,angle=35;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-40_module-2.25_1,2stage,1,1,1,0,0,11.322,angle=40;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-45_module-2.25_1,2stage,1,1,1,0,0,13.486,angle=45;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-50_module-2.25_1,2stage,1,1,1,0,0,11.980,angle=50;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-55_module-2.25_1,2stage,1,1,1,0,0,11.673,angle=55;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-60_module-2.25_1,2stage,1,1,1,0,0,14.528,angle=60;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-65_module-2.25_1,2stage,1,1,1,0,0,15.161,angle=65;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-70_module-2.25_1,2stage,1,1,1,0,0,28.101,angle=70;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-75_module-2.25_1,2stage,1,1,1,0,0,14.538,angle=75;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-80_module-2.25_1,2stage,1,1,1,0,0,13.248,angle=80;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-85_module-2.25_1,2stage,1,1,1,0,0,14.206,angle=85;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-90_module-2.25_1,2stage,1,1,1,0,0,15.932,angle=90;module=2.25;sym-DATA_BAR_EXPANDED;modpx-2.25;img-ok
sw_angle-0_module-2.5_1,2stage,1,1,1,0,0,1.246,angle=0;module=2.5;sym-DATA_BAR_EXPANDED;modpx-2.50;img-ok
sw_angle-5_module-2.5_1,2stage,1,1,1,0,0,1.061,angle=5;module=2.5;sym-DATA_BAR_EXPANDED;modpx-2.50;img-ok
sw_angle-10_module-2.5_1,2stage,1,1,1,0,0,3.198,angle=10;module=2.5;sym-DATA_BAR_EXPANDED;modpx-2.50;img-ok
sw_angle-15_module-2.5_1,2stage,1,1,1,0,0,8.391,angle=15;module=2.5;sym-DATA_BAR_EXPANDED;modpx-2.50;img-ok
