file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_angle-0_module-2_1,2stage,1,1,1,0,0,1.779,angle=0;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-5_module-2_1,2stage,1,1,1,0,0,1.609,angle=5;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-10_module-2_1,2stage,1,1,1,0,0,1.182,angle=10;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-15_module-2_1,2stage,1,1,1,0,0,1.116,angle=15;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-20_module-2_1,2stage,1,1,1,0,0,8.496,angle=20;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-25_module-2_1,2stage,1,1,1,0,0,11.328,angle=25;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-30_module-2_1,2stage,1,1,1,0,0,9.855,angle=30;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-35_module-2_1,2stage,1,1,1,0,0,16.120,angle=35;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-40_module-2_1,2stage,1,1,1,0,0,16.299,angle=40;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-45_module-2_1,2stage,1,1,1,0,0,13.003,angle=45;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-50_module-2_1,2stage,1,1,1,0,0,15.156,angle=50;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-55_module-2_1,2stage,1,1,1,0,0,14.197,angle=55;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-60_module-2_1,2stage,1,1,1,0,0,11.353,angle=60;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-65_module-2_1,2stage,1,1,1,0,0,9.918,angle=65;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-70_module-2_1,2stage,1,1,1,0,0,9.189,angle=70;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-75_module-2_1,2stage,1,1,1,0,0,17.674,angle=75;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-80_module-2_1,2stage,1,1,1,0,0,18.695,angle=80;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-85_module-2_1,2stage,1,1,1,0,0,17.770,angle=85;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-90_module-2_1,2stage,1,1,1,0,0,13.611,angle=90;module=2;sym-DATA_BAR;modpx-2.00;img-ok
sw_angle-0_module-2.25_1,2stage,1,1,1,0,0,1.127,angle=0;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-5_module-2.25_1,2stage,1,1,1,0,0,1.369,angle=5;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-10_module-2.25_1,2stage,1,1,1,0,0,1.166,angle=10;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-15_module-2.25_1,2stage,1,1,1,0,0,1.511,angle=15;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-20_module-2.25_1,2stage,1,1,1,0,0,9.263,angle=20;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-25_module-2.25_1,2stage,1,1,1,0,0,17.255,angle=25;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-30_module-2.25_1,2stage,1,1,1,0,0,16.310,angle=30;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-35_module-2.25_1,2stage,1,1,1,0,0,18.029,angle=35;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-40_module-2.25_1,2stage,1,1,1,0,0,14.438,angle=40;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-45_module-2.25_1,2stage,1,1,1,0,0,16.894,angle=45;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-50_module-2.25_1,2stage,1,1,1,0,0,10.944,angle=50;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-55_module-2.25_1,2stage,1,1,1,0,0,10.855,angle=55;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-60_module-2.25_1,2stage,1,1,1,0,0,9.332,angle=60;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-65_module-2.25_1,2stage,1,1,1,0,0,19.160,angle=65;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-70_module-2.25_1,2stage,1,1,1,0,0,17.548,angle=70;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-75_module-2.25_1,2stage,1,1,1,0,0,22.311,angle=75;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-80_module-2.25_1,2stage,1,1,1,0,0,22.308,angle=80;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-85_module-2.25_1,2stage,1,1,1,0,0,12.137,angle=85;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-90_module-2.25_1,2stage,1,1,1,0,0,8.786,angle=90;module=2.25;sym-DATA_BAR;modpx-2.25;img-ok
sw_angle-0_module-2.5_1,2stage,1,1,1,0,0,1.462,angle=0;module=2.5;sym-DATA_BAR;modpx-2.50;img-ok
sw_angle-5_module-2.5_1,2stage,1,1,1,0,0,1.083,angle=5;module=2.5;sym-DATA_BAR;modpx-2.50;img-ok
sw_angle-10_module-2.5_1,2stage,1,1,1,0,0,1.396,angle=10;module=2.5;sym-DATA_BAR;modpx-2.50;img-ok
sw_angle-15_module-2.5_1,2stage,1,1,1,0,0,5.004,angle=15;module=2.5;sym-DATA_BAR;modpx-2.50;img-ok
