file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_angle-0_module-2_1,2stage,1,1,1,0,0,21.810,angle=0;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-5_module-2_1,2stage,1,1,1,0,0,15.751,angle=5;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-10_module-2_1,2stage,1,1,1,0,0,15.167,angle=10;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-15_module-2_1,2stage,1,1,1,0,0,15.482,angle=15;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-20_module-2_1,2stage,1,1,1,0,0,14.542,angle=20;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-25_module-2_1,2stage,1,1,1,0,0,14.248,angle=25;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-30_module-2_1,2stage,1,1,1,0,0,13.894,angle=30;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-35_module-2_1,2stage,1,0,0,0,0,153.383,angle=35;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-40_module-2_1,2stage,1,1,1,0,0,27.760,angle=40;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-45_module-2_1,2stage,1,0,0,0,0,184.468,angle=45;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-50_module-2_1,2stage,1,0,0,0,0,96.888,angle=50;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-55_module-2_1,2stage,1,0,0,0,0,79.941,angle=55;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-60_module-2_1,2stage,1,0,0,0,0,86.686,angle=60;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-65_module-2_1,2stage,1,0,0,0,0,80.324,angle=65;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-70_module-2_1,2stage,1,0,0,0,0,96.403,angle=70;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-75_module-2_1,2stage,1,0,0,0,0,174.480,angle=75;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-80_module-2_1,2stage,1,0,0,0,0,109.735,angle=80;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-85_module-2_1,2stage,1,0,0,0,0,97.999,angle=85;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-90_module-2_1,2stage,1,0,0,0,0,101.324,angle=90;module=2;sym-DATA_MATRIX;modpx-2.00;img-ok
sw_angle-0_module-2.25_1,2stage,1,1,1,0,0,16.839,angle=0;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-5_module-2.25_1,2stage,1,1,1,0,0,13.716,angle=5;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-10_module-2.25_1,2stage,1,0,0,0,0,93.084,angle=10;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-15_module-2.25_1,2stage,1,1,1,0,0,14.083,angle=15;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-20_module-2.25_1,2stage,1,0,0,0,0,144.766,angle=20;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-25_module-2.25_1,2stage,1,1,1,0,0,28.176,angle=25;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-30_module-2.25_1,2stage,1,1,1,0,0,31.291,angle=30;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-35_module-2.25_1,2stage,1,1,1,0,0,30.788,angle=35;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-40_module-2.25_1,2stage,1,1,1,0,0,26.290,angle=40;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-45_module-2.25_1,2stage,1,1,1,0,0,16.972,angle=45;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-50_module-2.25_1,2stage,1,0,0,0,0,92.944,angle=50;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-55_module-2.25_1,2stage,1,0,0,0,0,87.559,angle=55;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-60_module-2.25_1,2stage,1,0,0,0,0,105.315,angle=60;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-65_module-2.25_1,2stage,1,0,0,0,0,150.775,angle=65;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-70_module-2.25_1,2stage,1,0,0,0,0,119.225,angle=70;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-75_module-2.25_1,2stage,1,0,0,0,0,94.636,angle=75;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-80_module-2.25_1,2stage,1,0,0,0,0,89.450,angle=80;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-85_module-2.25_1,2stage,1,0,0,0,0,87.447,angle=85;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-90_module-2.25_1,2stage,1,0,0,0,0,90.553,angle=90;module=2.25;sym-DATA_MATRIX;modpx-2.25;img-ok
sw_angle-0_module-2.5_1,2stage,1,1,1,0,0,16.174,angle=0;module=2.5;sym-DATA_MATRIX;modpx-2.50;img-ok
sw_angle-5_module-2.5_1,2stage,1,1,1,0,0,14.296,angle=5;module=2.5;sym-DATA_MATRIX;modpx-2.50;img-ok
sw_angle-10_module-2.5_1,2stage,1,1,1,0,0,29.683,angle=10;module=2.5;sym-DATA_MATRIX;modpx-2.50;img-ok
sw_angle-15_module-2.5_1,2stage,1,1,1,0,0,22.947,angle=15;module=2.5;sym-DATA_MATRIX;modpx-2.50;img-ok
sw_angle-20_module-2.5_1,2stage,1,1,1,0,0,14.331,angle=20;module=2.5;sym-DATA_MATRIX;modpx-2.50;img-ok
sw_angle-25_module-2.5_1,2stage,1,1,1,0,0,27.492,angle=25;module=2.5;sym-DATA_MATRIX;modpx-2.50;img-ok
sw_angle-30_module-2.5_1,2stage,1,1,1,0,0,19.114,angle=30;module=2.5;sym-DATA_MATRIX;modpx-2.50;img-ok
sw_angle-35_module-2.5_1,2stage,1,1,1,0,0,13.390,angle=35;module=2.5;sym-DATA_MATRIX;modpx-2.50;img-ok
sw_angle-40_module-2.5_1,2stage,1,1,1,0,0,15.660,angle=40;module=2.5;sym-DATA_MATRIX;modpx-2.50;img-ok
sw_angle-45_module-2.5_1,2stage,1,1,1,0,0,15.582,angle=45;module=2.5;sym-DATA_MATRIX;modpx-2.50;img-ok
