file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_angle-0_module-2_1,2stage,1,1,1,0,0,12.769,angle=0;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-5_module-2_1,2stage,1,1,1,0,0,6.609,angle=5;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-10_module-2_1,2stage,1,1,1,0,0,7.153,angle=10;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-15_module-2_1,2stage,1,1,1,0,0,6.732,angle=15;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-20_module-2_1,2stage,1,1,1,0,0,5.380,angle=20;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-25_module-2_1,2stage,1,1,1,0,0,5.766,angle=25;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-30_module-2_1,2stage,1,1,1,0,0,5.329,angle=30;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-35_module-2_1,2stage,1,1,1,0,0,5.055,angle=35;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-40_module-2_1,2stage,1,1,1,0,0,10.033,angle=40;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-45_module-2_1,2stage,1,0,0,0,0,224.629,angle=45;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-50_module-2_1,2stage,1,1,1,0,0,8.998,angle=50;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-55_module-2_1,2stage,1,1,1,0,0,4.752,angle=55;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-60_module-2_1,2stage,1,1,1,0,0,5.278,angle=60;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-65_module-2_1,2stage,1,1,1,0,0,4.743,angle=65;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-70_module-2_1,2stage,1,1,1,0,0,4.782,angle=70;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-75_module-2_1,2stage,1,1,1,0,0,6.404,angle=75;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-80_module-2_1,2stage,1,1,1,0,0,15.516,angle=80;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-85_module-2_1,2stage,1,1,1,0,0,10.829,angle=85;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-90_module-2_1,2stage,1,1,1,0,0,10.289,angle=90;module=2;sym-EAN_13;modpx-2.00;img-ok
sw_angle-0_module-2.25_1,2stage,1,1,1,0,0,15.403,angle=0;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-5_module-2.25_1,2stage,1,1,1,0,0,7.278,angle=5;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-10_module-2.25_1,2stage,1,1,1,0,0,7.248,angle=10;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-15_module-2.25_1,2stage,1,1,1,0,0,7.290,angle=15;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-20_module-2.25_1,2stage,1,1,1,0,0,6.052,angle=20;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-25_module-2.25_1,2stage,1,1,1,0,0,9.784,angle=25;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-30_module-2.25_1,2stage,1,1,1,0,0,7.101,angle=30;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-35_module-2.25_1,2stage,1,1,1,0,0,5.421,angle=35;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-40_module-2.25_1,2stage,1,1,1,0,0,5.033,angle=40;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-45_module-2.25_1,2stage,1,1,1,0,0,6.168,angle=45;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-50_module-2.25_1,2stage,1,1,1,0,0,5.058,angle=50;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-55_module-2.25_1,2stage,1,1,1,0,0,6.088,angle=55;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-60_module-2.25_1,2stage,1,1,1,0,0,6.400,angle=60;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-65_module-2.25_1,2stage,1,1,1,0,0,10.171,angle=65;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-70_module-2.25_1,2stage,1,1,1,0,0,9.700,angle=70;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-75_module-2.25_1,2stage,1,1,1,0,0,12.332,angle=75;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-80_module-2.25_1,2stage,1,1,1,0,0,27.206,angle=80;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-85_module-2.25_1,2stage,1,1,1,0,0,8.575,angle=85;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-90_module-2.25_1,2stage,1,1,1,0,0,6.650,angle=90;module=2.25;sym-EAN_13;modpx-2.25;img-ok
sw_angle-0_module-2.5_1,2stage,1,1,1,0,0,7.086,angle=0;module=2.5;sym-EAN_13;modpx-2.50;img-ok
sw_angle-5_module-2.5_1,2stage,1,1,1,0,0,7.107,angle=5;module=2.5;sym-EAN_13;modpx-2.50;img-ok
sw_angle-10_module-2.5_1,2stage,1,1,1,0,0,11.016,angle=10;module=2.5;sym-EAN_13;modpx-2.50;img-ok
sw_angle-15_module-2.5_1,2stage,1,1,1,0,0,14.013,angle=15;module=2.5;sym-EAN_13;modpx-2.50;img-ok
sw_angle-20_module-2.5_1,2stage,1,1,1,0,0,9.631,angle=20;module=2.5;sym-EAN_13;modpx-2.50;img-ok
sw_angle-25_module-2.5_1,2stage,1,1,1,0,0,5.123,angle=25;module=2.5;sym-EAN_13;modpx-2.50;img-ok
sw_angle-30_module-2.5_1,2stage,1,1,1,0,0,8.568,angle=30;module=2.5;sym-EAN_13;modpx-2.50;img-ok
sw_angle-35_module-2.5_1,2stage,1,1,1,0,0,9.128,angle=35;module=2.5;sym-EAN_13;modpx-2.50;img-ok
sw_angle-40_module-2.5_1,2stage,1,1,1,0,0,8.301,angle=40;module=2.5;sym-EAN_13;modpx-2.50;img-ok
sw_angle-45_module-2.5_1,2stage,1,1,1,0,0,9.795,angle=45;module=2.5;sym-EAN_13;modpx-2.50;img-ok
sw_angle-50_module-2.5_1,2stage,1,1,1,0,0,5.592,angle=50;module=2.5;sym-EAN_13;modpx-2.50;img-ok
sw_angle-55_module-2.5_1,2stage,1,1,1,0,0,9.046,angle=55;module=2.5;sym-EAN_13;modpx-2.50;img-ok
sw_angle-60_module-2.5_1,2stage,1,1,1,0,0,12.956,angle=60;module=2.5;sym-EAN_13;modpx-2.50;img-ok
sw_angle-65_module-2.5_1,2stage,1,1,1,0,0,8.918,angle=65;module=2.5;sym-EAN_13;modpx-2.50;img-ok
sw_angle-70_module-2.5_1,2stage,1,1,1,0,0,5.761,angle=70;module=2.5;sym-EAN_13;modpx-2.50;img-ok
sw_angle-75_module-2.5_1,2stage,1,1,1,0,0,6.825,angle=75;module=2.5;sym-EAN_13;modpx-2.50;img-ok
sw_angle-80_module-2.5_1,2stage,1,1,1,0,0,6.848,angle=80;module=2.5;sym-EAN_13;modpx-2.50;img-ok
sw_angle-85_module-2.5_1,2stage,1,1,1,0,0,6.811,angle=85;module=2.5;sym-EAN_13;modpx-2.50;img-ok
sw_angle-90_module-2.5_1,2stage,1,1,1,0,0,15.176,angle=90;module=2.5;sym-EAN_13;modpx-2.50;img-ok
