file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_angle-0_module-2_1,2stage,1,1,1,0,0,6.684,angle=0;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-5_module-2_1,2stage,1,1,1,0,0,6.868,angle=5;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-10_module-2_1,2stage,1,1,1,0,0,16.616,angle=10;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-15_module-2_1,2stage,1,1,1,0,0,1.862,angle=15;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-20_module-2_1,2stage,1,1,1,0,0,7.739,angle=20;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-25_module-2_1,2stage,1,1,1,0,0,7.327,angle=25;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-30_module-2_1,2stage,1,1,1,0,0,6.852,angle=30;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-35_module-2_1,2stage,1,1,1,0,0,14.611,angle=35;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-40_module-2_1,2stage,1,1,1,0,0,11.186,angle=40;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-45_module-2_1,2stage,1,1,1,0,0,18.409,angle=45;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-50_module-2_1,2stage,1,1,1,0,0,19.534,angle=50;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-55_module-2_1,2stage,1,1,1,0,0,15.337,angle=55;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-60_module-2_1,2stage,1,1,1,0,0,12.335,angle=60;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-65_module-2_1,2stage,1,1,1,0,0,7.432,angle=65;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-70_module-2_1,2stage,1,1,1,0,0,7.554,angle=70;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-75_module-2_1,2stage,1,1,1,0,0,9.578,angle=75;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-80_module-2_1,2stage,1,1,1,0,0,7.995,angle=80;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-85_module-2_1,2stage,1,1,1,0,0,16.060,angle=85;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-90_module-2_1,2stage,1,1,1,0,0,7.061,angle=90;module=2;sym-ITF;modpx-2.00;img-ok
sw_angle-0_module-2.25_1,2stage,1,1,1,0,0,1.137,angle=0;module=2.25;sym-ITF;modpx-2.25;img-ok
sw_angle-5_module-2.25_1,2stage,1,1,1,0,0,1.614,angle=5;module=2.25;sym-ITF;modpx-2.25;img-ok
