file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_angle-0_module-2_1,2stage,1,1,1,0,0,5.930,angle=0;module=2;sym-PDF417;modpx-2.00;img-ok
sw_angle-5_module-2_1,2stage,1,1,1,0,0,11.154,angle=5;module=2;sym-PDF417;modpx-2.00;img-ok
sw_angle-10_module-2_1,2stage,1,1,1,0,0,10.934,angle=10;module=2;sym-PDF417;modpx-2.00;img-ok
sw_angle-15_module-2_1,2stage,1,0,0,0,0,160.125,angle=15;module=2;sym-PDF417;modpx-2.00;img-ok
sw_angle-20_module-2_1,2stage,1,0,0,0,0,96.368,angle=20;module=2;sym-PDF417;modpx-2.00;img-ok
sw_angle-25_module-2_1,2stage,1,0,0,0,0,93.813,angle=25;module=2;sym-PDF417;modpx-2.00;img-ok
sw_angle-30_module-2_1,2stage,1,0,0,0,0,113.601,angle=30;module=2;sym-PDF417;modpx-2.00;img-ok
sw_angle-35_module-2_1,2stage,1,0,0,0,0,163.662,angle=35;module=2;sym-PDF417;modpx-2.00;img-ok
sw_angle-40_module-2_1,2stage,1,1,1,0,0,5.943,angle=40;module=2;sym-PDF417;modpx-2.00;img-ok
sw_angle-45_module-2_1,2stage,1,0,0,0,0,209.718,angle=45;module=2;sym-PDF417;modpx-2.00;img-ok
sw_angle-50_module-2_1,2stage,1,1,1,0,0,5.492,angle=50;module=2;sym-PDF417;modpx-2.00;img-ok
sw_angle-55_module-2_1,2stage,1,0,0,0,0,91.240,angle=55;module=2;sym-PDF417;modpx-2.00;img-ok
sw_angle-60_module-2_1,2stage,1,0,0,0,0,135.516,angle=60;module=2;sym-PDF417;modpx-2.00;img-ok
sw_angle-65_module-2_1,2stage,1,0,0,0,0,127.836,angle=65;module=2;sym-PDF417;modpx-2.00;img-ok
sw_angle-70_module-2_1,2stage,1,0,0,0,0,86.901,angle=70;module=2;sym-PDF417;modpx-2.00;img-ok
sw_angle-75_module-2_1,2stage,1,0,0,0,0,96.148,angle=75;module=2;sym-PDF417;modpx-2.00;img-ok
sw_angle-80_module-2_1,2stage,1,0,0,0,0,169.114,angle=80;module=2;sym-PDF417;modpx-2.00;img-ok
sw_angle-85_module-2_1,2stage,1,1,1,0,0,10.519,angle=85;module=2;sym-PDF417;modpx-2.00;img-ok
sw_angle-90_module-2_1,2stage,1,1,1,0,0,5.520,angle=90;module=2;sym-PDF417;modpx-2.00;img-ok
