file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_angle-0_module-2_1,2stage,1,1,1,0,0,20.266,angle=0;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-5_module-2_1,2stage,1,1,1,0,0,39.144,angle=5;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-10_module-2_1,2stage,1,1,1,0,0,30.836,angle=10;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-15_module-2_1,2stage,1,0,0,0,0,139.178,angle=15;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-20_module-2_1,2stage,1,0,0,0,0,95.653,angle=20;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-25_module-2_1,2stage,1,0,0,0,0,97.300,angle=25;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-30_module-2_1,2stage,1,0,0,0,0,89.241,angle=30;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-35_module-2_1,2stage,1,0,0,0,0,147.357,angle=35;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-40_module-2_1,2stage,1,0,0,0,0,181.401,angle=40;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-45_module-2_1,2stage,1,0,0,0,0,112.364,angle=45;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-50_module-2_1,2stage,1,0,0,0,0,99.992,angle=50;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-55_module-2_1,2stage,1,0,0,0,0,88.225,angle=55;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-60_module-2_1,2stage,1,0,0,0,0,82.905,angle=60;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-65_module-2_1,2stage,1,1,1,0,0,14.558,angle=65;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-70_module-2_1,2stage,1,1,1,0,0,15.363,angle=70;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-75_module-2_1,2stage,1,0,0,0,0,148.492,angle=75;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-80_module-2_1,2stage,1,1,1,0,0,32.483,angle=80;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-85_module-2_1,2stage,1,1,1,0,0,26.981,angle=85;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-90_module-2_1,2stage,1,1,1,0,0,26.433,angle=90;module=2;sym-QR_CODE;modpx-2.00;img-ok
sw_angle-0_module-2.25_1,2stage,1,1,1,0,0,26.133,angle=0;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-5_module-2.25_1,2stage,1,1,1,0,0,15.221,angle=5;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-10_module-2.25_1,2stage,1,1,1,0,0,14.587,angle=10;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-15_module-2.25_1,2stage,1,1,1,0,0,14.996,angle=15;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-20_module-2.25_1,2stage,1,1,1,0,0,19.090,angle=20;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-25_module-2.25_1,2stage,1,1,1,0,0,27.495,angle=25;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-30_module-2.25_1,2stage,1,0,0,0,0,170.906,angle=30;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-35_module-2.25_1,2stage,1,0,0,0,0,93.317,angle=35;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-40_module-2.25_1,2stage,1,0,0,0,0,73.777,angle=40;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-45_module-2.25_1,2stage,1,1,1,0,0,14.330,angle=45;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-50_module-2.25_1,2stage,1,1,1,0,0,14.828,angle=50;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-55_module-2.25_1,2stage,1,0,0,0,0,81.949,angle=55;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-60_module-2.25_1,2stage,1,0,0,0,0,169.384,angle=60;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-65_module-2.25_1,2stage,1,1,1,0,0,27.296,angle=65;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-70_module-2.25_1,2stage,1,1,1,0,0,32.677,angle=70;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-75_module-2.25_1,2stage,1,0,0,0,0,164.562,angle=75;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-80_module-2.25_1,2stage,1,1,1,0,0,16.595,angle=80;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-85_module-2.25_1,2stage,1,1,1,0,0,15.943,angle=85;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-90_module-2.25_1,2stage,1,1,1,0,0,13.280,angle=90;module=2.25;sym-QR_CODE;modpx-2.25;img-ok
sw_angle-0_module-2.5_1,2stage,1,1,1,0,0,78.595,angle=0;module=2.5;sym-QR_CODE;modpx-2.50;img-ok
sw_angle-5_module-2.5_1,2stage,1,1,1,0,0,13.997,angle=5;module=2.5;sym-QR_CODE;modpx-2.50;img-ok
sw_angle-10_module-2.5_1,2stage,1,1,1,0,0,16.016,angle=10;module=2.5;sym-QR_CODE;modpx-2.50;img-ok
sw_angle-15_module-2.5_1,2stage,1,0,0,0,0,118.761,angle=15;module=2.5;sym-QR_CODE;modpx-2.50;img-ok
