file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_angle-0_module-2_1,2stage,1,1,1,0,0,17.534,angle=0;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-5_module-2_1,2stage,1,1,1,0,0,7.064,angle=5;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-10_module-2_1,2stage,1,1,1,0,0,11.616,angle=10;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-15_module-2_1,2stage,1,1,1,0,0,6.918,angle=15;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-20_module-2_1,2stage,1,1,1,0,0,5.857,angle=20;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-25_module-2_1,2stage,1,1,1,0,0,5.637,angle=25;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-30_module-2_1,2stage,1,1,1,0,0,6.019,angle=30;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-35_module-2_1,2stage,1,1,1,0,0,5.451,angle=35;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-40_module-2_1,2stage,1,1,1,0,0,7.515,angle=40;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-45_module-2_1,2stage,1,0,0,0,0,284.961,angle=45;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-50_module-2_1,2stage,1,1,1,0,0,5.773,angle=50;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-55_module-2_1,2stage,1,1,1,0,0,5.777,angle=55;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-60_module-2_1,2stage,1,1,1,0,0,5.347,angle=60;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-65_module-2_1,2stage,1,1,1,0,0,5.174,angle=65;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-70_module-2_1,2stage,1,1,1,0,0,4.789,angle=70;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-75_module-2_1,2stage,1,1,1,0,0,6.319,angle=75;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-80_module-2_1,2stage,1,1,1,0,0,6.721,angle=80;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-85_module-2_1,2stage,1,1,1,0,0,6.171,angle=85;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-90_module-2_1,2stage,1,1,1,0,0,6.196,angle=90;module=2;sym-UPC_A;modpx-2.00;img-ok
sw_angle-0_module-2.25_1,2stage,1,1,1,0,0,6.707,angle=0;module=2.25;sym-UPC_A;modpx-2.25;img-ok
