file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_angle-0_module-2_1,2stage,1,1,1,0,0,11.223,angle=0;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-5_module-2_1,2stage,1,1,1,0,0,11.256,angle=5;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-10_module-2_1,2stage,1,1,1,0,0,14.208,angle=10;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-15_module-2_1,2stage,1,1,1,0,0,13.996,angle=15;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-20_module-2_1,2stage,1,1,1,0,0,5.503,angle=20;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-25_module-2_1,2stage,1,1,1,0,0,4.723,angle=25;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-30_module-2_1,2stage,1,1,1,0,0,5.986,angle=30;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-35_module-2_1,2stage,1,1,1,0,0,4.644,angle=35;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-40_module-2_1,2stage,1,1,1,0,0,9.500,angle=40;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-45_module-2_1,2stage,1,1,1,0,0,4.943,angle=45;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-50_module-2_1,2stage,1,1,1,0,0,4.902,angle=50;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-55_module-2_1,2stage,1,1,1,0,0,4.770,angle=55;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-60_module-2_1,2stage,1,1,1,0,0,9.015,angle=60;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-65_module-2_1,2stage,1,1,1,0,0,6.065,angle=65;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-70_module-2_1,2stage,1,1,1,0,0,5.981,angle=70;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-75_module-2_1,2stage,1,1,1,0,0,15.707,angle=75;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-80_module-2_1,2stage,1,1,1,0,0,15.965,angle=80;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-85_module-2_1,2stage,1,1,1,0,0,13.706,angle=85;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-90_module-2_1,2stage,1,1,1,0,0,14.852,angle=90;module=2;sym-UPC_E;modpx-2.00;img-ok
sw_angle-0_module-2.25_1,2stage,1,1,1,0,0,15.259,angle=0;module=2.25;sym-UPC_E;modpx-2.25;img-ok
