file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_blur-0_noise-0_1,2stage,1,1,1,0,0,1.698,blur=0;noise=0;sym-CODABAR;modpx-4.00;img-ok
sw_blur-0.25_noise-0_1,2stage,1,1,1,0,0,1.562,blur=0.25;noise=0;sym-CODABAR;modpx-4.00;img-ok
sw_blur-0.5_noise-0_1,2stage,1,1,1,0,0,1.440,blur=0.5;noise=0;sym-CODABAR;modpx-4.00;img-ok
sw_blur-0.75_noise-0_1,2stage,1,1,1,0,0,1.529,blur=0.75;noise=0;sym-CODABAR;modpx-4.00;img-ok
sw_blur-1_noise-0_1,2stage,1,1,1,0,0,1.885,blur=1;noise=0;sym-CODABAR;modpx-4.00;img-ok
sw_blur-1.25_noise-0_1,2stage,1,1,1,0,0,1.958,blur=1.25;noise=0;sym-CODABAR;modpx-4.00;img-ok
sw_blur-1.5_noise-0_1,2stage,1,1,1,0,0,1.560,blur=1.5;noise=0;sym-CODABAR;modpx-4.00;img-ok
sw_blur-1.75_noise-0_1,2stage,1,1,1,0,0,1.375,blur=1.75;noise=0;sym-CODABAR;modpx-4.00;img-ok
sw_blur-2_noise-0_1,2stage,1,1,1,0,0,1.861,blur=2;noise=0;sym-CODABAR;modpx-4.00;img-borderline
sw_blur-2.25_noise-0_1,2stage,1,1,1,0,0,1.379,blur=2.25;noise=0;sym-CODABAR;modpx-4.00;img-borderline
sw_blur-2.5_noise-0_1,2stage,1,1,1,0,0,1.326,blur=2.5;noise=0;sym-CODABAR;modpx-4.00;img-borderline
sw_blur-2.75_noise-0_1,2stage,1,1,1,0,0,1.205,blur=2.75;noise=0;sym-CODABAR;modpx-4.00;img-borderline
sw_blur-3_noise-0_1,2stage,1,1,1,0,0,1.652,blur=3;noise=0;sym-CODABAR;modpx-4.00;img-borderline
sw_blur-3.25_noise-0_1,2stage,1,1,1,0,0,1.531,blur=3.25;noise=0;sym-CODABAR;modpx-4.00;img-impossible
sw_blur-3.5_noise-0_1,2stage,1,1,1,0,0,1.643,blur=3.5;noise=0;sym-CODABAR;modpx-4.00;img-impossible
sw_blur-3.75_noise-0_1,2stage,1,1,1,0,0,1.653,blur=3.75;noise=0;sym-CODABAR;modpx-4.00;img-impossible
sw_blur-4_noise-0_1,2stage,1,1,1,0,0,1.862,blur=4;noise=0;sym-CODABAR;modpx-4.00;img-impossible
sw_blur-0_noise-5_1,2stage,1,1,1,0,0,1.449,blur=0;noise=5;sym-CODABAR;modpx-4.00;img-ok
sw_blur-0.25_noise-5_1,2stage,1,1,1,0,0,1.428,blur=0.25;noise=5;sym-CODABAR;modpx-4.00;img-ok
sw_blur-0.5_noise-5_1,2stage,1,1,1,0,0,1.373,blur=0.5;noise=5;sym-CODABAR;modpx-4.00;img-ok
sw_blur-0.75_noise-5_1,2stage,1,1,1,0,0,1.763,blur=0.75;noise=5;sym-CODABAR;modpx-4.00;img-ok
sw_blur-1_noise-5_1,2stage,1,1,1,0,0,1.655,blur=1;noise=5;sym-CODABAR;modpx-4.00;img-ok
sw_blur-1.25_noise-5_1,2stage,1,1,1,0,0,1.632,blur=1.25;noise=5;sym-CODABAR;modpx-4.00;img-ok
sw_blur-1.5_noise-5_1,2stage,1,1,1,0,0,1.524,blur=1.5;noise=5;sym-CODABAR;modpx-4.00;img-ok
sw_blur-1.75_noise-5_1,2stage,1,1,1,0,0,1.741,blur=1.75;noise=5;sym-CODABAR;modpx-4.00;img-ok
sw_blur-2_noise-5_1,2stage,1,1,1,0,0,1.645,blur=2;noise=5;sym-CODABAR;modpx-4.00;img-borderline
sw_blur-2.25_noise-5_1,2stage,1,1,1,0,0,1.514,blur=2.25;noise=5;sym-CODABAR;modpx-4.00;img-borderline
sw_blur-2.5_noise-5_1,2stage,1,1,1,0,0,1.313,blur=2.5;noise=5;sym-CODABAR;modpx-4.00;img-borderline
sw_blur-2.75_noise-5_1,2stage,1,1,1,0,0,1.803,blur=2.75;noise=5;sym-CODABAR;modpx-4.00;img-borderline
sw_blur-3_noise-5_1,2stage,1,1,1,0,0,1.525,blur=3;noise=5;sym-CODABAR;modpx-4.00;img-borderline
sw_blur-3.25_noise-5_1,2stage,1,1,1,0,0,1.285,blur=3.25;noise=5;sym-CODABAR;modpx-4.00;img-impossible
