file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_blur-0_noise-0_1,2stage,1,1,1,0,0,11.316,blur=0;noise=0;sym-CODE_39;modpx-8.00;img-ok
sw_blur-0.25_noise-0_1,2stage,1,1,1,0,0,7.888,blur=0.25;noise=0;sym-CODE_39;modpx-8.00;img-ok
sw_blur-0.5_noise-0_1,2stage,1,1,1,0,0,6.467,blur=0.5;noise=0;sym-CODE_39;modpx-8.00;img-ok
sw_blur-0.75_noise-0_1,2stage,1,1,1,0,0,6.635,blur=0.75;noise=0;sym-CODE_39;modpx-8.00;img-ok
sw_blur-1_noise-0_1,2stage,1,1,1,0,0,7.183,blur=1;noise=0;sym-CODE_39;modpx-8.00;img-ok
sw_blur-1.25_noise-0_1,2stage,1,1,1,0,0,7.019,blur=1.25;noise=0;sym-CODE_39;modpx-8.00;img-ok
sw_blur-1.5_noise-0_1,2stage,1,1,1,0,0,8.053,blur=1.5;noise=0;sym-CODE_39;modpx-8.00;img-ok
sw_blur-1.75_noise-0_1,2stage,1,1,1,0,0,6.710,blur=1.75;noise=0;sym-CODE_39;modpx-8.00;img-ok
sw_blur-2_noise-0_1,2stage,1,1,1,0,0,10.909,blur=2;noise=0;sym-CODE_39;modpx-8.00;img-ok
sw_blur-2.25_noise-0_1,2stage,1,1,1,0,0,15.115,blur=2.25;noise=0;sym-CODE_39;modpx-8.00;img-ok
sw_blur-2.5_noise-0_1,2stage,1,1,1,0,0,14.425,blur=2.5;noise=0;sym-CODE_39;modpx-8.00;img-ok
sw_blur-2.75_noise-0_1,2stage,1,1,1,0,0,11.329,blur=2.75;noise=0;sym-CODE_39;modpx-8.00;img-ok
sw_blur-3_noise-0_1,2stage,1,1,1,0,0,6.795,blur=3;noise=0;sym-CODE_39;modpx-8.00;img-ok
sw_blur-3.25_noise-0_1,2stage,1,1,1,0,0,7.016,blur=3.25;noise=0;sym-CODE_39;modpx-8.00;img-ok
