file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_blur-0_noise-0_1,2stage,1,1,1,0,0,6.917,blur=0;noise=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-0.25_noise-0_1,2stage,1,1,1,0,0,14.969,blur=0.25;noise=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-0.5_noise-0_1,2stage,1,1,1,0,0,5.496,blur=0.5;noise=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-0.75_noise-0_1,2stage,1,1,1,0,0,9.360,blur=0.75;noise=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-1_noise-0_1,2stage,1,1,1,0,0,6.187,blur=1;noise=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-1.25_noise-0_1,2stage,1,1,1,0,0,5.216,blur=1.25;noise=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-1.5_noise-0_1,2stage,1,1,1,0,0,6.327,blur=1.5;noise=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-1.75_noise-0_1,2stage,1,1,1,0,0,5.383,blur=1.75;noise=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-2_noise-0_1,2stage,1,1,1,0,0,9.408,blur=2;noise=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-2.25_noise-0_1,2stage,1,1,1,0,0,5.745,blur=2.25;noise=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-2.5_noise-0_1,2stage,1,1,1,0,0,4.910,blur=2.5;noise=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-2.75_noise-0_1,2stage,1,1,1,0,0,9.039,blur=2.75;noise=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-3_noise-0_1,2stage,1,1,1,0,0,9.866,blur=3;noise=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-3.25_noise-0_1,2stage,1,1,1,0,0,8.780,blur=3.25;noise=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-borderline
sw_blur-3.5_noise-0_1,2stage,1,1,1,0,0,5.165,blur=3.5;noise=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-borderline
sw_blur-3.75_noise-0_1,2stage,1,1,1,0,0,8.303,blur=3.75;noise=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-borderline
sw_blur-4_noise-0_1,2stage,1,1,1,0,0,9.959,blur=4;noise=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-borderline
sw_blur-0_noise-5_1,2stage,1,1,1,0,0,9.347,blur=0;noise=5;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-0.25_noise-5_1,2stage,1,1,1,0,0,5.472,blur=0.25;noise=5;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-0.5_noise-5_1,2stage,1,1,1,0,0,5.401,blur=0.5;noise=5;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-0.75_noise-5_1,2stage,1,1,1,0,0,5.249,blur=0.75;noise=5;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-1_noise-5_1,2stage,1,1,1,0,0,5.106,blur=1;noise=5;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-1.25_noise-5_1,2stage,1,1,1,0,0,5.225,blur=1.25;noise=5;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-1.5_noise-5_1,2stage,1,1,1,0,0,13.537,blur=1.5;noise=5;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-1.75_noise-5_1,2stage,1,1,1,0,0,6.397,blur=1.75;noise=5;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-2_noise-5_1,2stage,1,1,1,0,0,9.754,blur=2;noise=5;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-2.25_noise-5_1,2stage,1,1,1,0,0,11.379,blur=2.25;noise=5;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-2.5_noise-5_1,2stage,1,1,1,0,0,9.653,blur=2.5;noise=5;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-2.75_noise-5_1,2stage,1,1,1,0,0,5.843,blur=2.75;noise=5;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-3_noise-5_1,2stage,1,1,1,0,0,5.189,blur=3;noise=5;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_blur-3.25_noise-5_1,2stage,1,1,1,0,0,4.998,blur=3.25;noise=5;sym-DATA_BAR_EXPANDED;modpx-6.85;img-borderline
sw_blur-3.5_noise-5_1,2stage,1,1,1,0,0,5.002,blur=3.5;noise=5;sym-DATA_BAR_EXPANDED;modpx-6.85;img-borderline
