file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_blur-0_noise-0_1,2stage,1,1,1,0,0,5.422,blur=0;noise=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_blur-0.25_noise-0_1,2stage,1,1,1,0,0,9.685,blur=0.25;noise=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_blur-0.5_noise-0_1,2stage,1,1,1,0,0,4.043,blur=0.5;noise=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_blur-0.75_noise-0_1,2stage,1,1,1,0,0,3.725,blur=0.75;noise=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_blur-1_noise-0_1,2stage,1,1,1,0,0,4.951,blur=1;noise=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_blur-1.25_noise-0_1,2stage,1,1,1,0,0,4.535,blur=1.25;noise=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_blur-1.5_noise-0_1,2stage,1,1,1,0,0,4.641,blur=1.5;noise=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_blur-1.75_noise-0_1,2stage,1,1,1,0,0,4.790,blur=1.75;noise=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_blur-2_noise-0_1,2stage,1,1,1,0,0,7.442,blur=2;noise=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_blur-2.25_noise-0_1,2stage,1,1,1,0,0,5.661,blur=2.25;noise=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_blur-2.5_noise-0_1,2stage,1,1,1,0,0,9.855,blur=2.5;noise=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_blur-2.75_noise-0_1,2stage,1,1,1,0,0,8.708,blur=2.75;noise=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_blur-3_noise-0_1,2stage,1,1,1,0,0,8.823,blur=3;noise=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_blur-3.25_noise-0_1,2stage,1,1,1,0,0,3.647,blur=3.25;noise=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_blur-3.5_noise-0_1,2stage,1,1,1,0,0,4.485,blur=3.5;noise=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_blur-3.75_noise-0_1,2stage,1,1,1,0,0,4.968,blur=3.75;noise=0;sym-DATA_BAR;modpx-8.00;img-borderline
sw_blur-4_noise-0_1,2stage,1,1,1,0,0,10.662,blur=4;noise=0;sym-DATA_BAR;modpx-8.00;img-borderline
sw_blur-0_noise-5_1,2stage,1,1,1,0,0,12.749,blur=0;noise=5;sym-DATA_BAR;modpx-8.00;img-ok
sw_blur-0.25_noise-5_1,2stage,1,1,1,0,0,8.482,blur=0.25;noise=5;sym-DATA_BAR;modpx-8.00;img-ok
sw_blur-0.5_noise-5_1,2stage,1,1,1,0,0,4.482,blur=0.5;noise=5;sym-DATA_BAR;modpx-8.00;img-ok
