file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_blur-0_noise-0_1,2stage,1,1,1,0,0,15.957,blur=0;noise=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_blur-0.25_noise-0_1,2stage,1,1,1,0,0,10.142,blur=0.25;noise=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_blur-0.5_noise-0_1,2stage,1,1,1,0,0,17.177,blur=0.5;noise=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_blur-0.75_noise-0_1,2stage,1,1,1,0,0,6.137,blur=0.75;noise=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_blur-1_noise-0_1,2stage,1,1,1,0,0,6.650,blur=1;noise=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_blur-1.25_noise-0_1,2stage,1,1,1,0,0,6.798,blur=1.25;noise=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_blur-1.5_noise-0_1,2stage,1,1,1,0,0,6.880,blur=1.5;noise=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_blur-1.75_noise-0_1,2stage,1,1,1,0,0,5.657,blur=1.75;noise=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_blur-2_noise-0_1,2stage,1,0,0,0,0,248.901,blur=2;noise=0;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_blur-2.25_noise-0_1,2stage,1,0,0,0,0,127.100,blur=2.25;noise=0;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_blur-2.5_noise-0_1,2stage,1,0,0,0,0,103.575,blur=2.5;noise=0;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_blur-2.75_noise-0_1,2stage,1,0,0,0,0,112.484,blur=2.75;noise=0;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_blur-3_noise-0_1,2stage,1,0,0,0,0,108.633,blur=3;noise=0;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_blur-3.25_noise-0_1,2stage,1,0,0,0,0,106.811,blur=3.25;noise=0;sym-DATA_MATRIX;modpx-4.00;img-impossible
sw_blur-3.5_noise-0_1,2stage,1,0,0,0,0,105.486,blur=3.5;noise=0;sym-DATA_MATRIX;modpx-4.00;img-impossible
