file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_blur-0_noise-0_1,2stage,1,1,1,0,0,1.996,blur=0;noise=0;sym-EAN_13;modpx-4.00;img-ok
sw_blur-0.25_noise-0_1,2stage,1,1,1,0,0,2.208,blur=0.25;noise=0;sym-EAN_13;modpx-4.00;img-ok
sw_blur-0.5_noise-0_1,2stage,1,1,1,0,0,1.668,blur=0.5;noise=0;sym-EAN_13;modpx-4.00;img-ok
sw_blur-0.75_noise-0_1,2stage,1,1,1,0,0,1.256,blur=0.75;noise=0;sym-EAN_13;modpx-4.00;img-ok
sw_blur-1_noise-0_1,2stage,1,1,1,0,0,1.676,blur=1;noise=0;sym-EAN_13;modpx-4.00;img-ok
sw_blur-1.25_noise-0_1,2stage,1,1,1,0,0,1.783,blur=1.25;noise=0;sym-EAN_13;modpx-4.00;img-ok
sw_blur-1.5_noise-0_1,2stage,1,1,1,0,0,1.462,blur=1.5;noise=0;sym-EAN_13;modpx-4.00;img-ok
sw_blur-1.75_noise-0_1,2stage,1,1,1,0,0,1.295,blur=1.75;noise=0;sym-EAN_13;modpx-4.00;img-ok
sw_blur-2_noise-0_1,2stage,1,1,1,0,0,1.624,blur=2;noise=0;sym-EAN_13;modpx-4.00;img-borderline
sw_blur-2.25_noise-0_1,2stage,1,1,1,0,0,1.219,blur=2.25;noise=0;sym-EAN_13;modpx-4.00;img-borderline
sw_blur-2.5_noise-0_1,2stage,1,1,1,0,0,124.877,blur=2.5;noise=0;sym-EAN_13;modpx-4.00;img-borderline
sw_blur-2.75_noise-0_1,2stage,1,0,0,0,0,135.401,blur=2.75;noise=0;sym-EAN_13;modpx-4.00;img-borderline
sw_blur-3_noise-0_1,2stage,1,0,0,0,0,93.011,blur=3;noise=0;sym-EAN_13;modpx-4.00;img-borderline
sw_blur-3.25_noise-0_1,2stage,1,0,0,0,0,129.363,blur=3.25;noise=0;sym-EAN_13;modpx-4.00;img-impossible
sw_blur-3.5_noise-0_1,2stage,1,0,0,0,0,98.798,blur=3.5;noise=0;sym-EAN_13;modpx-4.00;img-impossible
sw_blur-3.75_noise-0_1,2stage,1,0,0,0,0,108.785,blur=3.75;noise=0;sym-EAN_13;modpx-4.00;img-impossible
sw_blur-4_noise-0_1,2stage,1,0,0,0,0,176.239,blur=4;noise=0;sym-EAN_13;modpx-4.00;img-impossible
sw_blur-0_noise-5_1,2stage,1,1,1,0,0,1.476,blur=0;noise=5;sym-EAN_13;modpx-4.00;img-ok
sw_blur-0.25_noise-5_1,2stage,1,1,1,0,0,1.098,blur=0.25;noise=5;sym-EAN_13;modpx-4.00;img-ok
sw_blur-0.5_noise-5_1,2stage,1,1,1,0,0,1.046,blur=0.5;noise=5;sym-EAN_13;modpx-4.00;img-ok
sw_blur-0.75_noise-5_1,2stage,1,1,1,0,0,1.062,blur=0.75;noise=5;sym-EAN_13;modpx-4.00;img-ok
sw_blur-1_noise-5_1,2stage,1,1,1,0,0,1.805,blur=1;noise=5;sym-EAN_13;modpx-4.00;img-ok
sw_blur-1.25_noise-5_1,2stage,1,1,1,0,0,1.430,blur=1.25;noise=5;sym-EAN_13;modpx-4.00;img-ok
sw_blur-1.5_noise-5_1,2stage,1,1,1,0,0,1.188,blur=1.5;noise=5;sym-EAN_13;modpx-4.00;img-ok
sw_blur-1.75_noise-5_1,2stage,1,1,1,0,0,1.659,blur=1.75;noise=5;sym-EAN_13;modpx-4.00;img-ok
sw_blur-2_noise-5_1,2stage,1,1,1,0,0,1.561,blur=2;noise=5;sym-EAN_13;modpx-4.00;img-borderline
sw_blur-2.25_noise-5_1,2stage,1,1,1,0,0,107.484,blur=2.25;noise=5;sym-EAN_13;modpx-4.00;img-borderline
sw_blur-2.5_noise-5_1,2stage,1,0,0,0,0,348.980,blur=2.5;noise=5;sym-EAN_13;modpx-4.00;img-borderline
sw_blur-2.75_noise-5_1,2stage,1,0,0,0,0,256.717,blur=2.75;noise=5;sym-EAN_13;modpx-4.00;img-borderline
sw_blur-3_noise-5_1,2stage,1,0,0,0,0,309.707,blur=3;noise=5;sym-EAN_13;modpx-4.00;img-borderline
sw_blur-3.25_noise-5_1,2stage,1,0,0,0,0,293.563,blur=3.25;noise=5;sym-EAN_13;modpx-4.00;img-impossible
sw_blur-3.5_noise-5_1,2stage,1,0,0,0,0,394.188,blur=3.5;noise=5;sym-EAN_13;modpx-4.00;img-impossible
sw_blur-3.75_noise-5_1,2stage,1,0,0,0,0,347.128,blur=3.75;noise=5;sym-EAN_13;modpx-4.00;img-impossible
sw_blur-4_noise-5_1,2stage,1,0,0,0,0,300.320,blur=4;noise=5;sym-EAN_13;modpx-4.00;img-impossible
sw_blur-0_noise-10_1,2stage,1,1,1,0,0,1.341,blur=0;noise=10;sym-EAN_13;modpx-4.00;img-ok
sw_blur-0.25_noise-10_1,2stage,1,1,1,0,0,2.244,blur=0.25;noise=10;sym-EAN_13;modpx-4.00;img-ok
sw_blur-0.5_noise-10_1,2stage,1,1,1,0,0,1.117,blur=0.5;noise=10;sym-EAN_13;modpx-4.00;img-ok
