file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_blur-0_noise-0_1,2stage,1,1,1,0,0,3.168,blur=0;noise=0;sym-ITF;modpx-8.00;img-ok
sw_blur-0.25_noise-0_1,2stage,1,1,1,0,0,7.634,blur=0.25;noise=0;sym-ITF;modpx-8.00;img-ok
sw_blur-0.5_noise-0_1,2stage,1,1,1,0,0,7.063,blur=0.5;noise=0;sym-ITF;modpx-8.00;img-ok
sw_blur-0.75_noise-0_1,2stage,1,1,1,0,0,2.481,blur=0.75;noise=0;sym-ITF;modpx-8.00;img-ok
sw_blur-1_noise-0_1,2stage,1,1,1,0,0,3.107,blur=1;noise=0;sym-ITF;modpx-8.00;img-ok
sw_blur-1.25_noise-0_1,2stage,1,1,1,0,0,3.944,blur=1.25;noise=0;sym-ITF;modpx-8.00;img-ok
sw_blur-1.5_noise-0_1,2stage,1,1,1,0,0,2.551,blur=1.5;noise=0;sym-ITF;modpx-8.00;img-ok
sw_blur-1.75_noise-0_1,2stage,1,1,1,0,0,2.536,blur=1.75;noise=0;sym-ITF;modpx-8.00;img-ok
sw_blur-2_noise-0_1,2stage,1,1,1,0,0,6.918,blur=2;noise=0;sym-ITF;modpx-8.00;img-ok
sw_blur-2.25_noise-0_1,2stage,1,1,1,0,0,2.432,blur=2.25;noise=0;sym-ITF;modpx-8.00;img-ok
sw_blur-2.5_noise-0_1,2stage,1,1,1,0,0,2.216,blur=2.5;noise=0;sym-ITF;modpx-8.00;img-ok
sw_blur-2.75_noise-0_1,2stage,1,1,1,0,0,2.551,blur=2.75;noise=0;sym-ITF;modpx-8.00;img-ok
sw_blur-3_noise-0_1,2stage,1,1,1,0,0,4.168,blur=3;noise=0;sym-ITF;modpx-8.00;img-ok
sw_blur-3.25_noise-0_1,2stage,1,1,1,0,0,3.010,blur=3.25;noise=0;sym-ITF;modpx-8.00;img-ok
sw_blur-3.5_noise-0_1,2stage,1,1,1,0,0,2.721,blur=3.5;noise=0;sym-ITF;modpx-8.00;img-ok
sw_blur-3.75_noise-0_1,2stage,1,1,1,0,0,2.755,blur=3.75;noise=0;sym-ITF;modpx-8.00;img-borderline
sw_blur-4_noise-0_1,2stage,1,1,1,0,0,7.422,blur=4;noise=0;sym-ITF;modpx-8.00;img-borderline
sw_blur-0_noise-5_1,2stage,1,1,1,0,0,2.862,blur=0;noise=5;sym-ITF;modpx-8.00;img-ok
sw_blur-0.25_noise-5_1,2stage,1,1,1,0,0,2.596,blur=0.25;noise=5;sym-ITF;modpx-8.00;img-ok
sw_blur-0.5_noise-5_1,2stage,1,1,1,0,0,2.537,blur=0.5;noise=5;sym-ITF;modpx-8.00;img-ok
sw_blur-0.75_noise-5_1,2stage,1,1,1,0,0,3.994,blur=0.75;noise=5;sym-ITF;modpx-8.00;img-ok
sw_blur-1_noise-5_1,2stage,1,1,1,0,0,3.401,blur=1;noise=5;sym-ITF;modpx-8.00;img-ok
sw_blur-1.25_noise-5_1,2stage,1,1,1,0,0,2.838,blur=1.25;noise=5;sym-ITF;modpx-8.00;img-ok
sw_blur-1.5_noise-5_1,2stage,1,1,1,0,0,2.646,blur=1.5;noise=5;sym-ITF;modpx-8.00;img-ok
sw_blur-1.75_noise-5_1,2stage,1,1,1,0,0,3.347,blur=1.75;noise=5;sym-ITF;modpx-8.00;img-ok
sw_blur-2_noise-5_1,2stage,1,1,1,0,0,3.225,blur=2;noise=5;sym-ITF;modpx-8.00;img-ok
sw_blur-2.25_noise-5_1,2stage,1,1,1,0,0,3.324,blur=2.25;noise=5;sym-ITF;modpx-8.00;img-ok
sw_blur-2.5_noise-5_1,2stage,1,1,1,0,0,6.818,blur=2.5;noise=5;sym-ITF;modpx-8.00;img-ok
sw_blur-2.75_noise-5_1,2stage,1,1,1,0,0,3.708,blur=2.75;noise=5;sym-ITF;modpx-8.00;img-ok
sw_blur-3_noise-5_1,2stage,1,1,1,0,0,3.510,blur=3;noise=5;sym-ITF;modpx-8.00;img-ok
sw_blur-3.25_noise-5_1,2stage,1,1,1,0,0,3.055,blur=3.25;noise=5;sym-ITF;modpx-8.00;img-ok
sw_blur-3.5_noise-5_1,2stage,1,1,1,0,0,2.950,blur=3.5;noise=5;sym-ITF;modpx-8.00;img-ok
sw_blur-3.75_noise-5_1,2stage,1,1,1,0,0,3.675,blur=3.75;noise=5;sym-ITF;modpx-8.00;img-borderline
sw_blur-4_noise-5_1,2stage,1,1,1,0,0,3.481,blur=4;noise=5;sym-ITF;modpx-8.00;img-borderline
sw_blur-0_noise-10_1,2stage,1,1,1,0,0,7.298,blur=0;noise=10;sym-ITF;modpx-8.00;img-ok
sw_blur-0.25_noise-10_1,2stage,1,1,1,0,0,3.102,blur=0.25;noise=10;sym-ITF;modpx-8.00;img-ok
