file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_blur-0_noise-0_1,2stage,1,1,1,0,0,11.161,blur=0;noise=0;sym-PDF417;modpx-4.00;img-ok
sw_blur-0.25_noise-0_1,2stage,1,1,1,0,0,11.021,blur=0.25;noise=0;sym-PDF417;modpx-4.00;img-ok
sw_blur-0.5_noise-0_1,2stage,1,1,1,0,0,6.367,blur=0.5;noise=0;sym-PDF417;modpx-4.00;img-ok
sw_blur-0.75_noise-0_1,2stage,1,1,1,0,0,10.563,blur=0.75;noise=0;sym-PDF417;modpx-4.00;img-ok
sw_blur-1_noise-0_1,2stage,1,1,1,0,0,7.609,blur=1;noise=0;sym-PDF417;modpx-4.00;img-ok
sw_blur-1.25_noise-0_1,2stage,1,1,1,0,0,7.294,blur=1.25;noise=0;sym-PDF417;modpx-4.00;img-ok
sw_blur-1.5_noise-0_1,2stage,1,1,1,0,0,7.806,blur=1.5;noise=0;sym-PDF417;modpx-4.00;img-ok
sw_blur-1.75_noise-0_1,2stage,1,1,1,0,0,15.822,blur=1.75;noise=0;sym-PDF417;modpx-4.00;img-ok
sw_blur-2_noise-0_1,2stage,1,1,1,0,0,11.643,blur=2;noise=0;sym-PDF417;modpx-4.00;img-borderline
sw_blur-2.25_noise-0_1,2stage,1,0,0,0,0,233.704,blur=2.25;noise=0;sym-PDF417;modpx-4.00;img-borderline
sw_blur-2.5_noise-0_1,2stage,1,0,0,0,0,132.503,blur=2.5;noise=0;sym-PDF417;modpx-4.00;img-borderline
sw_blur-2.75_noise-0_1,2stage,1,0,0,0,0,155.375,blur=2.75;noise=0;sym-PDF417;modpx-4.00;img-borderline
sw_blur-3_noise-0_1,2stage,1,0,0,0,0,134.279,blur=3;noise=0;sym-PDF417;modpx-4.00;img-borderline
sw_blur-3.25_noise-0_1,2stage,1,0,0,0,0,133.587,blur=3.25;noise=0;sym-PDF417;modpx-4.00;img-impossible
sw_blur-3.5_noise-0_1,2stage,1,0,0,0,0,122.836,blur=3.5;noise=0;sym-PDF417;modpx-4.00;img-impossible
