file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_blur-0_noise-0_1,2stage,1,1,1,0,0,10.635,blur=0;noise=0;sym-QR_CODE;modpx-4.00;img-ok
sw_blur-0.25_noise-0_1,2stage,1,1,1,0,0,9.908,blur=0.25;noise=0;sym-QR_CODE;modpx-4.00;img-ok
sw_blur-0.5_noise-0_1,2stage,1,1,1,0,0,9.547,blur=0.5;noise=0;sym-QR_CODE;modpx-4.00;img-ok
sw_blur-0.75_noise-0_1,2stage,1,1,1,0,0,9.565,blur=0.75;noise=0;sym-QR_CODE;modpx-4.00;img-ok
sw_blur-1_noise-0_1,2stage,1,1,1,0,0,7.034,blur=1;noise=0;sym-QR_CODE;modpx-4.00;img-ok
sw_blur-1.25_noise-0_1,2stage,1,1,1,0,0,6.440,blur=1.25;noise=0;sym-QR_CODE;modpx-4.00;img-ok
sw_blur-1.5_noise-0_1,2stage,1,1,1,0,0,7.083,blur=1.5;noise=0;sym-QR_CODE;modpx-4.00;img-ok
sw_blur-1.75_noise-0_1,2stage,1,1,1,0,0,38.102,blur=1.75;noise=0;sym-QR_CODE;modpx-4.00;img-ok
sw_blur-2_noise-0_1,2stage,1,0,0,0,0,191.151,blur=2;noise=0;sym-QR_CODE;modpx-4.00;img-borderline
sw_blur-2.25_noise-0_1,2stage,1,0,0,0,0,145.499,blur=2.25;noise=0;sym-QR_CODE;modpx-4.00;img-borderline
sw_blur-2.5_noise-0_1,2stage,1,0,0,0,0,118.022,blur=2.5;noise=0;sym-QR_CODE;modpx-4.00;img-borderline
sw_blur-2.75_noise-0_1,2stage,1,0,0,0,0,119.156,blur=2.75;noise=0;sym-QR_CODE;modpx-4.00;img-borderline
sw_blur-3_noise-0_1,2stage,1,0,0,0,0,119.598,blur=3;noise=0;sym-QR_CODE;modpx-4.00;img-borderline
sw_blur-3.25_noise-0_1,2stage,1,0,0,0,0,120.393,blur=3.25;noise=0;sym-QR_CODE;modpx-4.00;img-impossible
sw_blur-3.5_noise-0_1,2stage,1,0,0,0,0,119.514,blur=3.5;noise=0;sym-QR_CODE;modpx-4.00;img-impossible
sw_blur-3.75_noise-0_1,2stage,1,0,0,0,0,121.618,blur=3.75;noise=0;sym-QR_CODE;modpx-4.00;img-impossible
sw_blur-4_noise-0_1,2stage,1,0,0,0,0,174.562,blur=4;noise=0;sym-QR_CODE;modpx-4.00;img-impossible
sw_blur-0_noise-5_1,2stage,1,1,1,0,0,14.567,blur=0;noise=5;sym-QR_CODE;modpx-4.00;img-ok
sw_blur-0.25_noise-5_1,2stage,1,1,1,0,0,12.967,blur=0.25;noise=5;sym-QR_CODE;modpx-4.00;img-ok
sw_blur-0.5_noise-5_1,2stage,1,1,1,0,0,13.818,blur=0.5;noise=5;sym-QR_CODE;modpx-4.00;img-ok
