file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_blur-0_noise-0_1,2stage,1,1,1,0,0,2.532,blur=0;noise=0;sym-UPC_A;modpx-8.00;img-ok
sw_blur-0.25_noise-0_1,2stage,1,1,1,0,0,2.507,blur=0.25;noise=0;sym-UPC_A;modpx-8.00;img-ok
sw_blur-0.5_noise-0_1,2stage,1,1,1,0,0,2.502,blur=0.5;noise=0;sym-UPC_A;modpx-8.00;img-ok
sw_blur-0.75_noise-0_1,2stage,1,1,1,0,0,1.415,blur=0.75;noise=0;sym-UPC_A;modpx-8.00;img-ok
sw_blur-1_noise-0_1,2stage,1,1,1,0,0,2.742,blur=1;noise=0;sym-UPC_A;modpx-8.00;img-ok
sw_blur-1.25_noise-0_1,2stage,1,1,1,0,0,1.640,blur=1.25;noise=0;sym-UPC_A;modpx-8.00;img-ok
sw_blur-1.5_noise-0_1,2stage,1,1,1,0,0,2.197,blur=1.5;noise=0;sym-UPC_A;modpx-8.00;img-ok
sw_blur-1.75_noise-0_1,2stage,1,1,1,0,0,1.658,blur=1.75;noise=0;sym-UPC_A;modpx-8.00;img-ok
sw_blur-2_noise-0_1,2stage,1,1,1,0,0,2.757,blur=2;noise=0;sym-UPC_A;modpx-8.00;img-ok
sw_blur-2.25_noise-0_1,2stage,1,1,1,0,0,2.064,blur=2.25;noise=0;sym-UPC_A;modpx-8.00;img-ok
sw_blur-2.5_noise-0_1,2stage,1,1,1,0,0,1.596,blur=2.5;noise=0;sym-UPC_A;modpx-8.00;img-ok
sw_blur-2.75_noise-0_1,2stage,1,1,1,0,0,1.300,blur=2.75;noise=0;sym-UPC_A;modpx-8.00;img-ok
sw_blur-3_noise-0_1,2stage,1,1,1,0,0,1.745,blur=3;noise=0;sym-UPC_A;modpx-8.00;img-ok
sw_blur-3.25_noise-0_1,2stage,1,1,1,0,0,1.360,blur=3.25;noise=0;sym-UPC_A;modpx-8.00;img-ok
sw_blur-3.5_noise-0_1,2stage,1,1,1,0,0,2.116,blur=3.5;noise=0;sym-UPC_A;modpx-8.00;img-ok
sw_blur-3.75_noise-0_1,2stage,1,1,1,0,0,1.746,blur=3.75;noise=0;sym-UPC_A;modpx-8.00;img-borderline
sw_blur-4_noise-0_1,2stage,1,1,1,0,0,1.909,blur=4;noise=0;sym-UPC_A;modpx-8.00;img-borderline
sw_blur-0_noise-5_1,2stage,1,1,1,0,0,1.667,blur=0;noise=5;sym-UPC_A;modpx-8.00;img-ok
sw_blur-0.25_noise-5_1,2stage,1,1,1,0,0,1.654,blur=0.25;noise=5;sym-UPC_A;modpx-8.00;img-ok
sw_blur-0.5_noise-5_1,2stage,1,1,1,0,0,1.537,blur=0.5;noise=5;sym-UPC_A;modpx-8.00;img-ok
sw_blur-0.75_noise-5_1,2stage,1,1,1,0,0,2.327,blur=0.75;noise=5;sym-UPC_A;modpx-8.00;img-ok
sw_blur-1_noise-5_1,2stage,1,1,1,0,0,1.686,blur=1;noise=5;sym-UPC_A;modpx-8.00;img-ok
sw_blur-1.25_noise-5_1,2stage,1,1,1,0,0,2.113,blur=1.25;noise=5;sym-UPC_A;modpx-8.00;img-ok
sw_blur-1.5_noise-5_1,2stage,1,1,1,0,0,1.805,blur=1.5;noise=5;sym-UPC_A;modpx-8.00;img-ok
sw_blur-1.75_noise-5_1,2stage,1,1,1,0,0,1.920,blur=1.75;noise=5;sym-UPC_A;modpx-8.00;img-ok
sw_blur-2_noise-5_1,2stage,1,1,1,0,0,2.033,blur=2;noise=5;sym-UPC_A;modpx-8.00;img-ok
sw_blur-2.25_noise-5_1,2stage,1,1,1,0,0,1.729,blur=2.25;noise=5;sym-UPC_A;modpx-8.00;img-ok
sw_blur-2.5_noise-5_1,2stage,1,1,1,0,0,1.643,blur=2.5;noise=5;sym-UPC_A;modpx-8.00;img-ok
sw_blur-2.75_noise-5_1,2stage,1,1,1,0,0,2.463,blur=2.75;noise=5;sym-UPC_A;modpx-8.00;img-ok
sw_blur-3_noise-5_1,2stage,1,1,1,0,0,1.791,blur=3;noise=5;sym-UPC_A;modpx-8.00;img-ok
sw_blur-3.25_noise-5_1,2stage,1,1,1,0,0,1.650,blur=3.25;noise=5;sym-UPC_A;modpx-8.00;img-ok
sw_blur-3.5_noise-5_1,2stage,1,1,1,0,0,1.732,blur=3.5;noise=5;sym-UPC_A;modpx-8.00;img-ok
sw_blur-3.75_noise-5_1,2stage,1,1,1,0,0,1.974,blur=3.75;noise=5;sym-UPC_A;modpx-8.00;img-borderline
sw_blur-4_noise-5_1,2stage,1,1,1,0,0,2.196,blur=4;noise=5;sym-UPC_A;modpx-8.00;img-borderline
sw_blur-0_noise-10_1,2stage,1,1,1,0,0,1.605,blur=0;noise=10;sym-UPC_A;modpx-8.00;img-ok
