file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_blur-0_noise-0_1,2stage,1,1,1,0,0,2.062,blur=0;noise=0;sym-UPC_E;modpx-8.00;img-ok
sw_blur-0.25_noise-0_1,2stage,1,1,1,0,0,2.408,blur=0.25;noise=0;sym-UPC_E;modpx-8.00;img-ok
sw_blur-0.5_noise-0_1,2stage,1,1,1,0,0,1.826,blur=0.5;noise=0;sym-UPC_E;modpx-8.00;img-ok
sw_blur-0.75_noise-0_1,2stage,1,1,1,0,0,1.762,blur=0.75;noise=0;sym-UPC_E;modpx-8.00;img-ok
sw_blur-1_noise-0_1,2stage,1,1,1,0,0,3.542,blur=1;noise=0;sym-UPC_E;modpx-8.00;img-ok
sw_blur-1.25_noise-0_1,2stage,1,1,1,0,0,1.531,blur=1.25;noise=0;sym-UPC_E;modpx-8.00;img-ok
sw_blur-1.5_noise-0_1,2stage,1,1,1,0,0,1.731,blur=1.5;noise=0;sym-UPC_E;modpx-8.00;img-ok
sw_blur-1.75_noise-0_1,2stage,1,1,1,0,0,1.877,blur=1.75;noise=0;sym-UPC_E;modpx-8.00;img-ok
sw_blur-2_noise-0_1,2stage,1,1,1,0,0,1.822,blur=2;noise=0;sym-UPC_E;modpx-8.00;img-ok
sw_blur-2.25_noise-0_1,2stage,1,1,1,0,0,1.988,blur=2.25;noise=0;sym-UPC_E;modpx-8.00;img-ok
sw_blur-2.5_noise-0_1,2stage,1,1,1,0,0,1.638,blur=2.5;noise=0;sym-UPC_E;modpx-8.00;img-ok
sw_blur-2.75_noise-0_1,2stage,1,1,1,0,0,1.612,blur=2.75;noise=0;sym-UPC_E;modpx-8.00;img-ok
sw_blur-3_noise-0_1,2stage,1,1,1,0,0,2.112,blur=3;noise=0;sym-UPC_E;modpx-8.00;img-ok
sw_blur-3.25_noise-0_1,2stage,1,1,1,0,0,1.717,blur=3.25;noise=0;sym-UPC_E;modpx-8.00;img-ok
sw_blur-3.5_noise-0_1,2stage,1,1,1,0,0,1.501,blur=3.5;noise=0;sym-UPC_E;modpx-8.00;img-ok
sw_blur-3.75_noise-0_1,2stage,1,1,1,0,0,1.996,blur=3.75;noise=0;sym-UPC_E;modpx-8.00;img-borderline
sw_blur-4_noise-0_1,2stage,1,1,1,0,0,2.087,blur=4;noise=0;sym-UPC_E;modpx-8.00;img-borderline
sw_blur-0_noise-5_1,2stage,1,1,1,0,0,1.728,blur=0;noise=5;sym-UPC_E;modpx-8.00;img-ok
sw_blur-0.25_noise-5_1,2stage,1,1,1,0,0,1.582,blur=0.25;noise=5;sym-UPC_E;modpx-8.00;img-ok
sw_blur-0.5_noise-5_1,2stage,1,1,1,0,0,1.581,blur=0.5;noise=5;sym-UPC_E;modpx-8.00;img-ok
sw_blur-0.75_noise-5_1,2stage,1,1,1,0,0,2.438,blur=0.75;noise=5;sym-UPC_E;modpx-8.00;img-ok
sw_blur-1_noise-5_1,2stage,1,1,1,0,0,1.816,blur=1;noise=5;sym-UPC_E;modpx-8.00;img-ok
sw_blur-1.25_noise-5_1,2stage,1,1,1,0,0,2.110,blur=1.25;noise=5;sym-UPC_E;modpx-8.00;img-ok
sw_blur-1.5_noise-5_1,2stage,1,1,1,0,0,1.753,blur=1.5;noise=5;sym-UPC_E;modpx-8.00;img-ok
sw_blur-1.75_noise-5_1,2stage,1,1,1,0,0,2.429,blur=1.75;noise=5;sym-UPC_E;modpx-8.00;img-ok
sw_blur-2_noise-5_1,2stage,1,1,1,0,0,2.741,blur=2;noise=5;sym-UPC_E;modpx-8.00;img-ok
sw_blur-2.25_noise-5_1,2stage,1,1,1,0,0,3.255,blur=2.25;noise=5;sym-UPC_E;modpx-8.00;img-ok
sw_blur-2.5_noise-5_1,2stage,1,1,1,0,0,3.602,blur=2.5;noise=5;sym-UPC_E;modpx-8.00;img-ok
sw_blur-2.75_noise-5_1,2stage,1,1,1,0,0,2.278,blur=2.75;noise=5;sym-UPC_E;modpx-8.00;img-ok
sw_blur-3_noise-5_1,2stage,1,1,1,0,0,2.693,blur=3;noise=5;sym-UPC_E;modpx-8.00;img-ok
sw_blur-3.25_noise-5_1,2stage,1,1,1,0,0,1.878,blur=3.25;noise=5;sym-UPC_E;modpx-8.00;img-ok
sw_blur-3.5_noise-5_1,2stage,1,1,1,0,0,1.612,blur=3.5;noise=5;sym-UPC_E;modpx-8.00;img-ok
sw_blur-3.75_noise-5_1,2stage,1,1,1,0,0,2.401,blur=3.75;noise=5;sym-UPC_E;modpx-8.00;img-borderline
sw_blur-4_noise-5_1,2stage,1,1,1,0,0,1.644,blur=4;noise=5;sym-UPC_E;modpx-8.00;img-borderline
sw_blur-0_noise-10_1,2stage,1,1,1,0,0,1.540,blur=0;noise=10;sym-UPC_E;modpx-8.00;img-ok
sw_blur-0.25_noise-10_1,2stage,1,1,1,0,0,1.517,blur=0.25;noise=10;sym-UPC_E;modpx-8.00;img-ok
sw_blur-0.5_noise-10_1,2stage,1,1,1,0,0,2.451,blur=0.5;noise=10;sym-UPC_E;modpx-8.00;img-ok
sw_blur-0.75_noise-10_1,2stage,1,1,1,0,0,2.148,blur=0.75;noise=10;sym-UPC_E;modpx-8.00;img-ok
sw_blur-1_noise-10_1,2stage,1,1,1,0,0,2.153,blur=1;noise=10;sym-UPC_E;modpx-8.00;img-ok
sw_blur-1.25_noise-10_1,2stage,1,1,1,0,0,1.977,blur=1.25;noise=10;sym-UPC_E;modpx-8.00;img-ok
sw_blur-1.5_noise-10_1,2stage,1,1,1,0,0,2.126,blur=1.5;noise=10;sym-UPC_E;modpx-8.00;img-ok
sw_blur-1.75_noise-10_1,2stage,1,1,1,0,0,1.977,blur=1.75;noise=10;sym-UPC_E;modpx-8.00;img-ok
sw_blur-2_noise-10_1,2stage,1,1,1,0,0,1.989,blur=2;noise=10;sym-UPC_E;modpx-8.00;img-ok
sw_blur-2.25_noise-10_1,2stage,1,1,1,0,0,1.982,blur=2.25;noise=10;sym-UPC_E;modpx-8.00;img-ok
