file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_curve-0_persp-0_1,2stage,1,1,1,0,0,10.123,curve=0;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0.05_persp-0_1,2stage,1,1,1,0,0,9.470,curve=0.05;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0.1_persp-0_1,2stage,1,1,1,0,0,9.524,curve=0.1;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0.15_persp-0_1,2stage,1,1,1,0,0,9.830,curve=0.15;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0.2_persp-0_1,2stage,1,1,1,0,0,5.353,curve=0.2;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0.25_persp-0_1,2stage,1,1,1,0,0,6.398,curve=0.25;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0.3_persp-0_1,2stage,1,1,1,0,0,9.525,curve=0.3;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0.35_persp-0_1,2stage,1,1,1,0,0,8.392,curve=0.35;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0.4_persp-0_1,2stage,1,1,1,0,0,5.358,curve=0.4;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0.45_persp-0_1,2stage,1,1,1,0,0,4.991,curve=0.45;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0.5_persp-0_1,2stage,1,1,1,0,0,5.161,curve=0.5;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0.55_persp-0_1,2stage,1,1,1,0,0,4.883,curve=0.55;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0.6_persp-0_1,2stage,1,1,1,0,0,9.622,curve=0.6;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0.65_persp-0_1,2stage,1,1,1,0,0,6.266,curve=0.65;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0.7_persp-0_1,2stage,1,1,1,0,0,5.875,curve=0.7;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0.75_persp-0_1,2stage,1,1,1,0,0,5.684,curve=0.75;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0.8_persp-0_1,2stage,1,1,1,0,0,10.144,curve=0.8;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0.85_persp-0_1,2stage,1,1,1,0,0,9.824,curve=0.85;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0.9_persp-0_1,2stage,1,1,1,0,0,8.743,curve=0.9;persp=0;sym-CODABAR;modpx-7.97;img-ok
sw_curve-0_persp-0.05_1,2stage,1,1,1,0,0,10.183,curve=0;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0.05_persp-0.05_1,2stage,1,1,1,0,0,4.875,curve=0.05;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0.1_persp-0.05_1,2stage,1,1,1,0,0,5.028,curve=0.1;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0.15_persp-0.05_1,2stage,1,1,1,0,0,4.563,curve=0.15;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0.2_persp-0.05_1,2stage,1,1,1,0,0,4.284,curve=0.2;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0.25_persp-0.05_1,2stage,1,1,1,0,0,5.161,curve=0.25;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0.3_persp-0.05_1,2stage,1,1,1,0,0,8.792,curve=0.3;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0.35_persp-0.05_1,2stage,1,1,1,0,0,4.308,curve=0.35;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0.4_persp-0.05_1,2stage,1,1,1,0,0,4.157,curve=0.4;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0.45_persp-0.05_1,2stage,1,1,1,0,0,4.645,curve=0.45;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0.5_persp-0.05_1,2stage,1,1,1,0,0,4.718,curve=0.5;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0.55_persp-0.05_1,2stage,1,1,1,0,0,4.636,curve=0.55;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0.6_persp-0.05_1,2stage,1,1,1,0,0,5.411,curve=0.6;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0.65_persp-0.05_1,2stage,1,1,1,0,0,8.707,curve=0.65;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0.7_persp-0.05_1,2stage,1,1,1,0,0,8.307,curve=0.7;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0.75_persp-0.05_1,2stage,1,1,1,0,0,25.214,curve=0.75;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0.8_persp-0.05_1,2stage,1,1,1,0,0,16.345,curve=0.8;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0.85_persp-0.05_1,2stage,1,1,1,0,0,4.613,curve=0.85;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0.9_persp-0.05_1,2stage,1,1,1,0,0,4.560,curve=0.9;persp=0.05;sym-CODABAR;modpx-7.39;img-ok
sw_curve-0_persp-0.1_1,2stage,1,1,1,0,0,4.301,curve=0;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0.05_persp-0.1_1,2stage,1,1,1,0,0,5.005,curve=0.05;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0.1_persp-0.1_1,2stage,1,1,1,0,0,8.712,curve=0.1;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0.15_persp-0.1_1,2stage,1,1,1,0,0,4.343,curve=0.15;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0.2_persp-0.1_1,2stage,1,1,1,0,0,8.152,curve=0.2;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0.25_persp-0.1_1,2stage,1,1,1,0,0,4.209,curve=0.25;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0.3_persp-0.1_1,2stage,1,1,1,0,0,5.197,curve=0.3;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0.35_persp-0.1_1,2stage,1,1,1,0,0,4.698,curve=0.35;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0.4_persp-0.1_1,2stage,1,1,1,0,0,4.769,curve=0.4;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0.45_persp-0.1_1,2stage,1,1,1,0,0,4.728,curve=0.45;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0.5_persp-0.1_1,2stage,1,1,1,0,0,8.467,curve=0.5;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0.55_persp-0.1_1,2stage,1,1,1,0,0,8.508,curve=0.55;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0.6_persp-0.1_1,2stage,1,1,1,0,0,4.175,curve=0.6;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0.65_persp-0.1_1,2stage,1,1,1,0,0,4.374,curve=0.65;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0.7_persp-0.1_1,2stage,1,1,1,0,0,4.764,curve=0.7;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0.75_persp-0.1_1,2stage,1,1,1,0,0,5.502,curve=0.75;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0.8_persp-0.1_1,2stage,1,1,1,0,0,5.255,curve=0.8;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0.85_persp-0.1_1,2stage,1,1,1,0,0,8.818,curve=0.85;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0.9_persp-0.1_1,2stage,1,1,1,0,0,13.091,curve=0.9;persp=0.1;sym-CODABAR;modpx-6.41;img-ok
sw_curve-0_persp-0.15_1,2stage,1,1,1,0,0,8.141,curve=0;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0.05_persp-0.15_1,2stage,1,1,1,0,0,4.272,curve=0.05;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0.1_persp-0.15_1,2stage,1,1,1,0,0,3.925,curve=0.1;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0.15_persp-0.15_1,2stage,1,1,1,0,0,4.179,curve=0.15;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0.2_persp-0.15_1,2stage,1,1,1,0,0,4.553,curve=0.2;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0.25_persp-0.15_1,2stage,1,1,1,0,0,4.142,curve=0.25;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0.3_persp-0.15_1,2stage,1,1,1,0,0,8.283,curve=0.3;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0.35_persp-0.15_1,2stage,1,1,1,0,0,8.477,curve=0.35;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0.4_persp-0.15_1,2stage,1,1,1,0,0,4.250,curve=0.4;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0.45_persp-0.15_1,2stage,1,1,1,0,0,7.040,curve=0.45;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0.5_persp-0.15_1,2stage,1,1,1,0,0,7.946,curve=0.5;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0.55_persp-0.15_1,2stage,1,1,1,0,0,5.459,curve=0.55;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0.6_persp-0.15_1,2stage,1,1,1,0,0,4.708,curve=0.6;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0.65_persp-0.15_1,2stage,1,1,1,0,0,4.935,curve=0.65;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0.7_persp-0.15_1,2stage,1,1,1,0,0,4.931,curve=0.7;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0.75_persp-0.15_1,2stage,1,1,1,0,0,26.503,curve=0.75;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0.8_persp-0.15_1,2stage,1,1,1,0,0,4.332,curve=0.8;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0.85_persp-0.15_1,2stage,1,1,1,0,0,8.025,curve=0.85;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0.9_persp-0.15_1,2stage,1,1,1,0,0,3.981,curve=0.9;persp=0.15;sym-CODABAR;modpx-5.46;img-ok
sw_curve-0_persp-0.2_1,2stage,1,1,1,0,0,4.433,curve=0;persp=0.2;sym-CODABAR;modpx-4.54;img-ok
sw_curve-0.05_persp-0.2_1,2stage,1,1,1,0,0,5.144,curve=0.05;persp=0.2;sym-CODABAR;modpx-4.54;img-ok
sw_curve-0.1_persp-0.2_1,2stage,1,1,1,0,0,4.570,curve=0.1;persp=0.2;sym-CODABAR;modpx-4.54;img-ok
