file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_curve-0_persp-0_1,2stage,1,1,1,0,0,15.299,curve=0;persp=0;sym-CODE_93;modpx-6.27;img-ok
sw_curve-0.05_persp-0_1,2stage,1,1,1,0,0,9.212,curve=0.05;persp=0;sym-CODE_93;modpx-6.27;img-ok
sw_curve-0.1_persp-0_1,2stage,1,1,1,0,0,9.489,curve=0.1;persp=0;sym-CODE_93;modpx-6.27;img-ok
sw_curve-0.15_persp-0_1,2stage,1,1,1,0,0,9.645,curve=0.15;persp=0;sym-CODE_93;modpx-6.27;img-ok
sw_curve-0.2_persp-0_1,2stage,1,1,1,0,0,6.965,curve=0.2;persp=0;sym-CODE_93;modpx-6.27;img-ok
sw_curve-0.25_persp-0_1,2stage,1,1,1,0,0,5.470,curve=0.25;persp=0;sym-CODE_93;modpx-6.27;img-ok
sw_curve-0.3_persp-0_1,2stage,1,1,1,0,0,7.343,curve=0.3;persp=0;sym-CODE_93;modpx-6.27;img-ok
sw_curve-0.35_persp-0_1,2stage,1,1,1,0,0,5.907,curve=0.35;persp=0;sym-CODE_93;modpx-6.27;img-ok
sw_curve-0.4_persp-0_1,2stage,1,1,1,0,0,9.421,curve=0.4;persp=0;sym-CODE_93;modpx-6.27;img-ok
sw_curve-0.45_persp-0_1,2stage,1,1,1,0,0,5.579,curve=0.45;persp=0;sym-CODE_93;modpx-6.27;img-ok
sw_curve-0.5_persp-0_1,2stage,1,1,1,0,0,10.117,curve=0.5;persp=0;sym-CODE_93;modpx-6.27;img-ok
sw_curve-0.55_persp-0_1,2stage,1,1,1,0,0,9.007,curve=0.55;persp=0;sym-CODE_93;modpx-6.27;img-ok
sw_curve-0.6_persp-0_1,2stage,1,1,1,0,0,5.475,curve=0.6;persp=0;sym-CODE_93;modpx-6.27;img-ok
sw_curve-0.65_persp-0_1,2stage,1,1,1,0,0,5.288,curve=0.65;persp=0;sym-CODE_93;modpx-6.27;img-ok
sw_curve-0.7_persp-0_1,2stage,1,1,1,0,0,4.925,curve=0.7;persp=0;sym-CODE_93;modpx-6.27;img-ok
sw_curve-0.75_persp-0_1,2stage,1,1,1,0,0,8.913,curve=0.75;persp=0;sym-CODE_93;modpx-6.27;img-ok
sw_curve-0.8_persp-0_1,2stage,1,1,1,0,0,7.197,curve=0.8;persp=0;sym-CODE_93;modpx-6.27;img-ok
sw_curve-0.85_persp-0_1,2stage,1,1,1,0,0,11.392,curve=0.85;persp=0;sym-CODE_93;modpx-6.27;img-ok
