file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_curve-0_persp-0_1,2stage,1,1,1,0,0,11.626,curve=0;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0.05_persp-0_1,2stage,1,1,1,0,0,186.920,curve=0.05;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0.1_persp-0_1,2stage,1,1,1,0,0,137.563,curve=0.1;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0.15_persp-0_1,2stage,1,0,0,0,0,1396.506,curve=0.15;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0.2_persp-0_1,2stage,1,1,1,0,0,117.734,curve=0.2;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0.25_persp-0_1,2stage,1,1,1,0,0,115.913,curve=0.25;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0.3_persp-0_1,2stage,1,1,1,0,0,96.763,curve=0.3;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0.35_persp-0_1,2stage,1,1,1,0,0,117.087,curve=0.35;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0.4_persp-0_1,2stage,1,1,1,0,0,112.397,curve=0.4;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0.45_persp-0_1,2stage,1,0,0,0,0,1071.938,curve=0.45;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0.5_persp-0_1,2stage,1,1,1,0,0,193.112,curve=0.5;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0.55_persp-0_1,2stage,1,1,1,0,0,161.146,curve=0.55;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0.6_persp-0_1,2stage,1,1,1,0,0,94.353,curve=0.6;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0.65_persp-0_1,2stage,1,1,1,0,0,91.929,curve=0.65;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0.7_persp-0_1,2stage,1,1,1,0,0,89.847,curve=0.7;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0.75_persp-0_1,2stage,1,1,1,0,0,5.071,curve=0.75;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0.8_persp-0_1,2stage,1,1,1,0,0,10.275,curve=0.8;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0.85_persp-0_1,2stage,1,1,1,0,0,4.853,curve=0.85;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0.9_persp-0_1,2stage,1,1,1,0,0,5.255,curve=0.9;persp=0;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_curve-0_persp-0.05_1,2stage,1,1,1,0,0,8.816,curve=0;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0.05_persp-0.05_1,2stage,1,1,1,0,0,138.366,curve=0.05;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0.1_persp-0.05_1,2stage,1,1,1,0,0,142.209,curve=0.1;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0.15_persp-0.05_1,2stage,1,1,1,0,0,148.055,curve=0.15;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0.2_persp-0.05_1,2stage,1,1,1,0,0,274.052,curve=0.2;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0.25_persp-0.05_1,2stage,1,1,1,0,0,208.603,curve=0.25;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0.3_persp-0.05_1,2stage,1,1,1,0,0,145.011,curve=0.3;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0.35_persp-0.05_1,2stage,1,1,1,0,0,172.865,curve=0.35;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0.4_persp-0.05_1,2stage,1,1,1,0,0,144.977,curve=0.4;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0.45_persp-0.05_1,2stage,1,1,1,0,0,116.043,curve=0.45;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0.5_persp-0.05_1,2stage,1,1,1,0,0,120.916,curve=0.5;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0.55_persp-0.05_1,2stage,1,1,1,0,0,116.219,curve=0.55;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0.6_persp-0.05_1,2stage,1,1,1,0,0,121.214,curve=0.6;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0.65_persp-0.05_1,2stage,1,1,1,0,0,119.290,curve=0.65;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0.7_persp-0.05_1,2stage,1,1,1,0,0,9.629,curve=0.7;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0.75_persp-0.05_1,2stage,1,1,1,0,0,5.167,curve=0.75;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0.8_persp-0.05_1,2stage,1,1,1,0,0,4.968,curve=0.8;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0.85_persp-0.05_1,2stage,1,1,1,0,0,5.397,curve=0.85;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0.9_persp-0.05_1,2stage,1,1,1,0,0,5.062,curve=0.9;persp=0.05;sym-DATA_BAR_EXPANDED;modpx-6.34;img-ok
sw_curve-0_persp-0.1_1,2stage,1,1,1,0,0,4.635,curve=0;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0.05_persp-0.1_1,2stage,1,1,1,0,0,130.705,curve=0.05;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0.1_persp-0.1_1,2stage,1,1,1,0,0,154.671,curve=0.1;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0.15_persp-0.1_1,2stage,1,1,1,0,0,147.447,curve=0.15;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0.2_persp-0.1_1,2stage,1,0,0,0,0,1071.873,curve=0.2;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0.25_persp-0.1_1,2stage,1,1,1,0,0,199.620,curve=0.25;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0.3_persp-0.1_1,2stage,1,1,1,0,0,130.691,curve=0.3;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0.35_persp-0.1_1,2stage,1,1,1,0,0,114.910,curve=0.35;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0.4_persp-0.1_1,2stage,1,0,0,0,0,757.927,curve=0.4;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0.45_persp-0.1_1,2stage,1,0,0,0,0,1054.947,curve=0.45;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0.5_persp-0.1_1,2stage,1,0,0,0,0,1346.742,curve=0.5;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0.55_persp-0.1_1,2stage,1,1,1,0,0,280.047,curve=0.55;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0.6_persp-0.1_1,2stage,1,1,1,0,0,16.325,curve=0.6;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0.65_persp-0.1_1,2stage,1,1,1,0,0,16.022,curve=0.65;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0.7_persp-0.1_1,2stage,1,1,1,0,0,5.733,curve=0.7;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0.75_persp-0.1_1,2stage,1,1,1,0,0,5.307,curve=0.75;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0.8_persp-0.1_1,2stage,1,1,1,0,0,5.207,curve=0.8;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0.85_persp-0.1_1,2stage,1,1,1,0,0,5.033,curve=0.85;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0.9_persp-0.1_1,2stage,1,1,1,0,0,13.361,curve=0.9;persp=0.1;sym-DATA_BAR_EXPANDED;modpx-5.51;img-ok
sw_curve-0_persp-0.15_1,2stage,1,1,1,0,0,5.380,curve=0;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0.05_persp-0.15_1,2stage,1,1,1,0,0,230.085,curve=0.05;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0.1_persp-0.15_1,2stage,1,1,1,0,0,262.853,curve=0.1;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0.15_persp-0.15_1,2stage,1,0,0,0,0,792.328,curve=0.15;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0.2_persp-0.15_1,2stage,1,0,0,0,0,750.174,curve=0.2;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0.25_persp-0.15_1,2stage,1,0,0,0,0,894.995,curve=0.25;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0.3_persp-0.15_1,2stage,1,0,0,0,0,1088.084,curve=0.3;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0.35_persp-0.15_1,2stage,1,0,0,0,0,1076.194,curve=0.35;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0.4_persp-0.15_1,2stage,1,0,0,0,0,1234.556,curve=0.4;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0.45_persp-0.15_1,2stage,1,0,0,0,0,1217.557,curve=0.45;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0.5_persp-0.15_1,2stage,1,1,1,0,0,5.793,curve=0.5;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0.55_persp-0.15_1,2stage,1,1,1,0,0,4.588,curve=0.55;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0.6_persp-0.15_1,2stage,1,1,1,0,0,5.167,curve=0.6;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0.65_persp-0.15_1,2stage,1,1,1,0,0,5.554,curve=0.65;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0.7_persp-0.15_1,2stage,1,1,1,0,0,5.538,curve=0.7;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0.75_persp-0.15_1,2stage,1,1,1,0,0,5.148,curve=0.75;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0.8_persp-0.15_1,2stage,1,1,1,0,0,9.443,curve=0.8;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0.85_persp-0.15_1,2stage,1,1,1,0,0,9.856,curve=0.85;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0.9_persp-0.15_1,2stage,1,1,1,0,0,10.337,curve=0.9;persp=0.15;sym-DATA_BAR_EXPANDED;modpx-4.69;img-ok
sw_curve-0_persp-0.2_1,2stage,1,0,0,0,0,914.390,curve=0;persp=0.2;sym-DATA_BAR_EXPANDED;modpx-3.90;img-ok
sw_curve-0.05_persp-0.2_1,2stage,1,0,0,0,0,715.230,curve=0.05;persp=0.2;sym-DATA_BAR_EXPANDED;modpx-3.90;img-ok
sw_curve-0.1_persp-0.2_1,2stage,1,0,0,0,0,749.246,curve=0.1;persp=0.2;sym-DATA_BAR_EXPANDED;modpx-3.90;img-ok
sw_curve-0.15_persp-0.2_1,2stage,1,0,0,0,0,1176.221,curve=0.15;persp=0.2;sym-DATA_BAR_EXPANDED;modpx-3.90;img-ok
sw_curve-0.2_persp-0.2_1,2stage,1,0,0,0,0,1159.238,curve=0.2;persp=0.2;sym-DATA_BAR_EXPANDED;modpx-3.90;img-ok
sw_curve-0.25_persp-0.2_1,2stage,1,0,0,0,0,1305.848,curve=0.25;persp=0.2;sym-DATA_BAR_EXPANDED;modpx-3.90;img-ok
sw_curve-0.3_persp-0.2_1,2stage,1,0,0,0,0,966.035,curve=0.3;persp=0.2;sym-DATA_BAR_EXPANDED;modpx-3.90;img-ok
sw_curve-0.35_persp-0.2_1,2stage,1,1,1,0,0,179.893,curve=0.35;persp=0.2;sym-DATA_BAR_EXPANDED;modpx-3.90;img-ok
sw_curve-0.4_persp-0.2_1,2stage,1,1,1,0,0,5.586,curve=0.4;persp=0.2;sym-DATA_BAR_EXPANDED;modpx-3.90;img-ok
sw_curve-0.45_persp-0.2_1,2stage,1,1,1,0,0,4.705,curve=0.45;persp=0.2;sym-DATA_BAR_EXPANDED;modpx-3.90;img-ok
