file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_curve-0_persp-0_1,2stage,1,1,1,0,0,10.578,curve=0;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0.05_persp-0_1,2stage,1,1,1,0,0,170.386,curve=0.05;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0.1_persp-0_1,2stage,1,1,1,0,0,74.513,curve=0.1;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0.15_persp-0_1,2stage,1,1,1,0,0,89.903,curve=0.15;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0.2_persp-0_1,2stage,1,0,0,0,0,646.777,curve=0.2;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0.25_persp-0_1,2stage,1,0,0,0,0,509.567,curve=0.25;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0.3_persp-0_1,2stage,1,0,0,0,0,559.993,curve=0.3;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0.35_persp-0_1,2stage,1,1,1,0,0,66.142,curve=0.35;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0.4_persp-0_1,2stage,1,1,1,0,0,100.191,curve=0.4;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0.45_persp-0_1,2stage,1,1,1,0,0,97.501,curve=0.45;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0.5_persp-0_1,2stage,1,0,0,0,0,692.366,curve=0.5;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0.55_persp-0_1,2stage,1,0,0,0,0,852.412,curve=0.55;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0.6_persp-0_1,2stage,1,0,0,0,0,520.874,curve=0.6;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0.65_persp-0_1,2stage,1,1,1,0,0,69.669,curve=0.65;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0.7_persp-0_1,2stage,1,1,1,0,0,63.079,curve=0.7;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0.75_persp-0_1,2stage,1,1,1,0,0,79.796,curve=0.75;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0.8_persp-0_1,2stage,1,1,1,0,0,4.384,curve=0.8;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0.85_persp-0_1,2stage,1,1,1,0,0,5.049,curve=0.85;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0.9_persp-0_1,2stage,1,1,1,0,0,3.858,curve=0.9;persp=0;sym-DATA_BAR;modpx-8.00;img-ok
sw_curve-0_persp-0.05_1,2stage,1,1,1,0,0,4.201,curve=0;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0.05_persp-0.05_1,2stage,1,1,1,0,0,103.562,curve=0.05;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0.1_persp-0.05_1,2stage,1,0,0,0,0,528.992,curve=0.1;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0.15_persp-0.05_1,2stage,1,0,0,0,0,570.144,curve=0.15;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0.2_persp-0.05_1,2stage,1,1,1,0,0,108.481,curve=0.2;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0.25_persp-0.05_1,2stage,1,1,1,0,0,158.459,curve=0.25;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0.3_persp-0.05_1,2stage,1,1,1,0,0,121.955,curve=0.3;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0.35_persp-0.05_1,2stage,1,1,1,0,0,96.105,curve=0.35;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0.4_persp-0.05_1,2stage,1,0,0,0,0,469.841,curve=0.4;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0.45_persp-0.05_1,2stage,1,0,0,0,0,750.707,curve=0.45;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0.5_persp-0.05_1,2stage,1,1,1,0,0,97.842,curve=0.5;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0.55_persp-0.05_1,2stage,1,1,1,0,0,97.903,curve=0.55;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0.6_persp-0.05_1,2stage,1,1,1,0,0,107.827,curve=0.6;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0.65_persp-0.05_1,2stage,1,1,1,0,0,127.191,curve=0.65;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0.7_persp-0.05_1,2stage,1,1,1,0,0,4.503,curve=0.7;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0.75_persp-0.05_1,2stage,1,1,1,0,0,3.937,curve=0.75;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0.8_persp-0.05_1,2stage,1,1,1,0,0,3.851,curve=0.8;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0.85_persp-0.05_1,2stage,1,1,1,0,0,3.717,curve=0.85;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0.9_persp-0.05_1,2stage,1,1,1,0,0,4.486,curve=0.9;persp=0.05;sym-DATA_BAR;modpx-7.53;img-ok
sw_curve-0_persp-0.1_1,2stage,1,1,1,0,0,3.756,curve=0;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0.05_persp-0.1_1,2stage,1,1,1,0,0,165.116,curve=0.05;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0.1_persp-0.1_1,2stage,1,0,0,0,0,837.144,curve=0.1;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0.15_persp-0.1_1,2stage,1,1,1,0,0,202.023,curve=0.15;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0.2_persp-0.1_1,2stage,1,1,1,0,0,176.851,curve=0.2;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0.25_persp-0.1_1,2stage,1,1,1,0,0,281.619,curve=0.25;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0.3_persp-0.1_1,2stage,1,1,1,0,0,83.458,curve=0.3;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0.35_persp-0.1_1,2stage,1,1,1,0,0,85.113,curve=0.35;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0.4_persp-0.1_1,2stage,1,0,0,0,0,644.113,curve=0.4;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0.45_persp-0.1_1,2stage,1,1,1,0,0,85.883,curve=0.45;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0.5_persp-0.1_1,2stage,1,1,1,0,0,128.081,curve=0.5;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0.55_persp-0.1_1,2stage,1,1,1,0,0,92.867,curve=0.55;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0.6_persp-0.1_1,2stage,1,1,1,0,0,38.730,curve=0.6;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0.65_persp-0.1_1,2stage,1,1,1,0,0,4.461,curve=0.65;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0.7_persp-0.1_1,2stage,1,1,1,0,0,4.223,curve=0.7;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0.75_persp-0.1_1,2stage,1,1,1,0,0,4.008,curve=0.75;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0.8_persp-0.1_1,2stage,1,1,1,0,0,4.449,curve=0.8;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0.85_persp-0.1_1,2stage,1,1,1,0,0,8.224,curve=0.85;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0.9_persp-0.1_1,2stage,1,1,1,0,0,8.910,curve=0.9;persp=0.1;sym-DATA_BAR;modpx-6.66;img-ok
sw_curve-0_persp-0.15_1,2stage,1,1,1,0,0,79.094,curve=0;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0.05_persp-0.15_1,2stage,1,1,1,0,0,119.193,curve=0.05;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0.1_persp-0.15_1,2stage,1,1,1,0,0,81.370,curve=0.1;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0.15_persp-0.15_1,2stage,1,1,1,0,0,85.118,curve=0.15;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0.2_persp-0.15_1,2stage,1,1,1,0,0,82.188,curve=0.2;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0.25_persp-0.15_1,2stage,1,1,1,0,0,82.523,curve=0.25;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0.3_persp-0.15_1,2stage,1,1,1,0,0,85.350,curve=0.3;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0.35_persp-0.15_1,2stage,1,1,1,0,0,132.245,curve=0.35;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0.4_persp-0.15_1,2stage,1,1,1,0,0,134.576,curve=0.4;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0.45_persp-0.15_1,2stage,1,0,0,0,0,749.824,curve=0.45;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0.5_persp-0.15_1,2stage,1,1,1,0,0,260.421,curve=0.5;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0.55_persp-0.15_1,2stage,1,1,1,0,0,5.212,curve=0.55;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0.6_persp-0.15_1,2stage,1,1,1,0,0,3.850,curve=0.6;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0.65_persp-0.15_1,2stage,1,1,1,0,0,3.657,curve=0.65;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0.7_persp-0.15_1,2stage,1,1,1,0,0,4.654,curve=0.7;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0.75_persp-0.15_1,2stage,1,1,1,0,0,8.434,curve=0.75;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0.8_persp-0.15_1,2stage,1,1,1,0,0,8.255,curve=0.8;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0.85_persp-0.15_1,2stage,1,1,1,0,0,7.988,curve=0.85;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0.9_persp-0.15_1,2stage,1,1,1,0,0,8.889,curve=0.9;persp=0.15;sym-DATA_BAR;modpx-5.82;img-ok
sw_curve-0_persp-0.2_1,2stage,1,1,1,0,0,66.235,curve=0;persp=0.2;sym-DATA_BAR;modpx-4.99;img-ok
sw_curve-0.05_persp-0.2_1,2stage,1,0,0,0,0,573.302,curve=0.05;persp=0.2;sym-DATA_BAR;modpx-4.99;img-ok
sw_curve-0.1_persp-0.2_1,2stage,1,0,0,0,0,495.944,curve=0.1;persp=0.2;sym-DATA_BAR;modpx-4.99;img-ok
sw_curve-0.15_persp-0.2_1,2stage,1,0,0,0,0,700.557,curve=0.15;persp=0.2;sym-DATA_BAR;modpx-4.99;img-ok
sw_curve-0.2_persp-0.2_1,2stage,1,0,0,0,0,719.544,curve=0.2;persp=0.2;sym-DATA_BAR;modpx-4.99;img-ok
sw_curve-0.25_persp-0.2_1,2stage,1,0,0,0,0,936.695,curve=0.25;persp=0.2;sym-DATA_BAR;modpx-4.99;img-ok
sw_curve-0.3_persp-0.2_1,2stage,1,0,0,0,0,934.818,curve=0.3;persp=0.2;sym-DATA_BAR;modpx-4.99;img-ok
sw_curve-0.35_persp-0.2_1,2stage,1,0,0,0,0,695.410,curve=0.35;persp=0.2;sym-DATA_BAR;modpx-4.99;img-ok
sw_curve-0.4_persp-0.2_1,2stage,1,1,1,0,0,133.561,curve=0.4;persp=0.2;sym-DATA_BAR;modpx-4.99;img-ok
sw_curve-0.45_persp-0.2_1,2stage,1,1,1,0,0,35.697,curve=0.45;persp=0.2;sym-DATA_BAR;modpx-4.99;img-ok
