file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_curve-0_persp-0_1,2stage,1,1,1,0,0,9.496,curve=0;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0.05_persp-0_1,2stage,1,1,1,0,0,13.660,curve=0.05;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0.1_persp-0_1,2stage,1,1,1,0,0,10.352,curve=0.1;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0.15_persp-0_1,2stage,1,1,1,0,0,9.820,curve=0.15;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0.2_persp-0_1,2stage,1,1,1,0,0,5.621,curve=0.2;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0.25_persp-0_1,2stage,1,1,1,0,0,6.168,curve=0.25;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0.3_persp-0_1,2stage,1,1,1,0,0,6.295,curve=0.3;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0.35_persp-0_1,2stage,1,1,1,0,0,5.693,curve=0.35;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0.4_persp-0_1,2stage,1,1,1,0,0,5.772,curve=0.4;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0.45_persp-0_1,2stage,1,1,1,0,0,8.753,curve=0.45;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0.5_persp-0_1,2stage,1,1,1,0,0,11.537,curve=0.5;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0.55_persp-0_1,2stage,1,1,1,0,0,5.896,curve=0.55;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0.6_persp-0_1,2stage,1,1,1,0,0,4.978,curve=0.6;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0.65_persp-0_1,2stage,1,1,1,0,0,5.326,curve=0.65;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0.7_persp-0_1,2stage,1,1,1,0,0,4.947,curve=0.7;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0.75_persp-0_1,2stage,1,1,1,0,0,4.945,curve=0.75;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0.8_persp-0_1,2stage,1,1,1,0,0,6.615,curve=0.8;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0.85_persp-0_1,2stage,1,1,1,0,0,6.477,curve=0.85;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0.9_persp-0_1,2stage,1,1,1,0,0,5.944,curve=0.9;persp=0;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_curve-0_persp-0.05_1,2stage,1,1,1,0,0,5.993,curve=0;persp=0.05;sym-DATA_MATRIX;modpx-7.99;img-ok
sw_curve-0.05_persp-0.05_1,2stage,1,1,1,0,0,5.625,curve=0.05;persp=0.05;sym-DATA_MATRIX;modpx-7.99;img-ok
sw_curve-0.1_persp-0.05_1,2stage,1,1,1,0,0,5.739,curve=0.1;persp=0.05;sym-DATA_MATRIX;modpx-7.99;img-ok
sw_curve-0.15_persp-0.05_1,2stage,1,1,1,0,0,5.798,curve=0.15;persp=0.05;sym-DATA_MATRIX;modpx-7.99;img-ok
sw_curve-0.2_persp-0.05_1,2stage,1,1,1,0,0,5.424,curve=0.2;persp=0.05;sym-DATA_MATRIX;modpx-7.99;img-ok
sw_curve-0.25_persp-0.05_1,2stage,1,1,1,0,0,6.795,curve=0.25;persp=0.05;sym-DATA_MATRIX;modpx-7.99;img-ok
sw_curve-0.3_persp-0.05_1,2stage,1,1,1,0,0,6.807,curve=0.3;persp=0.05;sym-DATA_MATRIX;modpx-7.99;img-ok
sw_curve-0.35_persp-0.05_1,2stage,1,1,1,0,0,5.739,curve=0.35;persp=0.05;sym-DATA_MATRIX;modpx-7.99;img-ok
