file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_curve-0_persp-0_1,2stage,1,1,1,0,0,1.486,curve=0;persp=0;sym-EAN_8;modpx-8.00;img-ok
sw_curve-0.05_persp-0_1,2stage,1,1,1,0,0,4.648,curve=0.05;persp=0;sym-EAN_8;modpx-8.00;img-ok
sw_curve-0.1_persp-0_1,2stage,1,1,1,0,0,5.410,curve=0.1;persp=0;sym-EAN_8;modpx-8.00;img-ok
sw_curve-0.15_persp-0_1,2stage,1,1,1,0,0,1.537,curve=0.15;persp=0;sym-EAN_8;modpx-8.00;img-ok
sw_curve-0.2_persp-0_1,2stage,1,1,1,0,0,1.615,curve=0.2;persp=0;sym-EAN_8;modpx-8.00;img-ok
sw_curve-0.25_persp-0_1,2stage,1,1,1,0,0,1.883,curve=0.25;persp=0;sym-EAN_8;modpx-8.00;img-ok
sw_curve-0.3_persp-0_1,2stage,1,1,1,0,0,1.236,curve=0.3;persp=0;sym-EAN_8;modpx-8.00;img-ok
sw_curve-0.35_persp-0_1,2stage,1,1,1,0,0,1.427,curve=0.35;persp=0;sym-EAN_8;modpx-8.00;img-ok
sw_curve-0.4_persp-0_1,2stage,1,1,1,0,0,1.762,curve=0.4;persp=0;sym-EAN_8;modpx-8.00;img-ok
sw_curve-0.45_persp-0_1,2stage,1,1,1,0,0,1.218,curve=0.45;persp=0;sym-EAN_8;modpx-8.00;img-ok
sw_curve-0.5_persp-0_1,2stage,1,1,1,0,0,0.980,curve=0.5;persp=0;sym-EAN_8;modpx-8.00;img-ok
sw_curve-0.55_persp-0_1,2stage,1,1,1,0,0,0.956,curve=0.55;persp=0;sym-EAN_8;modpx-8.00;img-ok
sw_curve-0.6_persp-0_1,2stage,1,1,1,0,0,1.589,curve=0.6;persp=0;sym-EAN_8;modpx-8.00;img-ok
sw_curve-0.65_persp-0_1,2stage,1,1,1,0,0,1.267,curve=0.65;persp=0;sym-EAN_8;modpx-8.00;img-ok
sw_curve-0.7_persp-0_1,2stage,1,1,1,0,0,1.421,curve=0.7;persp=0;sym-EAN_8;modpx-8.00;img-ok
sw_curve-0.75_persp-0_1,2stage,1,1,1,0,0,1.144,curve=0.75;persp=0;sym-EAN_8;modpx-8.00;img-ok
sw_curve-0.8_persp-0_1,2stage,1,1,1,0,0,1.381,curve=0.8;persp=0;sym-EAN_8;modpx-8.00;img-ok
sw_curve-0.85_persp-0_1,2stage,1,1,1,0,0,1.202,curve=0.85;persp=0;sym-EAN_8;modpx-8.00;img-ok
