file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_curve-0_persp-0_1,2stage,1,1,1,0,0,7.856,curve=0;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0.05_persp-0_1,2stage,1,1,1,0,0,3.603,curve=0.05;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0.1_persp-0_1,2stage,1,1,1,0,0,2.308,curve=0.1;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0.15_persp-0_1,2stage,1,1,1,0,0,3.127,curve=0.15;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0.2_persp-0_1,2stage,1,1,1,0,0,8.247,curve=0.2;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0.25_persp-0_1,2stage,1,1,1,0,0,2.813,curve=0.25;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0.3_persp-0_1,2stage,1,1,1,0,0,3.094,curve=0.3;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0.35_persp-0_1,2stage,1,1,1,0,0,3.212,curve=0.35;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0.4_persp-0_1,2stage,1,1,1,0,0,3.207,curve=0.4;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0.45_persp-0_1,2stage,1,1,1,0,0,8.932,curve=0.45;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0.5_persp-0_1,2stage,1,1,1,0,0,2.959,curve=0.5;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0.55_persp-0_1,2stage,1,1,1,0,0,3.660,curve=0.55;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0.6_persp-0_1,2stage,1,1,1,0,0,8.971,curve=0.6;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0.65_persp-0_1,2stage,1,1,1,0,0,4.070,curve=0.65;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0.7_persp-0_1,2stage,1,1,1,0,0,3.686,curve=0.7;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0.75_persp-0_1,2stage,1,1,1,0,0,3.895,curve=0.75;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0.8_persp-0_1,2stage,1,1,1,0,0,8.055,curve=0.8;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0.85_persp-0_1,2stage,1,1,1,0,0,3.079,curve=0.85;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0.9_persp-0_1,2stage,1,1,1,0,0,3.895,curve=0.9;persp=0;sym-ITF;modpx-8.00;img-ok
sw_curve-0_persp-0.05_1,2stage,1,1,1,0,0,2.970,curve=0;persp=0.05;sym-ITF;modpx-7.69;img-ok
sw_curve-0.05_persp-0.05_1,2stage,1,1,1,0,0,3.735,curve=0.05;persp=0.05;sym-ITF;modpx-7.69;img-ok
sw_curve-0.1_persp-0.05_1,2stage,1,1,1,0,0,3.267,curve=0.1;persp=0.05;sym-ITF;modpx-7.69;img-ok
sw_curve-0.15_persp-0.05_1,2stage,1,1,1,0,0,3.524,curve=0.15;persp=0.05;sym-ITF;modpx-7.69;img-ok
sw_curve-0.2_persp-0.05_1,2stage,1,1,1,0,0,3.538,curve=0.2;persp=0.05;sym-ITF;modpx-7.69;img-ok
sw_curve-0.25_persp-0.05_1,2stage,1,1,1,0,0,7.476,curve=0.25;persp=0.05;sym-ITF;modpx-7.69;img-ok
sw_curve-0.3_persp-0.05_1,2stage,1,1,1,0,0,3.620,curve=0.3;persp=0.05;sym-ITF;modpx-7.69;img-ok
sw_curve-0.35_persp-0.05_1,2stage,1,1,1,0,0,10.444,curve=0.35;persp=0.05;sym-ITF;modpx-7.69;img-ok
sw_curve-0.4_persp-0.05_1,2stage,1,1,1,0,0,4.307,curve=0.4;persp=0.05;sym-ITF;modpx-7.69;img-ok
sw_curve-0.45_persp-0.05_1,2stage,1,1,1,0,0,3.533,curve=0.45;persp=0.05;sym-ITF;modpx-7.69;img-ok
sw_curve-0.5_persp-0.05_1,2stage,1,1,1,0,0,4.084,curve=0.5;persp=0.05;sym-ITF;modpx-7.69;img-ok
sw_curve-0.55_persp-0.05_1,2stage,1,1,1,0,0,3.418,curve=0.55;persp=0.05;sym-ITF;modpx-7.69;img-ok
sw_curve-0.6_persp-0.05_1,2stage,1,1,1,0,0,7.688,curve=0.6;persp=0.05;sym-ITF;modpx-7.69;img-ok
sw_curve-0.65_persp-0.05_1,2stage,1,1,1,0,0,7.876,curve=0.65;persp=0.05;sym-ITF;modpx-7.69;img-ok
sw_curve-0.7_persp-0.05_1,2stage,1,1,1,0,0,3.596,curve=0.7;persp=0.05;sym-ITF;modpx-7.69;img-ok
sw_curve-0.75_persp-0.05_1,2stage,1,1,1,0,0,7.744,curve=0.75;persp=0.05;sym-ITF;modpx-7.69;img-ok
sw_curve-0.8_persp-0.05_1,2stage,1,1,1,0,0,3.013,curve=0.8;persp=0.05;sym-ITF;modpx-7.69;img-ok
sw_curve-0.85_persp-0.05_1,2stage,1,1,1,0,0,6.821,curve=0.85;persp=0.05;sym-ITF;modpx-7.69;img-ok
