file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_curve-0_persp-0_1,2stage,1,1,1,0,0,26.481,curve=0;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0.05_persp-0_1,2stage,1,1,1,0,0,58.019,curve=0.05;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0.1_persp-0_1,2stage,1,1,1,0,0,63.654,curve=0.1;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0.15_persp-0_1,2stage,1,1,1,0,0,60.779,curve=0.15;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0.2_persp-0_1,2stage,1,1,1,0,0,32.032,curve=0.2;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0.25_persp-0_1,2stage,1,1,1,0,0,31.682,curve=0.25;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0.3_persp-0_1,2stage,1,0,0,0,0,315.081,curve=0.3;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0.35_persp-0_1,2stage,1,1,1,0,0,22.568,curve=0.35;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0.4_persp-0_1,2stage,1,1,1,0,0,25.803,curve=0.4;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0.45_persp-0_1,2stage,1,1,1,0,0,33.133,curve=0.45;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0.5_persp-0_1,2stage,1,1,1,0,0,25.750,curve=0.5;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0.55_persp-0_1,2stage,1,1,1,0,0,26.804,curve=0.55;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0.6_persp-0_1,2stage,1,1,1,0,0,14.360,curve=0.6;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0.65_persp-0_1,2stage,1,1,1,0,0,12.859,curve=0.65;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0.7_persp-0_1,2stage,1,1,1,0,0,13.179,curve=0.7;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0.75_persp-0_1,2stage,1,1,1,0,0,14.684,curve=0.75;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0.8_persp-0_1,2stage,1,1,1,0,0,29.699,curve=0.8;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0.85_persp-0_1,2stage,1,1,1,0,0,24.628,curve=0.85;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0.9_persp-0_1,2stage,1,1,1,0,0,24.524,curve=0.9;persp=0;sym-PDF417;modpx-8.00;img-ok
sw_curve-0_persp-0.05_1,2stage,1,1,1,0,0,24.504,curve=0;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0.05_persp-0.05_1,2stage,1,1,1,0,0,40.275,curve=0.05;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0.1_persp-0.05_1,2stage,1,1,1,0,0,48.786,curve=0.1;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0.15_persp-0.05_1,2stage,1,1,1,0,0,41.791,curve=0.15;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0.2_persp-0.05_1,2stage,1,1,1,0,0,29.726,curve=0.2;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0.25_persp-0.05_1,2stage,1,1,1,0,0,54.911,curve=0.25;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0.3_persp-0.05_1,2stage,1,1,1,0,0,86.856,curve=0.3;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0.35_persp-0.05_1,2stage,1,1,1,0,0,86.333,curve=0.35;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0.4_persp-0.05_1,2stage,1,1,1,0,0,26.364,curve=0.4;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0.45_persp-0.05_1,2stage,1,1,1,0,0,13.716,curve=0.45;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0.5_persp-0.05_1,2stage,1,1,1,0,0,16.019,curve=0.5;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0.55_persp-0.05_1,2stage,1,1,1,0,0,14.183,curve=0.55;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0.6_persp-0.05_1,2stage,1,1,1,0,0,14.036,curve=0.6;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0.65_persp-0.05_1,2stage,1,1,1,0,0,27.100,curve=0.65;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0.7_persp-0.05_1,2stage,1,1,1,0,0,27.402,curve=0.7;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0.75_persp-0.05_1,2stage,1,1,1,0,0,26.939,curve=0.75;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0.8_persp-0.05_1,2stage,1,1,1,0,0,21.936,curve=0.8;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0.85_persp-0.05_1,2stage,1,1,1,0,0,15.537,curve=0.85;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0.9_persp-0.05_1,2stage,1,1,1,0,0,13.811,curve=0.9;persp=0.05;sym-PDF417;modpx-7.74;img-ok
sw_curve-0_persp-0.1_1,2stage,1,1,1,0,0,20.752,curve=0;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0.05_persp-0.1_1,2stage,1,1,1,0,0,90.419,curve=0.05;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0.1_persp-0.1_1,2stage,1,0,0,0,0,610.006,curve=0.1;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0.15_persp-0.1_1,2stage,1,1,1,0,0,65.975,curve=0.15;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0.2_persp-0.1_1,2stage,1,0,0,0,0,352.860,curve=0.2;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0.25_persp-0.1_1,2stage,1,1,1,0,0,44.831,curve=0.25;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0.3_persp-0.1_1,2stage,1,0,0,0,0,340.046,curve=0.3;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0.35_persp-0.1_1,2stage,1,1,1,0,0,38.425,curve=0.35;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0.4_persp-0.1_1,2stage,1,1,1,0,0,103.410,curve=0.4;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0.45_persp-0.1_1,2stage,1,1,1,0,0,14.943,curve=0.45;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0.5_persp-0.1_1,2stage,1,1,1,0,0,26.028,curve=0.5;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0.55_persp-0.1_1,2stage,1,1,1,0,0,13.478,curve=0.55;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0.6_persp-0.1_1,2stage,1,1,1,0,0,13.438,curve=0.6;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0.65_persp-0.1_1,2stage,1,1,1,0,0,14.023,curve=0.65;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0.7_persp-0.1_1,2stage,1,1,1,0,0,13.469,curve=0.7;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0.75_persp-0.1_1,2stage,1,1,1,0,0,17.434,curve=0.75;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0.8_persp-0.1_1,2stage,1,1,1,0,0,13.674,curve=0.8;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0.85_persp-0.1_1,2stage,1,1,1,0,0,15.749,curve=0.85;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0.9_persp-0.1_1,2stage,1,1,1,0,0,18.149,curve=0.9;persp=0.1;sym-PDF417;modpx-7.04;img-ok
sw_curve-0_persp-0.15_1,2stage,1,1,1,0,0,38.611,curve=0;persp=0.15;sym-PDF417;modpx-6.34;img-ok
sw_curve-0.05_persp-0.15_1,2stage,1,1,1,0,0,56.547,curve=0.05;persp=0.15;sym-PDF417;modpx-6.34;img-ok
sw_curve-0.1_persp-0.15_1,2stage,1,0,0,0,0,465.275,curve=0.1;persp=0.15;sym-PDF417;modpx-6.34;img-ok
sw_curve-0.15_persp-0.15_1,2stage,1,1,1,0,0,31.719,curve=0.15;persp=0.15;sym-PDF417;modpx-6.34;img-ok
sw_curve-0.2_persp-0.15_1,2stage,1,1,1,0,0,28.964,curve=0.2;persp=0.15;sym-PDF417;modpx-6.34;img-ok
sw_curve-0.25_persp-0.15_1,2stage,1,1,1,0,0,61.030,curve=0.25;persp=0.15;sym-PDF417;modpx-6.34;img-ok
sw_curve-0.3_persp-0.15_1,2stage,1,1,1,0,0,27.204,curve=0.3;persp=0.15;sym-PDF417;modpx-6.34;img-ok
sw_curve-0.35_persp-0.15_1,2stage,1,0,0,0,0,505.875,curve=0.35;persp=0.15;sym-PDF417;modpx-6.34;img-ok
sw_curve-0.4_persp-0.15_1,2stage,1,1,1,0,0,24.676,curve=0.4;persp=0.15;sym-PDF417;modpx-6.34;img-ok
sw_curve-0.45_persp-0.15_1,2stage,1,1,1,0,0,23.627,curve=0.45;persp=0.15;sym-PDF417;modpx-6.34;img-ok
sw_curve-0.5_persp-0.15_1,2stage,1,1,1,0,0,21.914,curve=0.5;persp=0.15;sym-PDF417;modpx-6.34;img-ok
