file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_curve-0_persp-0_1,2stage,1,1,1,0,0,10.558,curve=0;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0.05_persp-0_1,2stage,1,1,1,0,0,5.957,curve=0.05;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0.1_persp-0_1,2stage,1,1,1,0,0,6.188,curve=0.1;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0.15_persp-0_1,2stage,1,1,1,0,0,6.100,curve=0.15;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0.2_persp-0_1,2stage,1,1,1,0,0,7.302,curve=0.2;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0.25_persp-0_1,2stage,1,1,1,0,0,6.625,curve=0.25;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0.3_persp-0_1,2stage,1,1,1,0,0,6.510,curve=0.3;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0.35_persp-0_1,2stage,1,1,1,0,0,10.158,curve=0.35;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0.4_persp-0_1,2stage,1,1,1,0,0,9.590,curve=0.4;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0.45_persp-0_1,2stage,1,1,1,0,0,10.088,curve=0.45;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0.5_persp-0_1,2stage,1,1,1,0,0,14.356,curve=0.5;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0.55_persp-0_1,2stage,1,1,1,0,0,9.642,curve=0.55;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0.6_persp-0_1,2stage,1,1,1,0,0,11.105,curve=0.6;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0.65_persp-0_1,2stage,1,1,1,0,0,6.252,curve=0.65;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0.7_persp-0_1,2stage,1,1,1,0,0,6.063,curve=0.7;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0.75_persp-0_1,2stage,1,1,1,0,0,6.281,curve=0.75;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0.8_persp-0_1,2stage,1,1,1,0,0,10.308,curve=0.8;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0.85_persp-0_1,2stage,1,1,1,0,0,6.982,curve=0.85;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0.9_persp-0_1,2stage,1,1,1,0,0,5.471,curve=0.9;persp=0;sym-QR_CODE;modpx-8.00;img-ok
sw_curve-0_persp-0.05_1,2stage,1,1,1,0,0,5.612,curve=0;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0.05_persp-0.05_1,2stage,1,1,1,0,0,6.670,curve=0.05;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0.1_persp-0.05_1,2stage,1,1,1,0,0,6.415,curve=0.1;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0.15_persp-0.05_1,2stage,1,1,1,0,0,6.542,curve=0.15;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0.2_persp-0.05_1,2stage,1,1,1,0,0,9.439,curve=0.2;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0.25_persp-0.05_1,2stage,1,1,1,0,0,7.098,curve=0.25;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0.3_persp-0.05_1,2stage,1,1,1,0,0,12.948,curve=0.3;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0.35_persp-0.05_1,2stage,1,1,1,0,0,10.339,curve=0.35;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0.4_persp-0.05_1,2stage,1,1,1,0,0,10.308,curve=0.4;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0.45_persp-0.05_1,2stage,1,1,1,0,0,7.851,curve=0.45;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0.5_persp-0.05_1,2stage,1,1,1,0,0,12.091,curve=0.5;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0.55_persp-0.05_1,2stage,1,1,1,0,0,6.375,curve=0.55;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0.6_persp-0.05_1,2stage,1,1,1,0,0,5.803,curve=0.6;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0.65_persp-0.05_1,2stage,1,1,1,0,0,7.339,curve=0.65;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0.7_persp-0.05_1,2stage,1,1,1,0,0,9.771,curve=0.7;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0.75_persp-0.05_1,2stage,1,1,1,0,0,12.181,curve=0.75;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0.8_persp-0.05_1,2stage,1,1,1,0,0,10.476,curve=0.8;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0.85_persp-0.05_1,2stage,1,1,1,0,0,10.301,curve=0.85;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0.9_persp-0.05_1,2stage,1,1,1,0,0,6.446,curve=0.9;persp=0.05;sym-QR_CODE;modpx-7.99;img-ok
sw_curve-0_persp-0.1_1,2stage,1,1,1,0,0,6.093,curve=0;persp=0.1;sym-QR_CODE;modpx-7.97;img-ok
sw_curve-0.05_persp-0.1_1,2stage,1,1,1,0,0,5.828,curve=0.05;persp=0.1;sym-QR_CODE;modpx-7.97;img-ok
sw_curve-0.1_persp-0.1_1,2stage,1,1,1,0,0,12.687,curve=0.1;persp=0.1;sym-QR_CODE;modpx-7.97;img-ok
sw_curve-0.15_persp-0.1_1,2stage,1,1,1,0,0,5.731,curve=0.15;persp=0.1;sym-QR_CODE;modpx-7.97;img-ok
sw_curve-0.2_persp-0.1_1,2stage,1,1,1,0,0,6.118,curve=0.2;persp=0.1;sym-QR_CODE;modpx-7.97;img-ok
sw_curve-0.25_persp-0.1_1,2stage,1,1,1,0,0,9.979,curve=0.25;persp=0.1;sym-QR_CODE;modpx-7.97;img-ok
sw_curve-0.3_persp-0.1_1,2stage,1,1,1,0,0,6.115,curve=0.3;persp=0.1;sym-QR_CODE;modpx-7.97;img-ok
sw_curve-0.35_persp-0.1_1,2stage,1,1,1,0,0,6.356,curve=0.35;persp=0.1;sym-QR_CODE;modpx-7.97;img-ok
sw_curve-0.4_persp-0.1_1,2stage,1,1,1,0,0,6.534,curve=0.4;persp=0.1;sym-QR_CODE;modpx-7.97;img-ok
sw_curve-0.45_persp-0.1_1,2stage,1,1,1,0,0,6.329,curve=0.45;persp=0.1;sym-QR_CODE;modpx-7.97;img-ok
sw_curve-0.5_persp-0.1_1,2stage,1,1,1,0,0,6.427,curve=0.5;persp=0.1;sym-QR_CODE;modpx-7.97;img-ok
sw_curve-0.55_persp-0.1_1,2stage,1,1,1,0,0,13.310,curve=0.55;persp=0.1;sym-QR_CODE;modpx-7.97;img-ok
sw_curve-0.6_persp-0.1_1,2stage,1,1,1,0,0,9.136,curve=0.6;persp=0.1;sym-QR_CODE;modpx-7.97;img-ok
sw_curve-0.65_persp-0.1_1,2stage,1,1,1,0,0,10.577,curve=0.65;persp=0.1;sym-QR_CODE;modpx-7.97;img-ok
sw_curve-0.7_persp-0.1_1,2stage,1,1,1,0,0,6.413,curve=0.7;persp=0.1;sym-QR_CODE;modpx-7.97;img-ok
