file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_curve-0_persp-0_1,2stage,1,1,1,0,0,2.098,curve=0;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0.05_persp-0_1,2stage,1,1,1,0,0,6.635,curve=0.05;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0.1_persp-0_1,2stage,1,1,1,0,0,1.561,curve=0.1;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0.15_persp-0_1,2stage,1,1,1,0,0,1.558,curve=0.15;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0.2_persp-0_1,2stage,1,1,1,0,0,1.714,curve=0.2;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0.25_persp-0_1,2stage,1,1,1,0,0,2.283,curve=0.25;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0.3_persp-0_1,2stage,1,1,1,0,0,1.653,curve=0.3;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0.35_persp-0_1,2stage,1,1,1,0,0,1.499,curve=0.35;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0.4_persp-0_1,2stage,1,1,1,0,0,1.710,curve=0.4;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0.45_persp-0_1,2stage,1,1,1,0,0,1.503,curve=0.45;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0.5_persp-0_1,2stage,1,1,1,0,0,1.415,curve=0.5;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0.55_persp-0_1,2stage,1,1,1,0,0,1.283,curve=0.55;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0.6_persp-0_1,2stage,1,1,1,0,0,1.986,curve=0.6;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0.65_persp-0_1,2stage,1,1,1,0,0,1.895,curve=0.65;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0.7_persp-0_1,2stage,1,1,1,0,0,2.107,curve=0.7;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0.75_persp-0_1,2stage,1,1,1,0,0,4.585,curve=0.75;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0.8_persp-0_1,2stage,1,1,1,0,0,2.189,curve=0.8;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0.85_persp-0_1,2stage,1,1,1,0,0,1.738,curve=0.85;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0.9_persp-0_1,2stage,1,1,1,0,0,1.481,curve=0.9;persp=0;sym-UPC_A;modpx-8.00;img-ok
sw_curve-0_persp-0.05_1,2stage,1,1,1,0,0,1.697,curve=0;persp=0.05;sym-UPC_A;modpx-7.99;img-ok
sw_curve-0.05_persp-0.05_1,2stage,1,1,1,0,0,2.042,curve=0.05;persp=0.05;sym-UPC_A;modpx-7.99;img-ok
sw_curve-0.1_persp-0.05_1,2stage,1,1,1,0,0,1.857,curve=0.1;persp=0.05;sym-UPC_A;modpx-7.99;img-ok
sw_curve-0.15_persp-0.05_1,2stage,1,1,1,0,0,1.521,curve=0.15;persp=0.05;sym-UPC_A;modpx-7.99;img-ok
sw_curve-0.2_persp-0.05_1,2stage,1,1,1,0,0,1.431,curve=0.2;persp=0.05;sym-UPC_A;modpx-7.99;img-ok
sw_curve-0.25_persp-0.05_1,2stage,1,1,1,0,0,6.472,curve=0.25;persp=0.05;sym-UPC_A;modpx-7.99;img-ok
sw_curve-0.3_persp-0.05_1,2stage,1,1,1,0,0,1.917,curve=0.3;persp=0.05;sym-UPC_A;modpx-7.99;img-ok
sw_curve-0.35_persp-0.05_1,2stage,1,1,1,0,0,1.562,curve=0.35;persp=0.05;sym-UPC_A;modpx-7.99;img-ok
sw_curve-0.4_persp-0.05_1,2stage,1,1,1,0,0,1.449,curve=0.4;persp=0.05;sym-UPC_A;modpx-7.99;img-ok
sw_curve-0.45_persp-0.05_1,2stage,1,1,1,0,0,3.436,curve=0.45;persp=0.05;sym-UPC_A;modpx-7.99;img-ok
sw_curve-0.5_persp-0.05_1,2stage,1,1,1,0,0,3.141,curve=0.5;persp=0.05;sym-UPC_A;modpx-7.99;img-ok
sw_curve-0.55_persp-0.05_1,2stage,1,1,1,0,0,1.760,curve=0.55;persp=0.05;sym-UPC_A;modpx-7.99;img-ok
sw_curve-0.6_persp-0.05_1,2stage,1,1,1,0,0,2.012,curve=0.6;persp=0.05;sym-UPC_A;modpx-7.99;img-ok
sw_curve-0.65_persp-0.05_1,2stage,1,1,1,0,0,2.298,curve=0.65;persp=0.05;sym-UPC_A;modpx-7.99;img-ok
sw_curve-0.7_persp-0.05_1,2stage,1,1,1,0,0,1.851,curve=0.7;persp=0.05;sym-UPC_A;modpx-7.99;img-ok
