file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_curve-0_persp-0_1,2stage,1,1,1,0,0,2.167,curve=0;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0.05_persp-0_1,2stage,1,1,1,0,0,36.288,curve=0.05;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0.1_persp-0_1,2stage,1,1,1,0,0,36.086,curve=0.1;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0.15_persp-0_1,2stage,1,1,1,0,0,44.956,curve=0.15;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0.2_persp-0_1,2stage,1,1,1,0,0,25.386,curve=0.2;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0.25_persp-0_1,2stage,1,1,1,0,0,25.880,curve=0.25;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0.3_persp-0_1,2stage,1,1,1,0,0,24.826,curve=0.3;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0.35_persp-0_1,2stage,1,1,1,0,0,24.906,curve=0.35;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0.4_persp-0_1,2stage,1,1,1,0,0,27.931,curve=0.4;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0.45_persp-0_1,2stage,1,1,1,0,0,42.389,curve=0.45;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0.5_persp-0_1,2stage,1,1,1,0,0,3.993,curve=0.5;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0.55_persp-0_1,2stage,1,1,1,0,0,3.230,curve=0.55;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0.6_persp-0_1,2stage,1,1,1,0,0,2.054,curve=0.6;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0.65_persp-0_1,2stage,1,1,1,0,0,1.841,curve=0.65;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0.7_persp-0_1,2stage,1,1,1,0,0,1.531,curve=0.7;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0.75_persp-0_1,2stage,1,1,1,0,0,1.415,curve=0.75;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0.8_persp-0_1,2stage,1,1,1,0,0,2.260,curve=0.8;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0.85_persp-0_1,2stage,1,1,1,0,0,1.532,curve=0.85;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0.9_persp-0_1,2stage,1,1,1,0,0,1.448,curve=0.9;persp=0;sym-UPC_E;modpx-8.00;img-ok
sw_curve-0_persp-0.05_1,2stage,1,1,1,0,0,1.336,curve=0;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0.05_persp-0.05_1,2stage,1,1,1,0,0,43.250,curve=0.05;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0.1_persp-0.05_1,2stage,1,1,1,0,0,34.080,curve=0.1;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0.15_persp-0.05_1,2stage,1,1,1,0,0,37.115,curve=0.15;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0.2_persp-0.05_1,2stage,1,1,1,0,0,22.363,curve=0.2;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0.25_persp-0.05_1,2stage,1,1,1,0,0,58.196,curve=0.25;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0.3_persp-0.05_1,2stage,1,1,1,0,0,74.837,curve=0.3;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0.35_persp-0.05_1,2stage,1,1,1,0,0,37.738,curve=0.35;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0.4_persp-0.05_1,2stage,1,1,1,0,0,1.497,curve=0.4;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0.45_persp-0.05_1,2stage,1,1,1,0,0,2.920,curve=0.45;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0.5_persp-0.05_1,2stage,1,1,1,0,0,1.739,curve=0.5;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0.55_persp-0.05_1,2stage,1,1,1,0,0,1.885,curve=0.55;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0.6_persp-0.05_1,2stage,1,1,1,0,0,2.279,curve=0.6;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0.65_persp-0.05_1,2stage,1,1,1,0,0,2.996,curve=0.65;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0.7_persp-0.05_1,2stage,1,1,1,0,0,1.808,curve=0.7;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0.75_persp-0.05_1,2stage,1,1,1,0,0,1.547,curve=0.75;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0.8_persp-0.05_1,2stage,1,1,1,0,0,1.680,curve=0.8;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0.85_persp-0.05_1,2stage,1,1,1,0,0,2.060,curve=0.85;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0.9_persp-0.05_1,2stage,1,1,1,0,0,1.887,curve=0.9;persp=0.05;sym-UPC_E;modpx-7.84;img-ok
sw_curve-0_persp-0.1_1,2stage,1,1,1,0,0,1.664,curve=0;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0.05_persp-0.1_1,2stage,1,1,1,0,0,15.440,curve=0.05;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0.1_persp-0.1_1,2stage,1,1,1,0,0,34.007,curve=0.1;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0.15_persp-0.1_1,2stage,1,1,1,0,0,1.858,curve=0.15;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0.2_persp-0.1_1,2stage,1,1,1,0,0,34.538,curve=0.2;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0.25_persp-0.1_1,2stage,1,1,1,0,0,1.328,curve=0.25;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0.3_persp-0.1_1,2stage,1,1,1,0,0,1.755,curve=0.3;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0.35_persp-0.1_1,2stage,1,1,1,0,0,2.206,curve=0.35;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0.4_persp-0.1_1,2stage,1,1,1,0,0,1.597,curve=0.4;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0.45_persp-0.1_1,2stage,1,1,1,0,0,1.381,curve=0.45;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0.5_persp-0.1_1,2stage,1,1,1,0,0,1.926,curve=0.5;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0.55_persp-0.1_1,2stage,1,1,1,0,0,1.829,curve=0.55;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0.6_persp-0.1_1,2stage,1,1,1,0,0,5.436,curve=0.6;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0.65_persp-0.1_1,2stage,1,1,1,0,0,1.359,curve=0.65;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0.7_persp-0.1_1,2stage,1,1,1,0,0,2.069,curve=0.7;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0.75_persp-0.1_1,2stage,1,1,1,0,0,1.632,curve=0.75;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0.8_persp-0.1_1,2stage,1,1,1,0,0,1.551,curve=0.8;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0.85_persp-0.1_1,2stage,1,1,1,0,0,1.738,curve=0.85;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0.9_persp-0.1_1,2stage,1,1,1,0,0,1.789,curve=0.9;persp=0.1;sym-UPC_E;modpx-7.27;img-ok
sw_curve-0_persp-0.15_1,2stage,1,1,1,0,0,1.531,curve=0;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0.05_persp-0.15_1,2stage,1,1,1,0,0,1.619,curve=0.05;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0.1_persp-0.15_1,2stage,1,1,1,0,0,1.474,curve=0.1;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0.15_persp-0.15_1,2stage,1,1,1,0,0,2.465,curve=0.15;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0.2_persp-0.15_1,2stage,1,1,1,0,0,2.141,curve=0.2;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0.25_persp-0.15_1,2stage,1,1,1,0,0,1.866,curve=0.25;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0.3_persp-0.15_1,2stage,1,1,1,0,0,1.623,curve=0.3;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0.35_persp-0.15_1,2stage,1,1,1,0,0,1.755,curve=0.35;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0.4_persp-0.15_1,2stage,1,1,1,0,0,1.561,curve=0.4;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0.45_persp-0.15_1,2stage,1,1,1,0,0,1.604,curve=0.45;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0.5_persp-0.15_1,2stage,1,1,1,0,0,1.326,curve=0.5;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0.55_persp-0.15_1,2stage,1,1,1,0,0,1.982,curve=0.55;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0.6_persp-0.15_1,2stage,1,1,1,0,0,1.865,curve=0.6;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0.65_persp-0.15_1,2stage,1,1,1,0,0,1.650,curve=0.65;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0.7_persp-0.15_1,2stage,1,1,1,0,0,1.537,curve=0.7;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0.75_persp-0.15_1,2stage,1,1,1,0,0,2.001,curve=0.75;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0.8_persp-0.15_1,2stage,1,1,1,0,0,1.724,curve=0.8;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0.85_persp-0.15_1,2stage,1,1,1,0,0,1.568,curve=0.85;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0.9_persp-0.15_1,2stage,1,1,1,0,0,1.332,curve=0.9;persp=0.15;sym-UPC_E;modpx-6.70;img-ok
sw_curve-0_persp-0.2_1,2stage,1,1,1,0,0,2.129,curve=0;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0.05_persp-0.2_1,2stage,1,1,1,0,0,2.137,curve=0.05;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0.1_persp-0.2_1,2stage,1,1,1,0,0,1.848,curve=0.1;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0.15_persp-0.2_1,2stage,1,1,1,0,0,1.460,curve=0.15;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0.2_persp-0.2_1,2stage,1,1,1,0,0,1.530,curve=0.2;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0.25_persp-0.2_1,2stage,1,1,1,0,0,1.308,curve=0.25;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0.3_persp-0.2_1,2stage,1,1,1,0,0,1.330,curve=0.3;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0.35_persp-0.2_1,2stage,1,1,1,0,0,1.279,curve=0.35;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0.4_persp-0.2_1,2stage,1,1,1,0,0,1.904,curve=0.4;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0.45_persp-0.2_1,2stage,1,1,1,0,0,1.616,curve=0.45;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0.5_persp-0.2_1,2stage,1,1,1,0,0,1.540,curve=0.5;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0.55_persp-0.2_1,2stage,1,1,1,0,0,1.397,curve=0.55;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0.6_persp-0.2_1,2stage,1,1,1,0,0,2.086,curve=0.6;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0.65_persp-0.2_1,2stage,1,1,1,0,0,1.851,curve=0.65;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0.7_persp-0.2_1,2stage,1,1,1,0,0,1.375,curve=0.7;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0.75_persp-0.2_1,2stage,1,1,1,0,0,1.305,curve=0.75;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0.8_persp-0.2_1,2stage,1,1,1,0,0,1.789,curve=0.8;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0.85_persp-0.2_1,2stage,1,1,1,0,0,1.678,curve=0.85;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0.9_persp-0.2_1,2stage,1,1,1,0,0,1.482,curve=0.9;persp=0.2;sym-UPC_E;modpx-6.14;img-ok
sw_curve-0_persp-0.25_1,2stage,1,1,1,0,0,27.728,curve=0;persp=0.25;sym-UPC_E;modpx-5.58;img-ok
sw_curve-0.05_persp-0.25_1,2stage,1,1,1,0,0,1.589,curve=0.05;persp=0.25;sym-UPC_E;modpx-5.58;img-ok
sw_curve-0.1_persp-0.25_1,2stage,1,1,1,0,0,1.383,curve=0.1;persp=0.25;sym-UPC_E;modpx-5.58;img-ok
sw_curve-0.15_persp-0.25_1,2stage,1,1,1,0,0,1.260,curve=0.15;persp=0.25;sym-UPC_E;modpx-5.58;img-ok
sw_curve-0.2_persp-0.25_1,2stage,1,1,1,0,0,1.222,curve=0.2;persp=0.25;sym-UPC_E;modpx-5.58;img-ok
sw_curve-0.25_persp-0.25_1,2stage,1,1,1,0,0,2.080,curve=0.25;persp=0.25;sym-UPC_E;modpx-5.58;img-ok
