file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_glare-0_shadow-0.2_1,2stage,1,1,1,0,0,343.969,glare=0;shadow=0.2;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.25_1,2stage,1,1,1,0,0,246.285,glare=0;shadow=0.25;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.3_1,2stage,1,1,1,0,0,203.927,glare=0;shadow=0.3;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.35_1,2stage,1,1,1,0,0,227.164,glare=0;shadow=0.35;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.4_1,2stage,1,1,1,0,0,244.816,glare=0;shadow=0.4;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.45_1,2stage,1,1,1,0,0,264.402,glare=0;shadow=0.45;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.5_1,2stage,1,1,1,0,0,331.172,glare=0;shadow=0.5;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.55_1,2stage,1,1,1,0,0,1.206,glare=0;shadow=0.55;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.6_1,2stage,1,1,1,0,0,1.856,glare=0;shadow=0.6;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.65_1,2stage,1,1,1,0,0,1.736,glare=0;shadow=0.65;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.7_1,2stage,1,1,1,0,0,1.487,glare=0;shadow=0.7;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.75_1,2stage,1,1,1,0,0,1.356,glare=0;shadow=0.75;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.8_1,2stage,1,1,1,0,0,1.859,glare=0;shadow=0.8;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.85_1,2stage,1,1,1,0,0,1.813,glare=0;shadow=0.85;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.9_1,2stage,1,1,1,0,0,1.626,glare=0;shadow=0.9;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.95_1,2stage,1,1,1,0,0,1.555,glare=0;shadow=0.95;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0_shadow-1_1,2stage,1,1,1,0,0,1.909,glare=0;shadow=1;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.2_1,2stage,1,1,1,0,0,220.447,glare=0.05;shadow=0.2;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.25_1,2stage,1,1,1,0,0,207.376,glare=0.05;shadow=0.25;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.3_1,2stage,1,1,1,0,0,175.608,glare=0.05;shadow=0.3;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.35_1,2stage,1,1,1,0,0,211.133,glare=0.05;shadow=0.35;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.4_1,2stage,1,1,1,0,0,240.348,glare=0.05;shadow=0.4;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.45_1,2stage,1,1,1,0,0,253.504,glare=0.05;shadow=0.45;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.5_1,2stage,1,1,1,0,0,374.157,glare=0.05;shadow=0.5;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.55_1,2stage,1,1,1,0,0,1.450,glare=0.05;shadow=0.55;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.6_1,2stage,1,1,1,0,0,1.529,glare=0.05;shadow=0.6;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.65_1,2stage,1,1,1,0,0,1.456,glare=0.05;shadow=0.65;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.7_1,2stage,1,1,1,0,0,1.300,glare=0.05;shadow=0.7;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.75_1,2stage,1,1,1,0,0,1.831,glare=0.05;shadow=0.75;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.8_1,2stage,1,1,1,0,0,1.944,glare=0.05;shadow=0.8;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.85_1,2stage,1,1,1,0,0,1.982,glare=0.05;shadow=0.85;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.9_1,2stage,1,1,1,0,0,1.614,glare=0.05;shadow=0.9;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.95_1,2stage,1,1,1,0,0,1.792,glare=0.05;shadow=0.95;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-1_1,2stage,1,1,1,0,0,1.478,glare=0.05;shadow=1;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.1_shadow-0.2_1,2stage,1,1,1,0,0,277.997,glare=0.1;shadow=0.2;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.1_shadow-0.25_1,2stage,1,1,1,0,0,184.511,glare=0.1;shadow=0.25;sym-CODABAR;modpx-4.00;img-ok
sw_glare-0.1_shadow-0.3_1,2stage,1,1,1,0,0,170.306,glare=0.1;shadow=0.3;sym-CODABAR;modpx-4.00;img-ok
