file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_glare-0_shadow-0.2_1,2stage,1,1,1,0,0,1103.468,glare=0;shadow=0.2;sym-CODE_93;modpx-6.27;img-ok
sw_glare-0_shadow-0.25_1,2stage,1,1,1,0,0,959.569,glare=0;shadow=0.25;sym-CODE_93;modpx-6.27;img-ok
sw_glare-0_shadow-0.3_1,2stage,1,1,1,0,0,862.504,glare=0;shadow=0.3;sym-CODE_93;modpx-6.27;img-ok
sw_glare-0_shadow-0.35_1,2stage,1,1,1,0,0,865.954,glare=0;shadow=0.35;sym-CODE_93;modpx-6.27;img-ok
sw_glare-0_shadow-0.4_1,2stage,1,1,1,0,0,1066.788,glare=0;shadow=0.4;sym-CODE_93;modpx-6.27;img-ok
sw_glare-0_shadow-0.45_1,2stage,1,1,1,0,0,846.114,glare=0;shadow=0.45;sym-CODE_93;modpx-6.27;img-ok
sw_glare-0_shadow-0.5_1,2stage,1,1,1,0,0,910.840,glare=0;shadow=0.5;sym-CODE_93;modpx-6.27;img-ok
sw_glare-0_shadow-0.55_1,2stage,1,1,1,0,0,5.770,glare=0;shadow=0.55;sym-CODE_93;modpx-6.27;img-ok
sw_glare-0_shadow-0.6_1,2stage,1,1,1,0,0,9.564,glare=0;shadow=0.6;sym-CODE_93;modpx-6.27;img-ok
sw_glare-0_shadow-0.65_1,2stage,1,1,1,0,0,5.187,glare=0;shadow=0.65;sym-CODE_93;modpx-6.27;img-ok
sw_glare-0_shadow-0.7_1,2stage,1,1,1,0,0,13.798,glare=0;shadow=0.7;sym-CODE_93;modpx-6.27;img-ok
sw_glare-0_shadow-0.75_1,2stage,1,1,1,0,0,9.338,glare=0;shadow=0.75;sym-CODE_93;modpx-6.27;img-ok
sw_glare-0_shadow-0.8_1,2stage,1,1,1,0,0,5.190,glare=0;shadow=0.8;sym-CODE_93;modpx-6.27;img-ok
sw_glare-0_shadow-0.85_1,2stage,1,1,1,0,0,5.417,glare=0;shadow=0.85;sym-CODE_93;modpx-6.27;img-ok
sw_glare-0_shadow-0.9_1,2stage,1,1,1,0,0,5.013,glare=0;shadow=0.9;sym-CODE_93;modpx-6.27;img-ok
sw_glare-0_shadow-0.95_1,2stage,1,1,1,0,0,10.430,glare=0;shadow=0.95;sym-CODE_93;modpx-6.27;img-ok
sw_glare-0_shadow-1_1,2stage,1,1,1,0,0,15.130,glare=0;shadow=1;sym-CODE_93;modpx-6.27;img-ok
