file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_glare-0_shadow-0.2_1,2stage,1,1,1,0,0,1248.884,glare=0;shadow=0.2;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0_shadow-0.25_1,2stage,1,1,1,0,0,1155.584,glare=0;shadow=0.25;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0_shadow-0.3_1,2stage,1,1,1,0,0,1036.650,glare=0;shadow=0.3;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0_shadow-0.35_1,2stage,1,1,1,0,0,1011.434,glare=0;shadow=0.35;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0_shadow-0.4_1,2stage,1,1,1,0,0,1058.200,glare=0;shadow=0.4;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0_shadow-0.45_1,2stage,1,1,1,0,0,1092.589,glare=0;shadow=0.45;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0_shadow-0.5_1,2stage,1,1,1,0,0,1166.709,glare=0;shadow=0.5;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0_shadow-0.55_1,2stage,1,1,1,0,0,5.435,glare=0;shadow=0.55;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0_shadow-0.6_1,2stage,1,1,1,0,0,5.439,glare=0;shadow=0.6;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0_shadow-0.65_1,2stage,1,1,1,0,0,5.199,glare=0;shadow=0.65;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0_shadow-0.7_1,2stage,1,1,1,0,0,14.246,glare=0;shadow=0.7;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0_shadow-0.75_1,2stage,1,1,1,0,0,13.338,glare=0;shadow=0.75;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0_shadow-0.8_1,2stage,1,1,1,0,0,5.351,glare=0;shadow=0.8;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0_shadow-0.85_1,2stage,1,1,1,0,0,5.289,glare=0;shadow=0.85;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0_shadow-0.9_1,2stage,1,1,1,0,0,5.236,glare=0;shadow=0.9;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0_shadow-0.95_1,2stage,1,1,1,0,0,5.418,glare=0;shadow=0.95;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0_shadow-1_1,2stage,1,1,1,0,0,12.027,glare=0;shadow=1;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0.05_shadow-0.2_1,2stage,1,1,1,0,0,1257.811,glare=0.05;shadow=0.2;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0.05_shadow-0.25_1,2stage,1,1,1,0,0,1028.942,glare=0.05;shadow=0.25;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0.05_shadow-0.3_1,2stage,1,1,1,0,0,1336.799,glare=0.05;shadow=0.3;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0.05_shadow-0.35_1,2stage,1,1,1,0,0,1019.878,glare=0.05;shadow=0.35;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0.05_shadow-0.4_1,2stage,1,1,1,0,0,1203.838,glare=0.05;shadow=0.4;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
sw_glare-0.05_shadow-0.45_1,2stage,1,1,1,0,0,1084.839,glare=0.05;shadow=0.45;sym-DATA_BAR_EXPANDED;modpx-6.85;img-ok
