file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_glare-0_shadow-0.2_1,2stage,1,1,1,0,0,419.877,glare=0;shadow=0.2;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.25_1,2stage,1,1,1,0,0,235.995,glare=0;shadow=0.25;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.3_1,2stage,1,1,1,0,0,426.841,glare=0;shadow=0.3;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.35_1,2stage,1,1,1,0,0,286.044,glare=0;shadow=0.35;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.4_1,2stage,1,1,1,0,0,242.897,glare=0;shadow=0.4;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.45_1,2stage,1,1,1,0,0,268.269,glare=0;shadow=0.45;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.5_1,2stage,1,1,1,0,0,276.389,glare=0;shadow=0.5;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.55_1,2stage,1,1,1,0,0,1.259,glare=0;shadow=0.55;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.6_1,2stage,1,1,1,0,0,1.677,glare=0;shadow=0.6;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.65_1,2stage,1,1,1,0,0,1.647,glare=0;shadow=0.65;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.7_1,2stage,1,1,1,0,0,1.337,glare=0;shadow=0.7;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.75_1,2stage,1,1,1,0,0,1.284,glare=0;shadow=0.75;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.8_1,2stage,1,1,1,0,0,1.326,glare=0;shadow=0.8;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.85_1,2stage,1,1,1,0,0,1.663,glare=0;shadow=0.85;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.9_1,2stage,1,1,1,0,0,1.723,glare=0;shadow=0.9;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0_shadow-0.95_1,2stage,1,1,1,0,0,1.174,glare=0;shadow=0.95;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0_shadow-1_1,2stage,1,1,1,0,0,1.304,glare=0;shadow=1;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.2_1,2stage,1,1,1,0,0,480.901,glare=0.05;shadow=0.2;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.25_1,2stage,1,1,1,0,0,337.583,glare=0.05;shadow=0.25;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.3_1,2stage,1,1,1,0,0,468.531,glare=0.05;shadow=0.3;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.35_1,2stage,1,1,1,0,0,244.691,glare=0.05;shadow=0.35;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.4_1,2stage,1,1,1,0,0,255.993,glare=0.05;shadow=0.4;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.45_1,2stage,1,1,1,0,0,286.411,glare=0.05;shadow=0.45;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.5_1,2stage,1,1,1,0,0,299.063,glare=0.05;shadow=0.5;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.55_1,2stage,1,1,1,0,0,1.509,glare=0.05;shadow=0.55;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.6_1,2stage,1,1,1,0,0,1.287,glare=0.05;shadow=0.6;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.65_1,2stage,1,1,1,0,0,1.988,glare=0.05;shadow=0.65;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.7_1,2stage,1,1,1,0,0,1.350,glare=0.05;shadow=0.7;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.75_1,2stage,1,1,1,0,0,1.480,glare=0.05;shadow=0.75;sym-DATA_BAR;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.8_1,2stage,1,1,1,0,0,1.724,glare=0.05;shadow=0.8;sym-DATA_BAR;modpx-4.00;img-ok
