file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_glare-0_shadow-0.2_1,2stage,1,1,1,0,0,315.492,glare=0;shadow=0.2;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0_shadow-0.25_1,2stage,1,1,1,0,0,160.094,glare=0;shadow=0.25;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0_shadow-0.3_1,2stage,1,1,1,0,0,145.944,glare=0;shadow=0.3;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0_shadow-0.35_1,2stage,1,1,1,0,0,6.153,glare=0;shadow=0.35;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0_shadow-0.4_1,2stage,1,1,1,0,0,6.395,glare=0;shadow=0.4;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0_shadow-0.45_1,2stage,1,1,1,0,0,6.300,glare=0;shadow=0.45;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0_shadow-0.5_1,2stage,1,1,1,0,0,6.281,glare=0;shadow=0.5;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0_shadow-0.55_1,2stage,1,1,1,0,0,10.473,glare=0;shadow=0.55;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0_shadow-0.6_1,2stage,1,1,1,0,0,13.809,glare=0;shadow=0.6;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0_shadow-0.65_1,2stage,1,1,1,0,0,10.714,glare=0;shadow=0.65;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0_shadow-0.7_1,2stage,1,1,1,0,0,10.244,glare=0;shadow=0.7;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0_shadow-0.75_1,2stage,1,1,1,0,0,15.401,glare=0;shadow=0.75;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0_shadow-0.8_1,2stage,1,1,1,0,0,8.180,glare=0;shadow=0.8;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0_shadow-0.85_1,2stage,1,1,1,0,0,7.624,glare=0;shadow=0.85;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0_shadow-0.9_1,2stage,1,1,1,0,0,8.000,glare=0;shadow=0.9;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0_shadow-0.95_1,2stage,1,1,1,0,0,5.843,glare=0;shadow=0.95;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0_shadow-1_1,2stage,1,1,1,0,0,10.468,glare=0;shadow=1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.2_1,2stage,1,1,1,0,0,303.042,glare=0.05;shadow=0.2;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.25_1,2stage,1,1,1,0,0,163.452,glare=0.05;shadow=0.25;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.3_1,2stage,1,1,1,0,0,5.767,glare=0.05;shadow=0.3;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.35_1,2stage,1,1,1,0,0,6.145,glare=0.05;shadow=0.35;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.4_1,2stage,1,1,1,0,0,5.961,glare=0.05;shadow=0.4;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.45_1,2stage,1,1,1,0,0,6.351,glare=0.05;shadow=0.45;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.5_1,2stage,1,1,1,0,0,6.291,glare=0.05;shadow=0.5;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.55_1,2stage,1,1,1,0,0,15.052,glare=0.05;shadow=0.55;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.6_1,2stage,1,1,1,0,0,14.563,glare=0.05;shadow=0.6;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.65_1,2stage,1,1,1,0,0,14.593,glare=0.05;shadow=0.65;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.7_1,2stage,1,1,1,0,0,14.804,glare=0.05;shadow=0.7;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.75_1,2stage,1,1,1,0,0,6.822,glare=0.05;shadow=0.75;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.8_1,2stage,1,1,1,0,0,7.338,glare=0.05;shadow=0.8;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.85_1,2stage,1,1,1,0,0,7.499,glare=0.05;shadow=0.85;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.9_1,2stage,1,1,1,0,0,7.611,glare=0.05;shadow=0.9;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.95_1,2stage,1,1,1,0,0,8.507,glare=0.05;shadow=0.95;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.05_shadow-1_1,2stage,1,1,1,0,0,6.251,glare=0.05;shadow=1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.2_1,2stage,1,0,0,0,0,256.309,glare=0.1;shadow=0.2;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.25_1,2stage,1,1,1,0,0,179.368,glare=0.1;shadow=0.25;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.3_1,2stage,1,1,1,0,0,147.789,glare=0.1;shadow=0.3;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.35_1,2stage,1,1,1,0,0,5.901,glare=0.1;shadow=0.35;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.4_1,2stage,1,1,1,0,0,5.985,glare=0.1;shadow=0.4;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.45_1,2stage,1,1,1,0,0,14.299,glare=0.1;shadow=0.45;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.5_1,2stage,1,1,1,0,0,15.009,glare=0.1;shadow=0.5;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.55_1,2stage,1,1,1,0,0,12.333,glare=0.1;shadow=0.55;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.6_1,2stage,1,1,1,0,0,10.941,glare=0.1;shadow=0.6;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.65_1,2stage,1,1,1,0,0,10.597,glare=0.1;shadow=0.65;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.7_1,2stage,1,1,1,0,0,6.312,glare=0.1;shadow=0.7;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.75_1,2stage,1,1,1,0,0,6.182,glare=0.1;shadow=0.75;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.8_1,2stage,1,1,1,0,0,5.974,glare=0.1;shadow=0.8;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.85_1,2stage,1,1,1,0,0,6.539,glare=0.1;shadow=0.85;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.9_1,2stage,1,1,1,0,0,12.505,glare=0.1;shadow=0.9;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.95_1,2stage,1,1,1,0,0,10.316,glare=0.1;shadow=0.95;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.1_shadow-1_1,2stage,1,1,1,0,0,6.013,glare=0.1;shadow=1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.2_1,2stage,1,1,1,0,0,213.663,glare=0.15;shadow=0.2;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.25_1,2stage,1,1,1,0,0,165.327,glare=0.15;shadow=0.25;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.3_1,2stage,1,1,1,0,0,5.905,glare=0.15;shadow=0.3;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.35_1,2stage,1,1,1,0,0,6.041,glare=0.15;shadow=0.35;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.4_1,2stage,1,1,1,0,0,5.843,glare=0.15;shadow=0.4;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.45_1,2stage,1,1,1,0,0,6.558,glare=0.15;shadow=0.45;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.5_1,2stage,1,1,1,0,0,6.608,glare=0.15;shadow=0.5;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.55_1,2stage,1,1,1,0,0,10.577,glare=0.15;shadow=0.55;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.6_1,2stage,1,1,1,0,0,15.049,glare=0.15;shadow=0.6;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.65_1,2stage,1,1,1,0,0,7.047,glare=0.15;shadow=0.65;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.7_1,2stage,1,1,1,0,0,7.023,glare=0.15;shadow=0.7;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.75_1,2stage,1,1,1,0,0,6.722,glare=0.15;shadow=0.75;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.8_1,2stage,1,1,1,0,0,6.648,glare=0.15;shadow=0.8;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.85_1,2stage,1,1,1,0,0,10.275,glare=0.15;shadow=0.85;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.9_1,2stage,1,1,1,0,0,8.612,glare=0.15;shadow=0.9;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.95_1,2stage,1,1,1,0,0,5.413,glare=0.15;shadow=0.95;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.15_shadow-1_1,2stage,1,1,1,0,0,5.390,glare=0.15;shadow=1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.2_1,2stage,1,1,1,0,0,185.358,glare=0.2;shadow=0.2;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.25_1,2stage,1,1,1,0,0,195.386,glare=0.2;shadow=0.25;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.3_1,2stage,1,1,1,0,0,7.748,glare=0.2;shadow=0.3;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.35_1,2stage,1,1,1,0,0,6.633,glare=0.2;shadow=0.35;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.4_1,2stage,1,1,1,0,0,10.723,glare=0.2;shadow=0.4;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.45_1,2stage,1,1,1,0,0,10.447,glare=0.2;shadow=0.45;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.5_1,2stage,1,1,1,0,0,10.533,glare=0.2;shadow=0.5;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.55_1,2stage,1,1,1,0,0,15.565,glare=0.2;shadow=0.55;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.6_1,2stage,1,1,1,0,0,7.505,glare=0.2;shadow=0.6;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.65_1,2stage,1,1,1,0,0,6.888,glare=0.2;shadow=0.65;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.7_1,2stage,1,1,1,0,0,6.608,glare=0.2;shadow=0.7;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.75_1,2stage,1,1,1,0,0,6.667,glare=0.2;shadow=0.75;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.8_1,2stage,1,1,1,0,0,11.130,glare=0.2;shadow=0.8;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.85_1,2stage,1,1,1,0,0,15.651,glare=0.2;shadow=0.85;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.9_1,2stage,1,1,1,0,0,15.855,glare=0.2;shadow=0.9;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.95_1,2stage,1,1,1,0,0,9.935,glare=0.2;shadow=0.95;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.2_shadow-1_1,2stage,1,1,1,0,0,6.581,glare=0.2;shadow=1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.2_1,2stage,1,1,1,0,0,171.966,glare=0.25;shadow=0.2;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.25_1,2stage,1,1,1,0,0,169.591,glare=0.25;shadow=0.25;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.3_1,2stage,1,1,1,0,0,305.361,glare=0.25;shadow=0.3;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.35_1,2stage,1,1,1,0,0,14.771,glare=0.25;shadow=0.35;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.4_1,2stage,1,1,1,0,0,11.365,glare=0.25;shadow=0.4;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.45_1,2stage,1,1,1,0,0,11.895,glare=0.25;shadow=0.45;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.5_1,2stage,1,1,1,0,0,10.726,glare=0.25;shadow=0.5;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.55_1,2stage,1,1,1,0,0,11.030,glare=0.25;shadow=0.55;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.6_1,2stage,1,1,1,0,0,7.708,glare=0.25;shadow=0.6;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.65_1,2stage,1,1,1,0,0,9.560,glare=0.25;shadow=0.65;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.7_1,2stage,1,1,1,0,0,11.085,glare=0.25;shadow=0.7;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.75_1,2stage,1,1,1,0,0,14.975,glare=0.25;shadow=0.75;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.8_1,2stage,1,1,1,0,0,11.268,glare=0.25;shadow=0.8;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.85_1,2stage,1,1,1,0,0,15.550,glare=0.25;shadow=0.85;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.9_1,2stage,1,1,1,0,0,16.974,glare=0.25;shadow=0.9;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.95_1,2stage,1,1,1,0,0,6.768,glare=0.25;shadow=0.95;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.25_shadow-1_1,2stage,1,1,1,0,0,5.650,glare=0.25;shadow=1;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.2_1,2stage,1,1,1,0,0,144.908,glare=0.3;shadow=0.2;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.25_1,2stage,1,1,1,0,0,160.931,glare=0.3;shadow=0.25;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.3_1,2stage,1,1,1,0,0,11.399,glare=0.3;shadow=0.3;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.35_1,2stage,1,1,1,0,0,10.467,glare=0.3;shadow=0.35;sym-DATA_MATRIX;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.4_1,2stage,1,1,1,0,0,10.470,glare=0.3;shadow=0.4;sym-DATA_MATRIX;modpx-8.00;img-ok
