file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_glare-0_shadow-0.2_1,2stage,1,1,1,0,0,355.086,glare=0;shadow=0.2;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0_shadow-0.25_1,2stage,1,1,1,0,0,158.330,glare=0;shadow=0.25;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0_shadow-0.3_1,2stage,1,1,1,0,0,196.702,glare=0;shadow=0.3;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0_shadow-0.35_1,2stage,1,1,1,0,0,220.592,glare=0;shadow=0.35;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0_shadow-0.4_1,2stage,1,1,1,0,0,190.685,glare=0;shadow=0.4;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0_shadow-0.45_1,2stage,1,1,1,0,0,272.483,glare=0;shadow=0.45;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0_shadow-0.5_1,2stage,1,1,1,0,0,221.974,glare=0;shadow=0.5;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0_shadow-0.55_1,2stage,1,1,1,0,0,34.498,glare=0;shadow=0.55;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0_shadow-0.6_1,2stage,1,1,1,0,0,7.908,glare=0;shadow=0.6;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0_shadow-0.65_1,2stage,1,1,1,0,0,1.458,glare=0;shadow=0.65;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0_shadow-0.7_1,2stage,1,1,1,0,0,7.544,glare=0;shadow=0.7;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0_shadow-0.75_1,2stage,1,1,1,0,0,1.380,glare=0;shadow=0.75;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0_shadow-0.8_1,2stage,1,1,1,0,0,1.914,glare=0;shadow=0.8;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0_shadow-0.85_1,2stage,1,1,1,0,0,1.705,glare=0;shadow=0.85;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0_shadow-0.9_1,2stage,1,1,1,0,0,1.623,glare=0;shadow=0.9;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0_shadow-0.95_1,2stage,1,1,1,0,0,1.108,glare=0;shadow=0.95;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0_shadow-1_1,2stage,1,1,1,0,0,1.799,glare=0;shadow=1;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.2_1,2stage,1,1,1,0,0,223.152,glare=0.05;shadow=0.2;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.25_1,2stage,1,1,1,0,0,185.931,glare=0.05;shadow=0.25;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.3_1,2stage,1,1,1,0,0,185.474,glare=0.05;shadow=0.3;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.35_1,2stage,1,1,1,0,0,193.875,glare=0.05;shadow=0.35;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.4_1,2stage,1,1,1,0,0,219.249,glare=0.05;shadow=0.4;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.45_1,2stage,1,1,1,0,0,201.907,glare=0.05;shadow=0.45;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.5_1,2stage,1,1,1,0,0,476.809,glare=0.05;shadow=0.5;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.55_1,2stage,1,1,1,0,0,40.404,glare=0.05;shadow=0.55;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.6_1,2stage,1,1,1,0,0,4.399,glare=0.05;shadow=0.6;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.65_1,2stage,1,1,1,0,0,3.226,glare=0.05;shadow=0.65;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.7_1,2stage,1,1,1,0,0,4.988,glare=0.05;shadow=0.7;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.75_1,2stage,1,1,1,0,0,2.272,glare=0.05;shadow=0.75;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.8_1,2stage,1,1,1,0,0,1.695,glare=0.05;shadow=0.8;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.85_1,2stage,1,1,1,0,0,1.433,glare=0.05;shadow=0.85;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.9_1,2stage,1,1,1,0,0,1.284,glare=0.05;shadow=0.9;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.95_1,2stage,1,1,1,0,0,2.154,glare=0.05;shadow=0.95;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.05_shadow-1_1,2stage,1,1,1,0,0,1.506,glare=0.05;shadow=1;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.2_1,2stage,1,1,1,0,0,289.474,glare=0.1;shadow=0.2;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.25_1,2stage,1,1,1,0,0,202.929,glare=0.1;shadow=0.25;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.3_1,2stage,1,1,1,0,0,184.447,glare=0.1;shadow=0.3;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.35_1,2stage,1,1,1,0,0,174.719,glare=0.1;shadow=0.35;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.4_1,2stage,1,1,1,0,0,204.622,glare=0.1;shadow=0.4;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.45_1,2stage,1,1,1,0,0,365.607,glare=0.1;shadow=0.45;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.5_1,2stage,1,1,1,0,0,300.299,glare=0.1;shadow=0.5;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.55_1,2stage,1,1,1,0,0,15.778,glare=0.1;shadow=0.55;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.6_1,2stage,1,1,1,0,0,3.588,glare=0.1;shadow=0.6;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.65_1,2stage,1,1,1,0,0,1.321,glare=0.1;shadow=0.65;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.7_1,2stage,1,1,1,0,0,1.172,glare=0.1;shadow=0.7;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.75_1,2stage,1,1,1,0,0,2.469,glare=0.1;shadow=0.75;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.8_1,2stage,1,1,1,0,0,1.796,glare=0.1;shadow=0.8;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.85_1,2stage,1,1,1,0,0,2.090,glare=0.1;shadow=0.85;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.9_1,2stage,1,1,1,0,0,1.626,glare=0.1;shadow=0.9;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.95_1,2stage,1,1,1,0,0,1.505,glare=0.1;shadow=0.95;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.1_shadow-1_1,2stage,1,1,1,0,0,1.176,glare=0.1;shadow=1;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.2_1,2stage,1,1,1,0,0,375.822,glare=0.15;shadow=0.2;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.25_1,2stage,1,1,1,0,0,206.708,glare=0.15;shadow=0.25;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.3_1,2stage,1,1,1,0,0,184.713,glare=0.15;shadow=0.3;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.35_1,2stage,1,1,1,0,0,179.475,glare=0.15;shadow=0.35;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.4_1,2stage,1,1,1,0,0,413.308,glare=0.15;shadow=0.4;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.45_1,2stage,1,1,1,0,0,349.887,glare=0.15;shadow=0.45;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.5_1,2stage,1,1,1,0,0,238.778,glare=0.15;shadow=0.5;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.55_1,2stage,1,1,1,0,0,12.938,glare=0.15;shadow=0.55;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.6_1,2stage,1,1,1,0,0,2.607,glare=0.15;shadow=0.6;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.65_1,2stage,1,1,1,0,0,1.168,glare=0.15;shadow=0.65;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.7_1,2stage,1,1,1,0,0,1.139,glare=0.15;shadow=0.7;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.75_1,2stage,1,1,1,0,0,1.371,glare=0.15;shadow=0.75;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.8_1,2stage,1,1,1,0,0,1.589,glare=0.15;shadow=0.8;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.85_1,2stage,1,1,1,0,0,2.317,glare=0.15;shadow=0.85;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.9_1,2stage,1,1,1,0,0,1.515,glare=0.15;shadow=0.9;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.95_1,2stage,1,1,1,0,0,1.219,glare=0.15;shadow=0.95;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.15_shadow-1_1,2stage,1,1,1,0,0,1.737,glare=0.15;shadow=1;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.2_1,2stage,1,1,1,0,0,212.378,glare=0.2;shadow=0.2;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.25_1,2stage,1,1,1,0,0,197.389,glare=0.2;shadow=0.25;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.3_1,2stage,1,1,1,0,0,212.613,glare=0.2;shadow=0.3;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.35_1,2stage,1,1,1,0,0,225.938,glare=0.2;shadow=0.35;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.4_1,2stage,1,1,1,0,0,365.630,glare=0.2;shadow=0.4;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.45_1,2stage,1,1,1,0,0,223.570,glare=0.2;shadow=0.45;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.5_1,2stage,1,1,1,0,0,256.952,glare=0.2;shadow=0.5;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.55_1,2stage,1,1,1,0,0,13.202,glare=0.2;shadow=0.55;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.6_1,2stage,1,1,1,0,0,2.686,glare=0.2;shadow=0.6;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.65_1,2stage,1,1,1,0,0,1.357,glare=0.2;shadow=0.65;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.7_1,2stage,1,1,1,0,0,1.158,glare=0.2;shadow=0.7;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.75_1,2stage,1,1,1,0,0,1.356,glare=0.2;shadow=0.75;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.8_1,2stage,1,1,1,0,0,6.387,glare=0.2;shadow=0.8;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.85_1,2stage,1,1,1,0,0,1.602,glare=0.2;shadow=0.85;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.9_1,2stage,1,1,1,0,0,2.001,glare=0.2;shadow=0.9;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.2_shadow-0.95_1,2stage,1,1,1,0,0,1.095,glare=0.2;shadow=0.95;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.2_shadow-1_1,2stage,1,1,1,0,0,1.398,glare=0.2;shadow=1;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.2_1,2stage,1,1,1,0,0,194.592,glare=0.25;shadow=0.2;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.25_1,2stage,1,1,1,0,0,192.442,glare=0.25;shadow=0.25;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.3_1,2stage,1,1,1,0,0,401.314,glare=0.25;shadow=0.3;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.35_1,2stage,1,1,1,0,0,231.267,glare=0.25;shadow=0.35;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.4_1,2stage,1,1,1,0,0,264.204,glare=0.25;shadow=0.4;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.45_1,2stage,1,1,1,0,0,222.345,glare=0.25;shadow=0.45;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.5_1,2stage,1,1,1,0,0,232.920,glare=0.25;shadow=0.5;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.55_1,2stage,1,1,1,0,0,12.650,glare=0.25;shadow=0.55;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.6_1,2stage,1,1,1,0,0,2.751,glare=0.25;shadow=0.6;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.65_1,2stage,1,1,1,0,0,1.130,glare=0.25;shadow=0.65;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.7_1,2stage,1,1,1,0,0,1.382,glare=0.25;shadow=0.7;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.75_1,2stage,1,1,1,0,0,1.804,glare=0.25;shadow=0.75;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.8_1,2stage,1,1,1,0,0,1.527,glare=0.25;shadow=0.8;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.85_1,2stage,1,1,1,0,0,1.281,glare=0.25;shadow=0.85;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.9_1,2stage,1,1,1,0,0,1.560,glare=0.25;shadow=0.9;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.25_shadow-0.95_1,2stage,1,1,1,0,0,2.410,glare=0.25;shadow=0.95;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.25_shadow-1_1,2stage,1,1,1,0,0,1.594,glare=0.25;shadow=1;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.2_1,2stage,1,1,1,0,0,160.763,glare=0.3;shadow=0.2;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.25_1,2stage,1,1,1,0,0,195.910,glare=0.3;shadow=0.25;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.3_1,2stage,1,1,1,0,0,326.815,glare=0.3;shadow=0.3;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.35_1,2stage,1,1,1,0,0,220.954,glare=0.3;shadow=0.35;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.4_1,2stage,1,1,1,0,0,204.009,glare=0.3;shadow=0.4;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.45_1,2stage,1,1,1,0,0,229.467,glare=0.3;shadow=0.45;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.5_1,2stage,1,1,1,0,0,249.412,glare=0.3;shadow=0.5;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.55_1,2stage,1,1,1,0,0,13.462,glare=0.3;shadow=0.55;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.6_1,2stage,1,1,1,0,0,2.577,glare=0.3;shadow=0.6;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.65_1,2stage,1,1,1,0,0,1.174,glare=0.3;shadow=0.65;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.7_1,2stage,1,1,1,0,0,1.729,glare=0.3;shadow=0.7;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.75_1,2stage,1,1,1,0,0,2.170,glare=0.3;shadow=0.75;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.8_1,2stage,1,1,1,0,0,1.781,glare=0.3;shadow=0.8;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.85_1,2stage,1,1,1,0,0,1.944,glare=0.3;shadow=0.85;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.9_1,2stage,1,1,1,0,0,1.759,glare=0.3;shadow=0.9;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.3_shadow-0.95_1,2stage,1,1,1,0,0,3.645,glare=0.3;shadow=0.95;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.3_shadow-1_1,2stage,1,1,1,0,0,1.316,glare=0.3;shadow=1;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.35_shadow-0.2_1,2stage,1,1,1,0,0,228.235,glare=0.35;shadow=0.2;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.35_shadow-0.25_1,2stage,1,1,1,0,0,301.859,glare=0.35;shadow=0.25;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.35_shadow-0.3_1,2stage,1,1,1,0,0,224.515,glare=0.35;shadow=0.3;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.35_shadow-0.35_1,2stage,1,1,1,0,0,231.585,glare=0.35;shadow=0.35;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.35_shadow-0.4_1,2stage,1,1,1,0,0,214.323,glare=0.35;shadow=0.4;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.35_shadow-0.45_1,2stage,1,1,1,0,0,264.403,glare=0.35;shadow=0.45;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.35_shadow-0.5_1,2stage,1,1,1,0,0,246.999,glare=0.35;shadow=0.5;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.35_shadow-0.55_1,2stage,1,1,1,0,0,13.481,glare=0.35;shadow=0.55;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.35_shadow-0.6_1,2stage,1,1,1,0,0,3.074,glare=0.35;shadow=0.6;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.35_shadow-0.65_1,2stage,1,1,1,0,0,1.640,glare=0.35;shadow=0.65;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.35_shadow-0.7_1,2stage,1,1,1,0,0,1.801,glare=0.35;shadow=0.7;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.35_shadow-0.75_1,2stage,1,1,1,0,0,1.596,glare=0.35;shadow=0.75;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.35_shadow-0.8_1,2stage,1,1,1,0,0,1.358,glare=0.35;shadow=0.8;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.35_shadow-0.85_1,2stage,1,1,1,0,0,2.105,glare=0.35;shadow=0.85;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.35_shadow-0.9_1,2stage,1,1,1,0,0,2.088,glare=0.35;shadow=0.9;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.35_shadow-0.95_1,2stage,1,1,1,0,0,1.494,glare=0.35;shadow=0.95;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.35_shadow-1_1,2stage,1,1,1,0,0,1.242,glare=0.35;shadow=1;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.4_shadow-0.2_1,2stage,1,1,1,0,0,368.569,glare=0.4;shadow=0.2;sym-EAN_8;modpx-8.00;img-ok
sw_glare-0.4_shadow-0.25_1,2stage,1,1,1,0,0,232.985,glare=0.4;shadow=0.25;sym-EAN_8;modpx-8.00;img-ok
