file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_glare-0_shadow-0.2_1,2stage,1,1,1,0,0,622.609,glare=0;shadow=0.2;sym-ITF;modpx-8.00;img-ok
sw_glare-0_shadow-0.25_1,2stage,1,1,1,0,0,442.283,glare=0;shadow=0.25;sym-ITF;modpx-8.00;img-ok
sw_glare-0_shadow-0.3_1,2stage,1,1,1,0,0,496.639,glare=0;shadow=0.3;sym-ITF;modpx-8.00;img-ok
sw_glare-0_shadow-0.35_1,2stage,1,1,1,0,0,648.730,glare=0;shadow=0.35;sym-ITF;modpx-8.00;img-ok
sw_glare-0_shadow-0.4_1,2stage,1,1,1,0,0,574.756,glare=0;shadow=0.4;sym-ITF;modpx-8.00;img-ok
sw_glare-0_shadow-0.45_1,2stage,1,1,1,0,0,459.625,glare=0;shadow=0.45;sym-ITF;modpx-8.00;img-ok
sw_glare-0_shadow-0.5_1,2stage,1,1,1,0,0,495.408,glare=0;shadow=0.5;sym-ITF;modpx-8.00;img-ok
sw_glare-0_shadow-0.55_1,2stage,1,1,1,0,0,3.424,glare=0;shadow=0.55;sym-ITF;modpx-8.00;img-ok
sw_glare-0_shadow-0.6_1,2stage,1,1,1,0,0,2.942,glare=0;shadow=0.6;sym-ITF;modpx-8.00;img-ok
sw_glare-0_shadow-0.65_1,2stage,1,1,1,0,0,3.592,glare=0;shadow=0.65;sym-ITF;modpx-8.00;img-ok
sw_glare-0_shadow-0.7_1,2stage,1,1,1,0,0,2.405,glare=0;shadow=0.7;sym-ITF;modpx-8.00;img-ok
sw_glare-0_shadow-0.75_1,2stage,1,1,1,0,0,6.677,glare=0;shadow=0.75;sym-ITF;modpx-8.00;img-ok
sw_glare-0_shadow-0.8_1,2stage,1,1,1,0,0,2.868,glare=0;shadow=0.8;sym-ITF;modpx-8.00;img-ok
sw_glare-0_shadow-0.85_1,2stage,1,1,1,0,0,3.257,glare=0;shadow=0.85;sym-ITF;modpx-8.00;img-ok
sw_glare-0_shadow-0.9_1,2stage,1,1,1,0,0,2.971,glare=0;shadow=0.9;sym-ITF;modpx-8.00;img-ok
sw_glare-0_shadow-0.95_1,2stage,1,1,1,0,0,2.977,glare=0;shadow=0.95;sym-ITF;modpx-8.00;img-ok
sw_glare-0_shadow-1_1,2stage,1,1,1,0,0,2.948,glare=0;shadow=1;sym-ITF;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.2_1,2stage,1,1,1,0,0,532.147,glare=0.05;shadow=0.2;sym-ITF;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.25_1,2stage,1,1,1,0,0,432.310,glare=0.05;shadow=0.25;sym-ITF;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.3_1,2stage,1,1,1,0,0,480.928,glare=0.05;shadow=0.3;sym-ITF;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.35_1,2stage,1,1,1,0,0,630.106,glare=0.05;shadow=0.35;sym-ITF;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.4_1,2stage,1,1,1,0,0,568.474,glare=0.05;shadow=0.4;sym-ITF;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.45_1,2stage,1,1,1,0,0,468.108,glare=0.05;shadow=0.45;sym-ITF;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.5_1,2stage,1,1,1,0,0,691.447,glare=0.05;shadow=0.5;sym-ITF;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.55_1,2stage,1,1,1,0,0,12.213,glare=0.05;shadow=0.55;sym-ITF;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.6_1,2stage,1,1,1,0,0,2.715,glare=0.05;shadow=0.6;sym-ITF;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.65_1,2stage,1,1,1,0,0,3.479,glare=0.05;shadow=0.65;sym-ITF;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.7_1,2stage,1,1,1,0,0,2.317,glare=0.05;shadow=0.7;sym-ITF;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.75_1,2stage,1,1,1,0,0,4.771,glare=0.05;shadow=0.75;sym-ITF;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.8_1,2stage,1,1,1,0,0,2.920,glare=0.05;shadow=0.8;sym-ITF;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.85_1,2stage,1,1,1,0,0,3.091,glare=0.05;shadow=0.85;sym-ITF;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.9_1,2stage,1,1,1,0,0,3.146,glare=0.05;shadow=0.9;sym-ITF;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.95_1,2stage,1,1,1,0,0,3.456,glare=0.05;shadow=0.95;sym-ITF;modpx-8.00;img-ok
sw_glare-0.05_shadow-1_1,2stage,1,1,1,0,0,3.287,glare=0.05;shadow=1;sym-ITF;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.2_1,2stage,1,1,1,0,0,477.837,glare=0.1;shadow=0.2;sym-ITF;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.25_1,2stage,1,0,0,0,0,473.166,glare=0.1;shadow=0.25;sym-ITF;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.3_1,2stage,1,1,1,0,0,530.911,glare=0.1;shadow=0.3;sym-ITF;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.35_1,2stage,1,1,1,0,0,592.466,glare=0.1;shadow=0.35;sym-ITF;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.4_1,2stage,1,1,1,0,0,541.671,glare=0.1;shadow=0.4;sym-ITF;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.45_1,2stage,1,1,1,0,0,625.711,glare=0.1;shadow=0.45;sym-ITF;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.5_1,2stage,1,1,1,0,0,570.606,glare=0.1;shadow=0.5;sym-ITF;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.55_1,2stage,1,1,1,0,0,2.954,glare=0.1;shadow=0.55;sym-ITF;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.6_1,2stage,1,1,1,0,0,2.397,glare=0.1;shadow=0.6;sym-ITF;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.65_1,2stage,1,1,1,0,0,2.338,glare=0.1;shadow=0.65;sym-ITF;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.7_1,2stage,1,1,1,0,0,2.308,glare=0.1;shadow=0.7;sym-ITF;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.75_1,2stage,1,1,1,0,0,2.361,glare=0.1;shadow=0.75;sym-ITF;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.8_1,2stage,1,1,1,0,0,2.239,glare=0.1;shadow=0.8;sym-ITF;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.85_1,2stage,1,1,1,0,0,2.182,glare=0.1;shadow=0.85;sym-ITF;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.9_1,2stage,1,1,1,0,0,3.073,glare=0.1;shadow=0.9;sym-ITF;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.95_1,2stage,1,1,1,0,0,2.742,glare=0.1;shadow=0.95;sym-ITF;modpx-8.00;img-ok
sw_glare-0.1_shadow-1_1,2stage,1,1,1,0,0,6.675,glare=0.1;shadow=1;sym-ITF;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.2_1,2stage,1,1,1,0,0,783.237,glare=0.15;shadow=0.2;sym-ITF;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.25_1,2stage,1,1,1,0,0,381.597,glare=0.15;shadow=0.25;sym-ITF;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.3_1,2stage,1,1,1,0,0,453.724,glare=0.15;shadow=0.3;sym-ITF;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.35_1,2stage,1,1,1,0,0,572.857,glare=0.15;shadow=0.35;sym-ITF;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.4_1,2stage,1,1,1,0,0,830.846,glare=0.15;shadow=0.4;sym-ITF;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.45_1,2stage,1,1,1,0,0,747.529,glare=0.15;shadow=0.45;sym-ITF;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.5_1,2stage,1,1,1,0,0,479.687,glare=0.15;shadow=0.5;sym-ITF;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.55_1,2stage,1,1,1,0,0,3.109,glare=0.15;shadow=0.55;sym-ITF;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.6_1,2stage,1,1,1,0,0,2.654,glare=0.15;shadow=0.6;sym-ITF;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.65_1,2stage,1,1,1,0,0,2.464,glare=0.15;shadow=0.65;sym-ITF;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.7_1,2stage,1,1,1,0,0,2.481,glare=0.15;shadow=0.7;sym-ITF;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.75_1,2stage,1,1,1,0,0,2.399,glare=0.15;shadow=0.75;sym-ITF;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.8_1,2stage,1,1,1,0,0,2.329,glare=0.15;shadow=0.8;sym-ITF;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.85_1,2stage,1,1,1,0,0,3.078,glare=0.15;shadow=0.85;sym-ITF;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.9_1,2stage,1,1,1,0,0,2.620,glare=0.15;shadow=0.9;sym-ITF;modpx-8.00;img-ok
sw_glare-0.15_shadow-0.95_1,2stage,1,1,1,0,0,2.217,glare=0.15;shadow=0.95;sym-ITF;modpx-8.00;img-ok
sw_glare-0.15_shadow-1_1,2stage,1,1,1,0,0,5.439,glare=0.15;shadow=1;sym-ITF;modpx-8.00;img-ok
