file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_glare-0_shadow-0.2_1,2stage,1,1,1,0,0,266.604,glare=0;shadow=0.2;sym-PDF417;modpx-4.00;img-ok
sw_glare-0_shadow-0.25_1,2stage,1,1,1,0,0,98.895,glare=0;shadow=0.25;sym-PDF417;modpx-4.00;img-ok
sw_glare-0_shadow-0.3_1,2stage,1,1,1,0,0,32.540,glare=0;shadow=0.3;sym-PDF417;modpx-4.00;img-ok
sw_glare-0_shadow-0.35_1,2stage,1,1,1,0,0,6.555,glare=0;shadow=0.35;sym-PDF417;modpx-4.00;img-ok
sw_glare-0_shadow-0.4_1,2stage,1,1,1,0,0,6.505,glare=0;shadow=0.4;sym-PDF417;modpx-4.00;img-ok
sw_glare-0_shadow-0.45_1,2stage,1,1,1,0,0,6.828,glare=0;shadow=0.45;sym-PDF417;modpx-4.00;img-ok
sw_glare-0_shadow-0.5_1,2stage,1,1,1,0,0,6.880,glare=0;shadow=0.5;sym-PDF417;modpx-4.00;img-ok
sw_glare-0_shadow-0.55_1,2stage,1,1,1,0,0,7.790,glare=0;shadow=0.55;sym-PDF417;modpx-4.00;img-ok
sw_glare-0_shadow-0.6_1,2stage,1,1,1,0,0,12.707,glare=0;shadow=0.6;sym-PDF417;modpx-4.00;img-ok
sw_glare-0_shadow-0.65_1,2stage,1,1,1,0,0,16.148,glare=0;shadow=0.65;sym-PDF417;modpx-4.00;img-ok
sw_glare-0_shadow-0.7_1,2stage,1,1,1,0,0,15.954,glare=0;shadow=0.7;sym-PDF417;modpx-4.00;img-ok
sw_glare-0_shadow-0.75_1,2stage,1,1,1,0,0,15.135,glare=0;shadow=0.75;sym-PDF417;modpx-4.00;img-ok
sw_glare-0_shadow-0.8_1,2stage,1,1,1,0,0,8.319,glare=0;shadow=0.8;sym-PDF417;modpx-4.00;img-ok
sw_glare-0_shadow-0.85_1,2stage,1,1,1,0,0,8.168,glare=0;shadow=0.85;sym-PDF417;modpx-4.00;img-ok
sw_glare-0_shadow-0.9_1,2stage,1,1,1,0,0,9.175,glare=0;shadow=0.9;sym-PDF417;modpx-4.00;img-ok
sw_glare-0_shadow-0.95_1,2stage,1,1,1,0,0,14.919,glare=0;shadow=0.95;sym-PDF417;modpx-4.00;img-ok
sw_glare-0_shadow-1_1,2stage,1,1,1,0,0,11.010,glare=0;shadow=1;sym-PDF417;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.2_1,2stage,1,1,1,0,0,388.713,glare=0.05;shadow=0.2;sym-PDF417;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.25_1,2stage,1,1,1,0,0,188.571,glare=0.05;shadow=0.25;sym-PDF417;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.3_1,2stage,1,1,1,0,0,37.331,glare=0.05;shadow=0.3;sym-PDF417;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.35_1,2stage,1,1,1,0,0,6.564,glare=0.05;shadow=0.35;sym-PDF417;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.4_1,2stage,1,1,1,0,0,6.505,glare=0.05;shadow=0.4;sym-PDF417;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.45_1,2stage,1,1,1,0,0,6.977,glare=0.05;shadow=0.45;sym-PDF417;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.5_1,2stage,1,1,1,0,0,7.520,glare=0.05;shadow=0.5;sym-PDF417;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.55_1,2stage,1,1,1,0,0,8.902,glare=0.05;shadow=0.55;sym-PDF417;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.6_1,2stage,1,1,1,0,0,7.789,glare=0.05;shadow=0.6;sym-PDF417;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.65_1,2stage,1,1,1,0,0,7.261,glare=0.05;shadow=0.65;sym-PDF417;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.7_1,2stage,1,1,1,0,0,6.922,glare=0.05;shadow=0.7;sym-PDF417;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.75_1,2stage,1,1,1,0,0,7.691,glare=0.05;shadow=0.75;sym-PDF417;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.8_1,2stage,1,1,1,0,0,7.480,glare=0.05;shadow=0.8;sym-PDF417;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.85_1,2stage,1,1,1,0,0,8.816,glare=0.05;shadow=0.85;sym-PDF417;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.9_1,2stage,1,1,1,0,0,8.996,glare=0.05;shadow=0.9;sym-PDF417;modpx-4.00;img-ok
