file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_glare-0_shadow-0.2_1,2stage,1,1,1,0,0,24.074,glare=0;shadow=0.2;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0_shadow-0.25_1,2stage,1,1,1,0,0,17.780,glare=0;shadow=0.25;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0_shadow-0.3_1,2stage,1,1,1,0,0,14.015,glare=0;shadow=0.3;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0_shadow-0.35_1,2stage,1,1,1,0,0,18.504,glare=0;shadow=0.35;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0_shadow-0.4_1,2stage,1,1,1,0,0,9.185,glare=0;shadow=0.4;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0_shadow-0.45_1,2stage,1,1,1,0,0,8.753,glare=0;shadow=0.45;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0_shadow-0.5_1,2stage,1,1,1,0,0,8.878,glare=0;shadow=0.5;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0_shadow-0.55_1,2stage,1,1,1,0,0,8.189,glare=0;shadow=0.55;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0_shadow-0.6_1,2stage,1,1,1,0,0,17.581,glare=0;shadow=0.6;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0_shadow-0.65_1,2stage,1,1,1,0,0,13.751,glare=0;shadow=0.65;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0_shadow-0.7_1,2stage,1,1,1,0,0,10.461,glare=0;shadow=0.7;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0_shadow-0.75_1,2stage,1,1,1,0,0,6.153,glare=0;shadow=0.75;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0_shadow-0.8_1,2stage,1,1,1,0,0,14.710,glare=0;shadow=0.8;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0_shadow-0.85_1,2stage,1,1,1,0,0,8.738,glare=0;shadow=0.85;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0_shadow-0.9_1,2stage,1,1,1,0,0,9.418,glare=0;shadow=0.9;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0_shadow-0.95_1,2stage,1,1,1,0,0,5.922,glare=0;shadow=0.95;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0_shadow-1_1,2stage,1,1,1,0,0,10.106,glare=0;shadow=1;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.2_1,2stage,1,1,1,0,0,13.570,glare=0.05;shadow=0.2;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.25_1,2stage,1,1,1,0,0,18.580,glare=0.05;shadow=0.25;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.3_1,2stage,1,1,1,0,0,17.000,glare=0.05;shadow=0.3;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.35_1,2stage,1,1,1,0,0,10.013,glare=0.05;shadow=0.35;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.4_1,2stage,1,1,1,0,0,7.729,glare=0.05;shadow=0.4;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.45_1,2stage,1,1,1,0,0,7.963,glare=0.05;shadow=0.45;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.5_1,2stage,1,1,1,0,0,9.769,glare=0.05;shadow=0.5;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.55_1,2stage,1,1,1,0,0,13.896,glare=0.05;shadow=0.55;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.6_1,2stage,1,1,1,0,0,8.977,glare=0.05;shadow=0.6;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.65_1,2stage,1,1,1,0,0,9.271,glare=0.05;shadow=0.65;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.7_1,2stage,1,1,1,0,0,5.956,glare=0.05;shadow=0.7;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.75_1,2stage,1,1,1,0,0,6.993,glare=0.05;shadow=0.75;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.8_1,2stage,1,1,1,0,0,6.146,glare=0.05;shadow=0.8;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.85_1,2stage,1,1,1,0,0,7.331,glare=0.05;shadow=0.85;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.9_1,2stage,1,1,1,0,0,8.744,glare=0.05;shadow=0.9;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.95_1,2stage,1,1,1,0,0,6.976,glare=0.05;shadow=0.95;sym-QR_CODE;modpx-4.00;img-ok
sw_glare-0.05_shadow-1_1,2stage,1,1,1,0,0,13.827,glare=0.05;shadow=1;sym-QR_CODE;modpx-4.00;img-ok
