file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_glare-0_shadow-0.2_1,2stage,1,1,1,0,0,364.426,glare=0;shadow=0.2;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0_shadow-0.25_1,2stage,1,1,1,0,0,199.990,glare=0;shadow=0.25;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0_shadow-0.3_1,2stage,1,1,1,0,0,203.709,glare=0;shadow=0.3;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0_shadow-0.35_1,2stage,1,1,1,0,0,202.693,glare=0;shadow=0.35;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0_shadow-0.4_1,2stage,1,1,1,0,0,23.237,glare=0;shadow=0.4;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0_shadow-0.45_1,2stage,1,1,1,0,0,23.613,glare=0;shadow=0.45;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0_shadow-0.5_1,2stage,1,1,1,0,0,35.707,glare=0;shadow=0.5;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0_shadow-0.55_1,2stage,1,1,1,0,0,2.978,glare=0;shadow=0.55;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0_shadow-0.6_1,2stage,1,1,1,0,0,7.675,glare=0;shadow=0.6;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0_shadow-0.65_1,2stage,1,1,1,0,0,8.262,glare=0;shadow=0.65;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0_shadow-0.7_1,2stage,1,1,1,0,0,2.344,glare=0;shadow=0.7;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0_shadow-0.75_1,2stage,1,1,1,0,0,1.822,glare=0;shadow=0.75;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0_shadow-0.8_1,2stage,1,1,1,0,0,2.452,glare=0;shadow=0.8;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0_shadow-0.85_1,2stage,1,1,1,0,0,1.682,glare=0;shadow=0.85;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0_shadow-0.9_1,2stage,1,1,1,0,0,1.735,glare=0;shadow=0.9;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0_shadow-0.95_1,2stage,1,1,1,0,0,1.455,glare=0;shadow=0.95;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0_shadow-1_1,2stage,1,1,1,0,0,1.422,glare=0;shadow=1;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.2_1,2stage,1,1,1,0,0,316.021,glare=0.05;shadow=0.2;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.25_1,2stage,1,1,1,0,0,230.048,glare=0.05;shadow=0.25;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.3_1,2stage,1,1,1,0,0,244.865,glare=0.05;shadow=0.3;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.35_1,2stage,1,1,1,0,0,200.808,glare=0.05;shadow=0.35;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.4_1,2stage,1,1,1,0,0,215.145,glare=0.05;shadow=0.4;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.45_1,2stage,1,1,1,0,0,23.640,glare=0.05;shadow=0.45;sym-UPC_A;modpx-4.00;img-ok
sw_glare-0.05_shadow-0.5_1,2stage,1,1,1,0,0,389.121,glare=0.05;shadow=0.5;sym-UPC_A;modpx-4.00;img-ok
