file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_glare-0_shadow-0.2_1,2stage,1,1,1,0,0,436.564,glare=0;shadow=0.2;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0_shadow-0.25_1,2stage,1,1,1,0,0,395.674,glare=0;shadow=0.25;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0_shadow-0.3_1,2stage,1,1,1,0,0,277.656,glare=0;shadow=0.3;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0_shadow-0.35_1,2stage,1,1,1,0,0,242.544,glare=0;shadow=0.35;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0_shadow-0.4_1,2stage,1,1,1,0,0,239.312,glare=0;shadow=0.4;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0_shadow-0.45_1,2stage,1,1,1,0,0,250.720,glare=0;shadow=0.45;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0_shadow-0.5_1,2stage,1,1,1,0,0,314.778,glare=0;shadow=0.5;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0_shadow-0.55_1,2stage,1,1,1,0,0,1.625,glare=0;shadow=0.55;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0_shadow-0.6_1,2stage,1,1,1,0,0,1.802,glare=0;shadow=0.6;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0_shadow-0.65_1,2stage,1,1,1,0,0,1.408,glare=0;shadow=0.65;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0_shadow-0.7_1,2stage,1,1,1,0,0,1.371,glare=0;shadow=0.7;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0_shadow-0.75_1,2stage,1,1,1,0,0,1.347,glare=0;shadow=0.75;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0_shadow-0.8_1,2stage,1,1,1,0,0,1.811,glare=0;shadow=0.8;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0_shadow-0.85_1,2stage,1,1,1,0,0,2.480,glare=0;shadow=0.85;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0_shadow-0.9_1,2stage,1,1,1,0,0,1.873,glare=0;shadow=0.9;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0_shadow-0.95_1,2stage,1,1,1,0,0,1.577,glare=0;shadow=0.95;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0_shadow-1_1,2stage,1,1,1,0,0,1.626,glare=0;shadow=1;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.2_1,2stage,1,1,1,0,0,325.496,glare=0.05;shadow=0.2;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.25_1,2stage,1,1,1,0,0,268.299,glare=0.05;shadow=0.25;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.3_1,2stage,1,1,1,0,0,364.156,glare=0.05;shadow=0.3;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.35_1,2stage,1,1,1,0,0,278.563,glare=0.05;shadow=0.35;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.4_1,2stage,1,1,1,0,0,242.158,glare=0.05;shadow=0.4;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.45_1,2stage,1,1,1,0,0,296.997,glare=0.05;shadow=0.45;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.5_1,2stage,1,1,1,0,0,470.499,glare=0.05;shadow=0.5;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.55_1,2stage,1,1,1,0,0,3.134,glare=0.05;shadow=0.55;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.6_1,2stage,1,1,1,0,0,1.872,glare=0.05;shadow=0.6;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.65_1,2stage,1,1,1,0,0,1.570,glare=0.05;shadow=0.65;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.7_1,2stage,1,1,1,0,0,1.712,glare=0.05;shadow=0.7;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.75_1,2stage,1,1,1,0,0,2.152,glare=0.05;shadow=0.75;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.8_1,2stage,1,1,1,0,0,1.676,glare=0.05;shadow=0.8;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.85_1,2stage,1,1,1,0,0,1.382,glare=0.05;shadow=0.85;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.9_1,2stage,1,1,1,0,0,1.343,glare=0.05;shadow=0.9;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.05_shadow-0.95_1,2stage,1,1,1,0,0,1.713,glare=0.05;shadow=0.95;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.05_shadow-1_1,2stage,1,1,1,0,0,1.556,glare=0.05;shadow=1;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.2_1,2stage,1,1,1,0,0,417.169,glare=0.1;shadow=0.2;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.25_1,2stage,1,1,1,0,0,326.364,glare=0.1;shadow=0.25;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.3_1,2stage,1,1,1,0,0,233.845,glare=0.1;shadow=0.3;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.35_1,2stage,1,1,1,0,0,233.606,glare=0.1;shadow=0.35;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.4_1,2stage,1,1,1,0,0,237.422,glare=0.1;shadow=0.4;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.45_1,2stage,1,1,1,0,0,285.004,glare=0.1;shadow=0.45;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.5_1,2stage,1,1,1,0,0,536.797,glare=0.1;shadow=0.5;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.55_1,2stage,1,1,1,0,0,1.714,glare=0.1;shadow=0.55;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.6_1,2stage,1,1,1,0,0,1.541,glare=0.1;shadow=0.6;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.65_1,2stage,1,1,1,0,0,1.462,glare=0.1;shadow=0.65;sym-UPC_E;modpx-8.00;img-ok
sw_glare-0.1_shadow-0.7_1,2stage,1,1,1,0,0,2.298,glare=0.1;shadow=0.7;sym-UPC_E;modpx-8.00;img-ok
