file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_damaged-0_dirty-0_1,2stage,1,1,1,0,0,1.737,damaged=0;dirty=0;sym-CODABAR;modpx-4.00;img-ok
sw_damaged-0.05_dirty-0_1,2stage,1,1,1,0,0,4.938,damaged=0.05;dirty=0;sym-CODABAR;modpx-4.00;img-ok
sw_damaged-0.1_dirty-0_1,2stage,1,1,1,0,0,1.384,damaged=0.1;dirty=0;sym-CODABAR;modpx-4.00;img-ok
sw_damaged-0.15_dirty-0_1,2stage,1,1,1,0,0,1.584,damaged=0.15;dirty=0;sym-CODABAR;modpx-4.00;img-ok
sw_damaged-0.2_dirty-0_1,2stage,1,1,1,0,0,3.567,damaged=0.2;dirty=0;sym-CODABAR;modpx-4.00;img-ok
sw_damaged-0.25_dirty-0_1,2stage,1,1,1,0,0,1.600,damaged=0.25;dirty=0;sym-CODABAR;modpx-4.00;img-ok
sw_damaged-0.3_dirty-0_1,2stage,1,1,1,0,0,2.157,damaged=0.3;dirty=0;sym-CODABAR;modpx-4.00;img-ok
sw_damaged-0.35_dirty-0_1,2stage,1,1,1,0,0,1.268,damaged=0.35;dirty=0;sym-CODABAR;modpx-4.00;img-ok
sw_damaged-0.4_dirty-0_1,2stage,1,1,1,0,0,1.934,damaged=0.4;dirty=0;sym-CODABAR;modpx-4.00;img-borderline
sw_damaged-0.45_dirty-0_1,2stage,1,1,1,0,0,1.446,damaged=0.45;dirty=0;sym-CODABAR;modpx-4.00;img-borderline
sw_damaged-0.5_dirty-0_1,2stage,1,1,1,0,0,1.526,damaged=0.5;dirty=0;sym-CODABAR;modpx-4.00;img-borderline
sw_damaged-0.55_dirty-0_1,2stage,1,1,1,0,0,1.498,damaged=0.55;dirty=0;sym-CODABAR;modpx-4.00;img-borderline
sw_damaged-0.6_dirty-0_1,2stage,1,1,1,0,0,2.080,damaged=0.6;dirty=0;sym-CODABAR;modpx-4.00;img-borderline
sw_damaged-0.65_dirty-0_1,2stage,1,1,1,0,0,1.653,damaged=0.65;dirty=0;sym-CODABAR;modpx-4.00;img-borderline
sw_damaged-0.7_dirty-0_1,2stage,1,1,1,0,0,1.466,damaged=0.7;dirty=0;sym-CODABAR;modpx-4.00;img-borderline
sw_damaged-0.75_dirty-0_1,2stage,1,1,1,0,0,1.353,damaged=0.75;dirty=0;sym-CODABAR;modpx-4.00;img-borderline
sw_damaged-0.8_dirty-0_1,2stage,1,1,1,0,0,2.032,damaged=0.8;dirty=0;sym-CODABAR;modpx-4.00;img-borderline
sw_damaged-0.85_dirty-0_1,2stage,1,1,1,0,0,1.712,damaged=0.85;dirty=0;sym-CODABAR;modpx-4.00;img-borderline
sw_damaged-0.9_dirty-0_1,2stage,1,1,1,0,0,1.637,damaged=0.9;dirty=0;sym-CODABAR;modpx-4.00;img-borderline
sw_damaged-0.95_dirty-0_1,2stage,1,1,1,0,0,1.636,damaged=0.95;dirty=0;sym-CODABAR;modpx-4.00;img-borderline
sw_damaged-1_dirty-0_1,2stage,1,1,1,0,0,18.257,damaged=1;dirty=0;sym-CODABAR;modpx-4.00;img-borderline
sw_damaged-0_dirty-0.05_1,2stage,1,1,1,0,0,1.486,damaged=0;dirty=0.05;sym-CODABAR;modpx-4.00;img-ok
sw_damaged-0.05_dirty-0.05_1,2stage,1,1,1,0,0,1.304,damaged=0.05;dirty=0.05;sym-CODABAR;modpx-4.00;img-ok
sw_damaged-0.1_dirty-0.05_1,2stage,1,1,1,0,0,1.261,damaged=0.1;dirty=0.05;sym-CODABAR;modpx-4.00;img-ok
sw_damaged-0.15_dirty-0.05_1,2stage,1,1,1,0,0,1.634,damaged=0.15;dirty=0.05;sym-CODABAR;modpx-4.00;img-ok
sw_damaged-0.2_dirty-0.05_1,2stage,1,1,1,0,0,1.520,damaged=0.2;dirty=0.05;sym-CODABAR;modpx-4.00;img-ok
sw_damaged-0.25_dirty-0.05_1,2stage,1,1,1,0,0,1.502,damaged=0.25;dirty=0.05;sym-CODABAR;modpx-4.00;img-ok
sw_damaged-0.3_dirty-0.05_1,2stage,1,1,1,0,0,1.317,damaged=0.3;dirty=0.05;sym-CODABAR;modpx-4.00;img-ok
sw_damaged-0.35_dirty-0.05_1,2stage,1,1,1,0,0,1.744,damaged=0.35;dirty=0.05;sym-CODABAR;modpx-4.00;img-ok
