file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_damaged-0_dirty-0_1,2stage,1,1,1,0,0,6.839,damaged=0;dirty=0;sym-CODE_93;modpx-6.27;img-ok
sw_damaged-0.05_dirty-0_1,2stage,1,1,1,0,0,959.169,damaged=0.05;dirty=0;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.1_dirty-0_1,2stage,1,1,1,0,0,1156.278,damaged=0.1;dirty=0;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.15_dirty-0_1,2stage,1,1,1,0,0,5.912,damaged=0.15;dirty=0;sym-CODE_93;modpx-6.27;img-ok
sw_damaged-0.2_dirty-0_1,2stage,1,1,1,0,0,5.455,damaged=0.2;dirty=0;sym-CODE_93;modpx-6.27;img-ok
sw_damaged-0.25_dirty-0_1,2stage,1,1,1,0,0,5.370,damaged=0.25;dirty=0;sym-CODE_93;modpx-6.27;img-ok
sw_damaged-0.3_dirty-0_1,2stage,1,0,0,0,0,786.842,damaged=0.3;dirty=0;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.35_dirty-0_1,2stage,1,1,1,0,0,1068.468,damaged=0.35;dirty=0;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.4_dirty-0_1,2stage,1,0,0,0,0,1080.795,damaged=0.4;dirty=0;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.45_dirty-0_1,2stage,1,1,1,0,0,5.565,damaged=0.45;dirty=0;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.5_dirty-0_1,2stage,1,1,1,0,0,4.914,damaged=0.5;dirty=0;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.55_dirty-0_1,2stage,1,1,1,0,0,4.747,damaged=0.55;dirty=0;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.6_dirty-0_1,2stage,1,0,0,0,0,750.728,damaged=0.6;dirty=0;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.65_dirty-0_1,2stage,1,0,0,0,0,739.139,damaged=0.65;dirty=0;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.7_dirty-0_1,2stage,1,0,0,0,0,809.609,damaged=0.7;dirty=0;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.75_dirty-0_1,2stage,1,1,1,0,0,63.767,damaged=0.75;dirty=0;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.8_dirty-0_1,2stage,1,1,1,0,0,107.756,damaged=0.8;dirty=0;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.85_dirty-0_1,2stage,1,1,1,0,0,119.284,damaged=0.85;dirty=0;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.9_dirty-0_1,2stage,1,0,0,0,0,1091.003,damaged=0.9;dirty=0;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.95_dirty-0_1,2stage,1,0,0,0,0,840.266,damaged=0.95;dirty=0;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-1_dirty-0_1,2stage,1,1,1,0,0,60.804,damaged=1;dirty=0;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0_dirty-0.05_1,2stage,1,1,1,0,0,5.407,damaged=0;dirty=0.05;sym-CODE_93;modpx-6.27;img-ok
sw_damaged-0.05_dirty-0.05_1,2stage,1,1,1,0,0,678.031,damaged=0.05;dirty=0.05;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.1_dirty-0.05_1,2stage,1,1,1,0,0,899.395,damaged=0.1;dirty=0.05;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.15_dirty-0.05_1,2stage,1,1,1,0,0,6.281,damaged=0.15;dirty=0.05;sym-CODE_93;modpx-6.27;img-ok
sw_damaged-0.2_dirty-0.05_1,2stage,1,1,1,0,0,5.422,damaged=0.2;dirty=0.05;sym-CODE_93;modpx-6.27;img-ok
sw_damaged-0.25_dirty-0.05_1,2stage,1,1,1,0,0,5.061,damaged=0.25;dirty=0.05;sym-CODE_93;modpx-6.27;img-ok
sw_damaged-0.3_dirty-0.05_1,2stage,1,0,0,0,0,898.238,damaged=0.3;dirty=0.05;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.35_dirty-0.05_1,2stage,1,0,0,0,0,763.934,damaged=0.35;dirty=0.05;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.4_dirty-0.05_1,2stage,1,0,0,0,0,735.370,damaged=0.4;dirty=0.05;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.45_dirty-0.05_1,2stage,1,1,1,0,0,5.290,damaged=0.45;dirty=0.05;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.5_dirty-0.05_1,2stage,1,1,1,0,0,4.967,damaged=0.5;dirty=0.05;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.55_dirty-0.05_1,2stage,1,1,1,0,0,10.960,damaged=0.55;dirty=0.05;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.6_dirty-0.05_1,2stage,1,0,0,0,0,1083.009,damaged=0.6;dirty=0.05;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.65_dirty-0.05_1,2stage,1,0,0,0,0,1274.425,damaged=0.65;dirty=0.05;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.7_dirty-0.05_1,2stage,1,0,0,0,0,864.770,damaged=0.7;dirty=0.05;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.75_dirty-0.05_1,2stage,1,1,1,0,0,60.563,damaged=0.75;dirty=0.05;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.8_dirty-0.05_1,2stage,1,1,1,0,0,60.261,damaged=0.8;dirty=0.05;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.85_dirty-0.05_1,2stage,1,1,1,0,0,60.732,damaged=0.85;dirty=0.05;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.9_dirty-0.05_1,2stage,1,0,0,0,0,918.603,damaged=0.9;dirty=0.05;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0.95_dirty-0.05_1,2stage,1,0,0,0,0,1010.964,damaged=0.95;dirty=0.05;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-1_dirty-0.05_1,2stage,1,1,1,0,0,59.048,damaged=1;dirty=0.05;sym-CODE_93;modpx-6.27;img-borderline
sw_damaged-0_dirty-0.1_1,2stage,1,1,1,0,0,6.516,damaged=0;dirty=0.1;sym-CODE_93;modpx-6.27;img-ok
