file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_damaged-0_dirty-0_1,2stage,1,1,1,0,0,1.576,damaged=0;dirty=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_damaged-0.05_dirty-0_1,2stage,1,1,1,0,0,1.843,damaged=0.05;dirty=0;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.1_dirty-0_1,2stage,1,1,1,0,0,1.759,damaged=0.1;dirty=0;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.15_dirty-0_1,2stage,1,1,1,0,0,1.205,damaged=0.15;dirty=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_damaged-0.2_dirty-0_1,2stage,1,1,1,0,0,1.479,damaged=0.2;dirty=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_damaged-0.25_dirty-0_1,2stage,1,1,1,0,0,1.452,damaged=0.25;dirty=0;sym-DATA_BAR;modpx-4.00;img-ok
sw_damaged-0.3_dirty-0_1,2stage,1,1,1,0,0,15.778,damaged=0.3;dirty=0;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.35_dirty-0_1,2stage,1,1,1,0,0,15.510,damaged=0.35;dirty=0;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.4_dirty-0_1,2stage,1,1,1,0,0,288.999,damaged=0.4;dirty=0;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.45_dirty-0_1,2stage,1,1,1,0,0,26.761,damaged=0.45;dirty=0;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.5_dirty-0_1,2stage,1,1,1,0,0,20.198,damaged=0.5;dirty=0;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.55_dirty-0_1,2stage,1,1,1,0,0,24.317,damaged=0.55;dirty=0;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.6_dirty-0_1,2stage,1,1,1,0,0,168.775,damaged=0.6;dirty=0;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.65_dirty-0_1,2stage,1,1,1,0,0,159.444,damaged=0.65;dirty=0;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.7_dirty-0_1,2stage,1,1,1,0,0,166.750,damaged=0.7;dirty=0;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.75_dirty-0_1,2stage,1,0,0,0,0,194.714,damaged=0.75;dirty=0;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.8_dirty-0_1,2stage,1,0,0,0,0,223.963,damaged=0.8;dirty=0;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.85_dirty-0_1,2stage,1,0,0,0,0,292.499,damaged=0.85;dirty=0;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.9_dirty-0_1,2stage,1,1,1,0,0,155.144,damaged=0.9;dirty=0;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.95_dirty-0_1,2stage,1,0,0,0,0,311.206,damaged=0.95;dirty=0;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-1_dirty-0_1,2stage,1,0,0,0,0,193.127,damaged=1;dirty=0;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0_dirty-0.05_1,2stage,1,1,1,0,0,1.083,damaged=0;dirty=0.05;sym-DATA_BAR;modpx-4.00;img-ok
sw_damaged-0.05_dirty-0.05_1,2stage,1,1,1,0,0,1.122,damaged=0.05;dirty=0.05;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.1_dirty-0.05_1,2stage,1,1,1,0,0,1.032,damaged=0.1;dirty=0.05;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.15_dirty-0.05_1,2stage,1,1,1,0,0,1.855,damaged=0.15;dirty=0.05;sym-DATA_BAR;modpx-4.00;img-ok
sw_damaged-0.2_dirty-0.05_1,2stage,1,1,1,0,0,1.317,damaged=0.2;dirty=0.05;sym-DATA_BAR;modpx-4.00;img-ok
sw_damaged-0.25_dirty-0.05_1,2stage,1,1,1,0,0,1.339,damaged=0.25;dirty=0.05;sym-DATA_BAR;modpx-4.00;img-ok
sw_damaged-0.3_dirty-0.05_1,2stage,1,1,1,0,0,11.411,damaged=0.3;dirty=0.05;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.35_dirty-0.05_1,2stage,1,1,1,0,0,13.535,damaged=0.35;dirty=0.05;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.4_dirty-0.05_1,2stage,1,1,1,0,0,138.386,damaged=0.4;dirty=0.05;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.45_dirty-0.05_1,2stage,1,1,1,0,0,11.398,damaged=0.45;dirty=0.05;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.5_dirty-0.05_1,2stage,1,1,1,0,0,11.510,damaged=0.5;dirty=0.05;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.55_dirty-0.05_1,2stage,1,1,1,0,0,13.361,damaged=0.55;dirty=0.05;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.6_dirty-0.05_1,2stage,1,1,1,0,0,277.168,damaged=0.6;dirty=0.05;sym-DATA_BAR;modpx-4.00;img-borderline
sw_damaged-0.65_dirty-0.05_1,2stage,1,1,1,0,0,311.073,damaged=0.65;dirty=0.05;sym-DATA_BAR;modpx-4.00;img-borderline
