file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_damaged-0_dirty-0_1,2stage,1,1,1,0,0,6.104,damaged=0;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_damaged-0.05_dirty-0_1,2stage,1,1,1,0,0,5.896,damaged=0.05;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_damaged-0.1_dirty-0_1,2stage,1,1,1,0,0,9.693,damaged=0.1;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_damaged-0.15_dirty-0_1,2stage,1,1,1,0,0,138.638,damaged=0.15;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.2_dirty-0_1,2stage,1,1,1,0,0,88.567,damaged=0.2;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.25_dirty-0_1,2stage,1,1,1,0,0,68.232,damaged=0.25;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.3_dirty-0_1,2stage,1,1,1,0,0,72.179,damaged=0.3;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.35_dirty-0_1,2stage,1,1,1,0,0,104.874,damaged=0.35;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.4_dirty-0_1,2stage,1,0,0,0,0,148.894,damaged=0.4;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.45_dirty-0_1,2stage,1,0,0,0,0,116.987,damaged=0.45;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.5_dirty-0_1,2stage,1,0,0,0,0,83.954,damaged=0.5;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.55_dirty-0_1,2stage,1,0,0,0,0,82.669,damaged=0.55;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.6_dirty-0_1,2stage,1,0,0,0,0,75.091,damaged=0.6;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.65_dirty-0_1,2stage,1,0,0,0,0,71.816,damaged=0.65;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.7_dirty-0_1,2stage,1,0,0,0,0,75.954,damaged=0.7;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.75_dirty-0_1,2stage,1,0,0,0,0,81.437,damaged=0.75;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-impossible
sw_damaged-0.8_dirty-0_1,2stage,1,0,0,0,0,129.462,damaged=0.8;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-impossible
sw_damaged-0.85_dirty-0_1,2stage,1,0,0,0,0,84.796,damaged=0.85;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-impossible
sw_damaged-0.9_dirty-0_1,2stage,1,0,0,0,0,70.916,damaged=0.9;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-impossible
sw_damaged-0.95_dirty-0_1,2stage,1,0,0,0,0,75.381,damaged=0.95;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-impossible
sw_damaged-1_dirty-0_1,2stage,1,0,0,0,0,75.080,damaged=1;dirty=0;sym-DATA_MATRIX;modpx-4.00;img-impossible
sw_damaged-0_dirty-0.05_1,2stage,1,1,1,0,0,5.246,damaged=0;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_damaged-0.05_dirty-0.05_1,2stage,1,1,1,0,0,4.993,damaged=0.05;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_damaged-0.1_dirty-0.05_1,2stage,1,1,1,0,0,5.011,damaged=0.1;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-ok
sw_damaged-0.15_dirty-0.05_1,2stage,1,1,1,0,0,151.641,damaged=0.15;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.2_dirty-0.05_1,2stage,1,1,1,0,0,105.095,damaged=0.2;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.25_dirty-0.05_1,2stage,1,1,1,0,0,71.125,damaged=0.25;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.3_dirty-0.05_1,2stage,1,1,1,0,0,73.734,damaged=0.3;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.35_dirty-0.05_1,2stage,1,1,1,0,0,70.414,damaged=0.35;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.4_dirty-0.05_1,2stage,1,0,0,0,0,79.336,damaged=0.4;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.45_dirty-0.05_1,2stage,1,0,0,0,0,75.194,damaged=0.45;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.5_dirty-0.05_1,2stage,1,0,0,0,0,100.022,damaged=0.5;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.55_dirty-0.05_1,2stage,1,0,0,0,0,140.398,damaged=0.55;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.6_dirty-0.05_1,2stage,1,0,0,0,0,119.938,damaged=0.6;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-borderline
sw_damaged-0.65_dirty-0.05_1,2stage,1,0,0,0,0,93.451,damaged=0.65;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-impossible
sw_damaged-0.7_dirty-0.05_1,2stage,1,0,0,0,0,77.563,damaged=0.7;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-impossible
sw_damaged-0.75_dirty-0.05_1,2stage,1,0,0,0,0,78.589,damaged=0.75;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-impossible
sw_damaged-0.8_dirty-0.05_1,2stage,1,0,0,0,0,74.460,damaged=0.8;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-impossible
sw_damaged-0.85_dirty-0.05_1,2stage,1,0,0,0,0,79.155,damaged=0.85;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-impossible
sw_damaged-0.9_dirty-0.05_1,2stage,1,0,0,0,0,115.347,damaged=0.9;dirty=0.05;sym-DATA_MATRIX;modpx-4.00;img-impossible
