file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_damaged-0_dirty-0_1,2stage,1,1,1,0,0,2.236,damaged=0;dirty=0;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.05_dirty-0_1,2stage,1,1,1,0,0,6.166,damaged=0.05;dirty=0;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.1_dirty-0_1,2stage,1,1,1,0,0,1.318,damaged=0.1;dirty=0;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.15_dirty-0_1,2stage,1,1,1,0,0,1.463,damaged=0.15;dirty=0;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.2_dirty-0_1,2stage,1,1,1,0,0,1.610,damaged=0.2;dirty=0;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.25_dirty-0_1,2stage,1,1,1,0,0,1.387,damaged=0.25;dirty=0;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.3_dirty-0_1,2stage,1,1,1,0,0,10.735,damaged=0.3;dirty=0;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.35_dirty-0_1,2stage,1,1,1,0,0,8.079,damaged=0.35;dirty=0;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.4_dirty-0_1,2stage,1,1,1,0,0,12.660,damaged=0.4;dirty=0;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.45_dirty-0_1,2stage,1,1,1,0,0,8.449,damaged=0.45;dirty=0;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.5_dirty-0_1,2stage,1,1,1,0,0,8.362,damaged=0.5;dirty=0;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.55_dirty-0_1,2stage,1,1,1,0,0,10.041,damaged=0.55;dirty=0;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.6_dirty-0_1,2stage,1,1,1,0,0,7.886,damaged=0.6;dirty=0;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.65_dirty-0_1,2stage,1,1,1,0,0,8.111,damaged=0.65;dirty=0;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.7_dirty-0_1,2stage,1,1,1,0,0,8.345,damaged=0.7;dirty=0;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.75_dirty-0_1,2stage,1,1,1,0,0,21.145,damaged=0.75;dirty=0;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.8_dirty-0_1,2stage,1,1,1,0,0,16.280,damaged=0.8;dirty=0;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.85_dirty-0_1,2stage,1,1,1,0,0,8.911,damaged=0.85;dirty=0;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.9_dirty-0_1,2stage,1,0,0,0,0,222.138,damaged=0.9;dirty=0;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.95_dirty-0_1,2stage,1,0,0,0,0,139.296,damaged=0.95;dirty=0;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-1_dirty-0_1,2stage,1,0,0,0,0,110.056,damaged=1;dirty=0;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0_dirty-0.05_1,2stage,1,1,1,0,0,1.258,damaged=0;dirty=0.05;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.05_dirty-0.05_1,2stage,1,1,1,0,0,1.352,damaged=0.05;dirty=0.05;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.1_dirty-0.05_1,2stage,1,1,1,0,0,1.233,damaged=0.1;dirty=0.05;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.15_dirty-0.05_1,2stage,1,1,1,0,0,13.177,damaged=0.15;dirty=0.05;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.2_dirty-0.05_1,2stage,1,1,1,0,0,16.478,damaged=0.2;dirty=0.05;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.25_dirty-0.05_1,2stage,1,1,1,0,0,12.486,damaged=0.25;dirty=0.05;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.3_dirty-0.05_1,2stage,1,1,1,0,0,16.830,damaged=0.3;dirty=0.05;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.35_dirty-0.05_1,2stage,1,1,1,0,0,10.148,damaged=0.35;dirty=0.05;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.4_dirty-0.05_1,2stage,1,1,1,0,0,9.416,damaged=0.4;dirty=0.05;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.45_dirty-0.05_1,2stage,1,1,1,0,0,8.931,damaged=0.45;dirty=0.05;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.5_dirty-0.05_1,2stage,1,1,1,0,0,8.622,damaged=0.5;dirty=0.05;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.55_dirty-0.05_1,2stage,1,1,1,0,0,9.331,damaged=0.55;dirty=0.05;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.6_dirty-0.05_1,2stage,1,1,1,0,0,9.221,damaged=0.6;dirty=0.05;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.65_dirty-0.05_1,2stage,1,1,1,0,0,8.852,damaged=0.65;dirty=0.05;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.7_dirty-0.05_1,2stage,1,1,1,0,0,8.288,damaged=0.7;dirty=0.05;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.75_dirty-0.05_1,2stage,1,1,1,0,0,16.438,damaged=0.75;dirty=0.05;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.8_dirty-0.05_1,2stage,1,1,1,0,0,11.249,damaged=0.8;dirty=0.05;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.85_dirty-0.05_1,2stage,1,1,1,0,0,8.470,damaged=0.85;dirty=0.05;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.9_dirty-0.05_1,2stage,1,0,0,0,0,215.669,damaged=0.9;dirty=0.05;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.95_dirty-0.05_1,2stage,1,0,0,0,0,215.046,damaged=0.95;dirty=0.05;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-1_dirty-0.05_1,2stage,1,0,0,0,0,143.593,damaged=1;dirty=0.05;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0_dirty-0.1_1,2stage,1,1,1,0,0,1.213,damaged=0;dirty=0.1;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.05_dirty-0.1_1,2stage,1,1,1,0,0,1.127,damaged=0.05;dirty=0.1;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.1_dirty-0.1_1,2stage,1,1,1,0,0,1.106,damaged=0.1;dirty=0.1;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.15_dirty-0.1_1,2stage,1,1,1,0,0,1.146,damaged=0.15;dirty=0.1;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.2_dirty-0.1_1,2stage,1,1,1,0,0,8.115,damaged=0.2;dirty=0.1;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.25_dirty-0.1_1,2stage,1,1,1,0,0,8.713,damaged=0.25;dirty=0.1;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.3_dirty-0.1_1,2stage,1,1,1,0,0,17.181,damaged=0.3;dirty=0.1;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.35_dirty-0.1_1,2stage,1,1,1,0,0,12.928,damaged=0.35;dirty=0.1;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.4_dirty-0.1_1,2stage,1,1,1,0,0,17.218,damaged=0.4;dirty=0.1;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.45_dirty-0.1_1,2stage,1,1,1,0,0,16.688,damaged=0.45;dirty=0.1;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.5_dirty-0.1_1,2stage,1,1,1,0,0,11.285,damaged=0.5;dirty=0.1;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.55_dirty-0.1_1,2stage,1,1,1,0,0,8.594,damaged=0.55;dirty=0.1;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.6_dirty-0.1_1,2stage,1,1,1,0,0,9.511,damaged=0.6;dirty=0.1;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.65_dirty-0.1_1,2stage,1,1,1,0,0,7.864,damaged=0.65;dirty=0.1;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.7_dirty-0.1_1,2stage,1,1,1,0,0,8.743,damaged=0.7;dirty=0.1;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.75_dirty-0.1_1,2stage,1,1,1,0,0,11.932,damaged=0.75;dirty=0.1;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.8_dirty-0.1_1,2stage,1,1,1,0,0,15.790,damaged=0.8;dirty=0.1;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.85_dirty-0.1_1,2stage,1,1,1,0,0,7.895,damaged=0.85;dirty=0.1;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.9_dirty-0.1_1,2stage,1,0,0,0,0,122.200,damaged=0.9;dirty=0.1;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.95_dirty-0.1_1,2stage,1,0,0,0,0,107.344,damaged=0.95;dirty=0.1;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-1_dirty-0.1_1,2stage,1,0,0,0,0,130.876,damaged=1;dirty=0.1;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0_dirty-0.15_1,2stage,1,1,1,0,0,1.294,damaged=0;dirty=0.15;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.05_dirty-0.15_1,2stage,1,1,1,0,0,2.073,damaged=0.05;dirty=0.15;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.1_dirty-0.15_1,2stage,1,1,1,0,0,2.264,damaged=0.1;dirty=0.15;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.15_dirty-0.15_1,2stage,1,1,1,0,0,17.280,damaged=0.15;dirty=0.15;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.2_dirty-0.15_1,2stage,1,1,1,0,0,16.601,damaged=0.2;dirty=0.15;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.25_dirty-0.15_1,2stage,1,1,1,0,0,18.925,damaged=0.25;dirty=0.15;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.3_dirty-0.15_1,2stage,1,1,1,0,0,15.070,damaged=0.3;dirty=0.15;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.35_dirty-0.15_1,2stage,1,1,1,0,0,8.998,damaged=0.35;dirty=0.15;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.4_dirty-0.15_1,2stage,1,1,1,0,0,8.927,damaged=0.4;dirty=0.15;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.45_dirty-0.15_1,2stage,1,1,1,0,0,18.235,damaged=0.45;dirty=0.15;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.5_dirty-0.15_1,2stage,1,1,1,0,0,14.681,damaged=0.5;dirty=0.15;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.55_dirty-0.15_1,2stage,1,1,1,0,0,16.825,damaged=0.55;dirty=0.15;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.6_dirty-0.15_1,2stage,1,1,1,0,0,16.812,damaged=0.6;dirty=0.15;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.65_dirty-0.15_1,2stage,1,1,1,0,0,10.152,damaged=0.65;dirty=0.15;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.7_dirty-0.15_1,2stage,1,1,1,0,0,9.518,damaged=0.7;dirty=0.15;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.75_dirty-0.15_1,2stage,1,1,1,0,0,8.847,damaged=0.75;dirty=0.15;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.8_dirty-0.15_1,2stage,1,1,1,0,0,21.968,damaged=0.8;dirty=0.15;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.85_dirty-0.15_1,2stage,1,1,1,0,0,12.069,damaged=0.85;dirty=0.15;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.9_dirty-0.15_1,2stage,1,0,0,0,0,236.660,damaged=0.9;dirty=0.15;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.95_dirty-0.15_1,2stage,1,0,0,0,0,121.381,damaged=0.95;dirty=0.15;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-1_dirty-0.15_1,2stage,1,0,0,0,0,147.510,damaged=1;dirty=0.15;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0_dirty-0.2_1,2stage,1,1,1,0,0,1.229,damaged=0;dirty=0.2;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.05_dirty-0.2_1,2stage,1,1,1,0,0,1.287,damaged=0.05;dirty=0.2;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.1_dirty-0.2_1,2stage,1,1,1,0,0,1.155,damaged=0.1;dirty=0.2;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.15_dirty-0.2_1,2stage,1,1,1,0,0,1.107,damaged=0.15;dirty=0.2;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.2_dirty-0.2_1,2stage,1,1,1,0,0,21.380,damaged=0.2;dirty=0.2;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.25_dirty-0.2_1,2stage,1,1,1,0,0,17.583,damaged=0.25;dirty=0.2;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.3_dirty-0.2_1,2stage,1,1,1,0,0,12.807,damaged=0.3;dirty=0.2;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.35_dirty-0.2_1,2stage,1,1,1,0,0,19.318,damaged=0.35;dirty=0.2;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.4_dirty-0.2_1,2stage,1,1,1,0,0,8.984,damaged=0.4;dirty=0.2;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.45_dirty-0.2_1,2stage,1,1,1,0,0,8.950,damaged=0.45;dirty=0.2;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.5_dirty-0.2_1,2stage,1,1,1,0,0,8.063,damaged=0.5;dirty=0.2;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.55_dirty-0.2_1,2stage,1,1,1,0,0,17.085,damaged=0.55;dirty=0.2;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.6_dirty-0.2_1,2stage,1,1,1,0,0,16.735,damaged=0.6;dirty=0.2;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.65_dirty-0.2_1,2stage,1,1,1,0,0,12.585,damaged=0.65;dirty=0.2;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.7_dirty-0.2_1,2stage,1,1,1,0,0,16.093,damaged=0.7;dirty=0.2;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.75_dirty-0.2_1,2stage,1,1,1,0,0,164.898,damaged=0.75;dirty=0.2;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.8_dirty-0.2_1,2stage,1,1,1,0,0,116.190,damaged=0.8;dirty=0.2;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.85_dirty-0.2_1,2stage,1,1,1,0,0,8.102,damaged=0.85;dirty=0.2;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.9_dirty-0.2_1,2stage,1,0,0,0,0,113.768,damaged=0.9;dirty=0.2;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.95_dirty-0.2_1,2stage,1,0,0,0,0,110.432,damaged=0.95;dirty=0.2;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-1_dirty-0.2_1,2stage,1,0,0,0,0,206.212,damaged=1;dirty=0.2;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0_dirty-0.25_1,2stage,1,1,1,0,0,1.661,damaged=0;dirty=0.25;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.05_dirty-0.25_1,2stage,1,1,1,0,0,1.477,damaged=0.05;dirty=0.25;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.1_dirty-0.25_1,2stage,1,1,1,0,0,1.611,damaged=0.1;dirty=0.25;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.15_dirty-0.25_1,2stage,1,1,1,0,0,9.253,damaged=0.15;dirty=0.25;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.2_dirty-0.25_1,2stage,1,1,1,0,0,8.849,damaged=0.2;dirty=0.25;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.25_dirty-0.25_1,2stage,1,1,1,0,0,10.621,damaged=0.25;dirty=0.25;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.3_dirty-0.25_1,2stage,1,1,1,0,0,18.567,damaged=0.3;dirty=0.25;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.35_dirty-0.25_1,2stage,1,1,1,0,0,17.691,damaged=0.35;dirty=0.25;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.4_dirty-0.25_1,2stage,1,1,1,0,0,9.071,damaged=0.4;dirty=0.25;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.45_dirty-0.25_1,2stage,1,1,1,0,0,8.554,damaged=0.45;dirty=0.25;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.5_dirty-0.25_1,2stage,1,1,1,0,0,8.425,damaged=0.5;dirty=0.25;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.55_dirty-0.25_1,2stage,1,1,1,0,0,9.098,damaged=0.55;dirty=0.25;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.6_dirty-0.25_1,2stage,1,1,1,0,0,8.735,damaged=0.6;dirty=0.25;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.65_dirty-0.25_1,2stage,1,1,1,0,0,8.239,damaged=0.65;dirty=0.25;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.7_dirty-0.25_1,2stage,1,1,1,0,0,16.391,damaged=0.7;dirty=0.25;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.75_dirty-0.25_1,2stage,1,1,1,0,0,13.083,damaged=0.75;dirty=0.25;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.8_dirty-0.25_1,2stage,1,1,1,0,0,12.348,damaged=0.8;dirty=0.25;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.85_dirty-0.25_1,2stage,1,1,1,0,0,191.338,damaged=0.85;dirty=0.25;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.9_dirty-0.25_1,2stage,1,0,0,0,0,98.013,damaged=0.9;dirty=0.25;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.95_dirty-0.25_1,2stage,1,0,0,0,0,140.107,damaged=0.95;dirty=0.25;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-1_dirty-0.25_1,2stage,1,0,0,0,0,143.868,damaged=1;dirty=0.25;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0_dirty-0.3_1,2stage,1,1,1,0,0,1.167,damaged=0;dirty=0.3;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.05_dirty-0.3_1,2stage,1,1,1,0,0,1.088,damaged=0.05;dirty=0.3;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.1_dirty-0.3_1,2stage,1,1,1,0,0,1.706,damaged=0.1;dirty=0.3;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.15_dirty-0.3_1,2stage,1,1,1,0,0,17.827,damaged=0.15;dirty=0.3;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.2_dirty-0.3_1,2stage,1,1,1,0,0,17.271,damaged=0.2;dirty=0.3;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.25_dirty-0.3_1,2stage,1,1,1,0,0,1.321,damaged=0.25;dirty=0.3;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.3_dirty-0.3_1,2stage,1,1,1,0,0,9.880,damaged=0.3;dirty=0.3;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.35_dirty-0.3_1,2stage,1,1,1,0,0,9.152,damaged=0.35;dirty=0.3;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.4_dirty-0.3_1,2stage,1,1,1,0,0,8.336,damaged=0.4;dirty=0.3;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.45_dirty-0.3_1,2stage,1,1,1,0,0,8.760,damaged=0.45;dirty=0.3;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.5_dirty-0.3_1,2stage,1,1,1,0,0,14.039,damaged=0.5;dirty=0.3;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.55_dirty-0.3_1,2stage,1,1,1,0,0,16.766,damaged=0.55;dirty=0.3;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.6_dirty-0.3_1,2stage,1,1,1,0,0,13.450,damaged=0.6;dirty=0.3;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.65_dirty-0.3_1,2stage,1,1,1,0,0,16.869,damaged=0.65;dirty=0.3;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.7_dirty-0.3_1,2stage,1,1,1,0,0,10.371,damaged=0.7;dirty=0.3;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.75_dirty-0.3_1,2stage,1,1,1,0,0,99.492,damaged=0.75;dirty=0.3;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.8_dirty-0.3_1,2stage,1,1,1,0,0,129.213,damaged=0.8;dirty=0.3;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.85_dirty-0.3_1,2stage,1,1,1,0,0,165.502,damaged=0.85;dirty=0.3;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.9_dirty-0.3_1,2stage,1,0,0,0,0,243.139,damaged=0.9;dirty=0.3;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0.95_dirty-0.3_1,2stage,1,0,0,0,0,152.725,damaged=0.95;dirty=0.3;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-1_dirty-0.3_1,2stage,1,0,0,0,0,120.234,damaged=1;dirty=0.3;sym-EAN_13;modpx-4.00;img-borderline
sw_damaged-0_dirty-0.35_1,2stage,1,1,1,0,0,1.194,damaged=0;dirty=0.35;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.05_dirty-0.35_1,2stage,1,1,1,0,0,1.155,damaged=0.05;dirty=0.35;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.1_dirty-0.35_1,2stage,1,1,1,0,0,1.070,damaged=0.1;dirty=0.35;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.15_dirty-0.35_1,2stage,1,1,1,0,0,8.493,damaged=0.15;dirty=0.35;sym-EAN_13;modpx-4.00;img-ok
sw_damaged-0.2_dirty-0.35_1,2stage,1,1,1,0,0,9.752,damaged=0.2;dirty=0.35;sym-EAN_13;modpx-4.00;img-ok
