file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_damaged-0_dirty-0_1,2stage,1,1,1,0,0,4.186,damaged=0;dirty=0;sym-ITF;modpx-8.00;img-ok
sw_damaged-0.05_dirty-0_1,2stage,1,1,1,0,0,82.564,damaged=0.05;dirty=0;sym-ITF;modpx-8.00;img-borderline
sw_damaged-0.1_dirty-0_1,2stage,1,1,1,0,0,79.110,damaged=0.1;dirty=0;sym-ITF;modpx-8.00;img-borderline
sw_damaged-0.15_dirty-0_1,2stage,1,1,1,0,0,50.338,damaged=0.15;dirty=0;sym-ITF;modpx-8.00;img-ok
sw_damaged-0.2_dirty-0_1,2stage,1,1,1,0,0,30.354,damaged=0.2;dirty=0;sym-ITF;modpx-8.00;img-ok
sw_damaged-0.25_dirty-0_1,2stage,1,1,1,0,0,35.998,damaged=0.25;dirty=0;sym-ITF;modpx-8.00;img-ok
sw_damaged-0.3_dirty-0_1,2stage,1,1,1,0,0,28.605,damaged=0.3;dirty=0;sym-ITF;modpx-8.00;img-borderline
sw_damaged-0.35_dirty-0_1,2stage,1,1,1,0,0,25.985,damaged=0.35;dirty=0;sym-ITF;modpx-8.00;img-borderline
sw_damaged-0.4_dirty-0_1,2stage,1,1,1,0,0,58.461,damaged=0.4;dirty=0;sym-ITF;modpx-8.00;img-borderline
sw_damaged-0.45_dirty-0_1,2stage,1,1,1,0,0,8.312,damaged=0.45;dirty=0;sym-ITF;modpx-8.00;img-borderline
sw_damaged-0.5_dirty-0_1,2stage,1,1,1,0,0,3.466,damaged=0.5;dirty=0;sym-ITF;modpx-8.00;img-borderline
sw_damaged-0.55_dirty-0_1,2stage,1,1,1,0,0,7.037,damaged=0.55;dirty=0;sym-ITF;modpx-8.00;img-borderline
sw_damaged-0.6_dirty-0_1,2stage,1,1,1,0,0,72.097,damaged=0.6;dirty=0;sym-ITF;modpx-8.00;img-borderline
sw_damaged-0.65_dirty-0_1,2stage,1,1,1,0,0,57.505,damaged=0.65;dirty=0;sym-ITF;modpx-8.00;img-borderline
sw_damaged-0.7_dirty-0_1,2stage,1,1,1,0,0,56.298,damaged=0.7;dirty=0;sym-ITF;modpx-8.00;img-borderline
sw_damaged-0.75_dirty-0_1,2stage,1,1,1,0,0,27.653,damaged=0.75;dirty=0;sym-ITF;modpx-8.00;img-borderline
sw_damaged-0.8_dirty-0_1,2stage,1,1,1,0,0,32.129,damaged=0.8;dirty=0;sym-ITF;modpx-8.00;img-borderline
sw_damaged-0.85_dirty-0_1,2stage,1,1,1,0,0,32.376,damaged=0.85;dirty=0;sym-ITF;modpx-8.00;img-borderline
sw_damaged-0.9_dirty-0_1,2stage,1,1,1,0,0,30.389,damaged=0.9;dirty=0;sym-ITF;modpx-8.00;img-borderline
sw_damaged-0.95_dirty-0_1,2stage,1,1,1,0,0,30.589,damaged=0.95;dirty=0;sym-ITF;modpx-8.00;img-borderline
sw_damaged-1_dirty-0_1,2stage,1,1,1,0,0,310.407,damaged=1;dirty=0;sym-ITF;modpx-8.00;img-borderline
sw_damaged-0_dirty-0.05_1,2stage,1,1,1,0,0,3.019,damaged=0;dirty=0.05;sym-ITF;modpx-8.00;img-ok
