file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_damaged-0_dirty-0_1,2stage,1,1,1,0,0,21.141,damaged=0;dirty=0;sym-PDF417;modpx-8.00;img-ok
sw_damaged-0.05_dirty-0_1,2stage,1,1,1,0,0,48.189,damaged=0.05;dirty=0;sym-PDF417;modpx-8.00;img-ok
sw_damaged-0.1_dirty-0_1,2stage,1,1,1,0,0,27.118,damaged=0.1;dirty=0;sym-PDF417;modpx-8.00;img-ok
sw_damaged-0.15_dirty-0_1,2stage,1,1,1,0,0,27.450,damaged=0.15;dirty=0;sym-PDF417;modpx-8.00;img-ok
sw_damaged-0.2_dirty-0_1,2stage,1,1,1,0,0,15.979,damaged=0.2;dirty=0;sym-PDF417;modpx-8.00;img-ok
sw_damaged-0.25_dirty-0_1,2stage,1,1,1,0,0,15.372,damaged=0.25;dirty=0;sym-PDF417;modpx-8.00;img-ok
sw_damaged-0.3_dirty-0_1,2stage,1,1,1,0,0,15.245,damaged=0.3;dirty=0;sym-PDF417;modpx-8.00;img-ok
sw_damaged-0.35_dirty-0_1,2stage,1,1,1,0,0,14.937,damaged=0.35;dirty=0;sym-PDF417;modpx-8.00;img-ok
sw_damaged-0.4_dirty-0_1,2stage,1,1,1,0,0,28.736,damaged=0.4;dirty=0;sym-PDF417;modpx-8.00;img-ok
sw_damaged-0.45_dirty-0_1,2stage,1,1,1,0,0,16.023,damaged=0.45;dirty=0;sym-PDF417;modpx-8.00;img-borderline
sw_damaged-0.5_dirty-0_1,2stage,1,1,1,0,0,15.512,damaged=0.5;dirty=0;sym-PDF417;modpx-8.00;img-borderline
sw_damaged-0.55_dirty-0_1,2stage,1,1,1,0,0,15.813,damaged=0.55;dirty=0;sym-PDF417;modpx-8.00;img-borderline
sw_damaged-0.6_dirty-0_1,2stage,1,0,0,0,0,218.714,damaged=0.6;dirty=0;sym-PDF417;modpx-8.00;img-borderline
sw_damaged-0.65_dirty-0_1,2stage,1,0,0,0,0,197.288,damaged=0.65;dirty=0;sym-PDF417;modpx-8.00;img-borderline
sw_damaged-0.7_dirty-0_1,2stage,1,0,0,0,0,222.545,damaged=0.7;dirty=0;sym-PDF417;modpx-8.00;img-borderline
sw_damaged-0.75_dirty-0_1,2stage,1,0,0,0,0,312.485,damaged=0.75;dirty=0;sym-PDF417;modpx-8.00;img-borderline
sw_damaged-0.8_dirty-0_1,2stage,1,0,0,0,0,342.070,damaged=0.8;dirty=0;sym-PDF417;modpx-8.00;img-borderline
sw_damaged-0.85_dirty-0_1,2stage,1,0,0,0,0,236.226,damaged=0.85;dirty=0;sym-PDF417;modpx-8.00;img-impossible
sw_damaged-0.9_dirty-0_1,2stage,1,0,0,0,0,217.536,damaged=0.9;dirty=0;sym-PDF417;modpx-8.00;img-impossible
sw_damaged-0.95_dirty-0_1,2stage,1,0,0,0,0,198.977,damaged=0.95;dirty=0;sym-PDF417;modpx-8.00;img-impossible
sw_damaged-1_dirty-0_1,2stage,1,0,0,0,0,191.554,damaged=1;dirty=0;sym-PDF417;modpx-8.00;img-impossible
sw_damaged-0_dirty-0.05_1,2stage,1,1,1,0,0,12.659,damaged=0;dirty=0.05;sym-PDF417;modpx-8.00;img-ok
sw_damaged-0.05_dirty-0.05_1,2stage,1,1,1,0,0,12.459,damaged=0.05;dirty=0.05;sym-PDF417;modpx-8.00;img-ok
sw_damaged-0.1_dirty-0.05_1,2stage,1,1,1,0,0,12.527,damaged=0.1;dirty=0.05;sym-PDF417;modpx-8.00;img-ok
sw_damaged-0.15_dirty-0.05_1,2stage,1,1,1,0,0,27.657,damaged=0.15;dirty=0.05;sym-PDF417;modpx-8.00;img-ok
