file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_damaged-0_dirty-0_1,2stage,1,1,1,0,0,9.216,damaged=0;dirty=0;sym-QR_CODE;modpx-4.00;img-ok
sw_damaged-0.05_dirty-0_1,2stage,1,1,1,0,0,5.185,damaged=0.05;dirty=0;sym-QR_CODE;modpx-4.00;img-ok
sw_damaged-0.1_dirty-0_1,2stage,1,1,1,0,0,5.212,damaged=0.1;dirty=0;sym-QR_CODE;modpx-4.00;img-ok
sw_damaged-0.15_dirty-0_1,2stage,1,1,1,0,0,9.186,damaged=0.15;dirty=0;sym-QR_CODE;modpx-4.00;img-ok
sw_damaged-0.2_dirty-0_1,2stage,1,1,1,0,0,5.361,damaged=0.2;dirty=0;sym-QR_CODE;modpx-4.00;img-ok
sw_damaged-0.25_dirty-0_1,2stage,1,1,1,0,0,5.181,damaged=0.25;dirty=0;sym-QR_CODE;modpx-4.00;img-ok
sw_damaged-0.3_dirty-0_1,2stage,1,1,1,0,0,6.251,damaged=0.3;dirty=0;sym-QR_CODE;modpx-4.00;img-borderline
sw_damaged-0.35_dirty-0_1,2stage,1,1,1,0,0,9.435,damaged=0.35;dirty=0;sym-QR_CODE;modpx-4.00;img-borderline
sw_damaged-0.4_dirty-0_1,2stage,1,1,1,0,0,255.596,damaged=0.4;dirty=0;sym-QR_CODE;modpx-4.00;img-borderline
sw_damaged-0.45_dirty-0_1,2stage,1,0,0,0,0,72.424,damaged=0.45;dirty=0;sym-QR_CODE;modpx-4.00;img-borderline
sw_damaged-0.5_dirty-0_1,2stage,1,0,0,0,0,76.363,damaged=0.5;dirty=0;sym-QR_CODE;modpx-4.00;img-borderline
sw_damaged-0.55_dirty-0_1,2stage,1,0,0,0,0,144.389,damaged=0.55;dirty=0;sym-QR_CODE;modpx-4.00;img-borderline
sw_damaged-0.6_dirty-0_1,2stage,1,1,1,0,0,74.215,damaged=0.6;dirty=0;sym-QR_CODE;modpx-4.00;img-impossible
sw_damaged-0.65_dirty-0_1,2stage,1,0,0,0,0,78.751,damaged=0.65;dirty=0;sym-QR_CODE;modpx-4.00;img-impossible
sw_damaged-0.7_dirty-0_1,2stage,1,0,0,0,0,71.210,damaged=0.7;dirty=0;sym-QR_CODE;modpx-4.00;img-impossible
sw_damaged-0.75_dirty-0_1,2stage,1,0,0,0,0,167.871,damaged=0.75;dirty=0;sym-QR_CODE;modpx-4.00;img-impossible
sw_damaged-0.8_dirty-0_1,2stage,1,0,0,0,0,142.344,damaged=0.8;dirty=0;sym-QR_CODE;modpx-4.00;img-impossible
sw_damaged-0.85_dirty-0_1,2stage,1,0,0,0,0,146.985,damaged=0.85;dirty=0;sym-QR_CODE;modpx-4.00;img-impossible
sw_damaged-0.9_dirty-0_1,2stage,1,0,0,0,0,84.750,damaged=0.9;dirty=0;sym-QR_CODE;modpx-4.00;img-impossible
sw_damaged-0.95_dirty-0_1,2stage,1,0,0,0,0,69.483,damaged=0.95;dirty=0;sym-QR_CODE;modpx-4.00;img-impossible
sw_damaged-1_dirty-0_1,2stage,1,0,0,0,0,72.456,damaged=1;dirty=0;sym-QR_CODE;modpx-4.00;img-impossible
sw_damaged-0_dirty-0.05_1,2stage,1,1,1,0,0,5.239,damaged=0;dirty=0.05;sym-QR_CODE;modpx-4.00;img-ok
sw_damaged-0.05_dirty-0.05_1,2stage,1,1,1,0,0,5.643,damaged=0.05;dirty=0.05;sym-QR_CODE;modpx-4.00;img-ok
sw_damaged-0.1_dirty-0.05_1,2stage,1,1,1,0,0,10.369,damaged=0.1;dirty=0.05;sym-QR_CODE;modpx-4.00;img-ok
sw_damaged-0.15_dirty-0.05_1,2stage,1,1,1,0,0,10.661,damaged=0.15;dirty=0.05;sym-QR_CODE;modpx-4.00;img-borderline
sw_damaged-0.2_dirty-0.05_1,2stage,1,1,1,0,0,9.515,damaged=0.2;dirty=0.05;sym-QR_CODE;modpx-4.00;img-borderline
sw_damaged-0.25_dirty-0.05_1,2stage,1,1,1,0,0,5.434,damaged=0.25;dirty=0.05;sym-QR_CODE;modpx-4.00;img-borderline
sw_damaged-0.3_dirty-0.05_1,2stage,1,1,1,0,0,147.978,damaged=0.3;dirty=0.05;sym-QR_CODE;modpx-4.00;img-borderline
sw_damaged-0.35_dirty-0.05_1,2stage,1,1,1,0,0,5.363,damaged=0.35;dirty=0.05;sym-QR_CODE;modpx-4.00;img-borderline
sw_damaged-0.4_dirty-0.05_1,2stage,1,1,1,0,0,137.809,damaged=0.4;dirty=0.05;sym-QR_CODE;modpx-4.00;img-borderline
sw_damaged-0.45_dirty-0.05_1,2stage,1,0,0,0,0,76.259,damaged=0.45;dirty=0.05;sym-QR_CODE;modpx-4.00;img-impossible
sw_damaged-0.5_dirty-0.05_1,2stage,1,0,0,0,0,109.854,damaged=0.5;dirty=0.05;sym-QR_CODE;modpx-4.00;img-impossible
sw_damaged-0.55_dirty-0.05_1,2stage,1,0,0,0,0,84.117,damaged=0.55;dirty=0.05;sym-QR_CODE;modpx-4.00;img-impossible
sw_damaged-0.6_dirty-0.05_1,2stage,1,0,0,0,0,77.060,damaged=0.6;dirty=0.05;sym-QR_CODE;modpx-4.00;img-impossible
sw_damaged-0.65_dirty-0.05_1,2stage,1,0,0,0,0,87.793,damaged=0.65;dirty=0.05;sym-QR_CODE;modpx-4.00;img-impossible
sw_damaged-0.7_dirty-0.05_1,2stage,1,0,0,0,0,76.082,damaged=0.7;dirty=0.05;sym-QR_CODE;modpx-4.00;img-impossible
sw_damaged-0.75_dirty-0.05_1,2stage,1,0,0,0,0,77.905,damaged=0.75;dirty=0.05;sym-QR_CODE;modpx-4.00;img-impossible
sw_damaged-0.8_dirty-0.05_1,2stage,1,0,0,0,0,72.068,damaged=0.8;dirty=0.05;sym-QR_CODE;modpx-4.00;img-impossible
sw_damaged-0.85_dirty-0.05_1,2stage,1,0,0,0,0,76.540,damaged=0.85;dirty=0.05;sym-QR_CODE;modpx-4.00;img-impossible
sw_damaged-0.9_dirty-0.05_1,2stage,1,0,0,0,0,128.065,damaged=0.9;dirty=0.05;sym-QR_CODE;modpx-4.00;img-impossible
