file,path,expected,found,text_ok,misdecode,dup,ms,tags
sw_damaged-0_dirty-0_1,2stage,1,1,1,0,0,1.688,damaged=0;dirty=0;sym-UPC_A;modpx-4.00;img-ok
sw_damaged-0.05_dirty-0_1,2stage,1,1,1,0,0,1.627,damaged=0.05;dirty=0;sym-UPC_A;modpx-4.00;img-ok
sw_damaged-0.1_dirty-0_1,2stage,1,1,1,0,0,1.519,damaged=0.1;dirty=0;sym-UPC_A;modpx-4.00;img-ok
sw_damaged-0.15_dirty-0_1,2stage,1,1,1,0,0,1.281,damaged=0.15;dirty=0;sym-UPC_A;modpx-4.00;img-ok
sw_damaged-0.2_dirty-0_1,2stage,1,1,1,0,0,1.506,damaged=0.2;dirty=0;sym-UPC_A;modpx-4.00;img-ok
sw_damaged-0.25_dirty-0_1,2stage,1,1,1,0,0,1.493,damaged=0.25;dirty=0;sym-UPC_A;modpx-4.00;img-ok
sw_damaged-0.3_dirty-0_1,2stage,1,1,1,0,0,1.777,damaged=0.3;dirty=0;sym-UPC_A;modpx-4.00;img-ok
sw_damaged-0.35_dirty-0_1,2stage,1,1,1,0,0,1.384,damaged=0.35;dirty=0;sym-UPC_A;modpx-4.00;img-ok
sw_damaged-0.4_dirty-0_1,2stage,1,1,1,0,0,12.597,damaged=0.4;dirty=0;sym-UPC_A;modpx-4.00;img-borderline
sw_damaged-0.45_dirty-0_1,2stage,1,1,1,0,0,18.474,damaged=0.45;dirty=0;sym-UPC_A;modpx-4.00;img-borderline
sw_damaged-0.5_dirty-0_1,2stage,1,1,1,0,0,280.484,damaged=0.5;dirty=0;sym-UPC_A;modpx-4.00;img-borderline
sw_damaged-0.55_dirty-0_1,2stage,1,1,1,0,0,109.356,damaged=0.55;dirty=0;sym-UPC_A;modpx-4.00;img-borderline
sw_damaged-0.6_dirty-0_1,2stage,1,1,1,0,0,8.952,damaged=0.6;dirty=0;sym-UPC_A;modpx-4.00;img-borderline
sw_damaged-0.65_dirty-0_1,2stage,1,1,1,0,0,9.251,damaged=0.65;dirty=0;sym-UPC_A;modpx-4.00;img-borderline
sw_damaged-0.7_dirty-0_1,2stage,1,1,1,0,0,145.680,damaged=0.7;dirty=0;sym-UPC_A;modpx-4.00;img-borderline
